GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",927,75,171,91,87,51,131,68,113,67,65,50,41,39,26,23,21,24,55,39,71,66,65,55,36,38,25,40,8,15,0,11,12,16
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",3447,166,645,181,311,129,164,105,355,170,286,125,250,118,186,95,95,71,165,128,130,88,283,171,120,86,246,123,71,69,41,39,99,71
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",3954,197,1194,309,473,183,454,169,231,110,263,190,184,133,36,43,141,133,124,124,291,231,172,151,98,80,86,82,131,112,10,15,66,72
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",4610,321,350,168,56,63,83,71,82,65,28,40,103,64,38,47,63,62,18,36,240,146,258,145,656,234,565,210,377,222,584,197,1109,307
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",3585,180,543,165,462,139,583,193,223,102,82,59,289,141,206,121,92,72,83,69,315,151,229,127,223,128,80,80,98,71,17,28,60,59
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",646,83,24,16,5,8,9,9,0,11,0,11,0,11,20,27,0,11,11,15,12,19,11,12,32,20,93,53,59,40,100,41,270,76
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",743,72,56,32,6,8,19,11,39,32,55,37,10,13,24,30,11,13,5,7,37,35,86,42,70,38,37,27,55,38,129,62,104,48
