GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; With cash rent:,Margin of Error; With cash rent:,Estimate; With cash rent: - Less than $100,Margin of Error; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Margin of Error; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Margin of Error; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Margin of Error; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Margin of Error; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Margin of Error; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Margin of Error; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Margin of Error; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Margin of Error; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Margin of Error; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Margin of Error; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Margin of Error; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Margin of Error; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Margin of Error; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Margin of Error; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Margin of Error; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,Margin of Error; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Margin of Error; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Margin of Error; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Margin of Error; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 to $2,499","Margin of Error; With cash rent: - $2,000 to $2,499","Estimate; With cash rent: - $2,500 to $2,999","Margin of Error; With cash rent: - $2,500 to $2,999","Estimate; With cash rent: - $3,000 to $3,499","Margin of Error; With cash rent: - $3,000 to $3,499","Estimate; With cash rent: - $3,500 or more","Margin of Error; With cash rent: - $3,500 or more",Estimate; No cash rent,Margin of Error; No cash rent
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",979,79,979,79,0,11,55,68,0,11,77,52,70,48,93,80,36,37,29,28,15,22,76,50,27,46,21,36,101,72,9,15,13,22,63,51,37,43,43,30,46,37,122,80,27,22,12,13,4,6,3,5,0,11
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",2606,244,2606,244,0,16,0,16,99,81,340,155,126,74,123,111,46,45,41,47,145,96,57,49,102,97,170,116,46,44,167,102,20,33,260,157,258,131,326,153,138,93,66,87,21,34,42,46,13,22,0,16,0,16
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",3876,267,3817,277,0,18,0,18,0,18,161,108,209,119,446,209,265,169,116,144,161,166,351,188,44,53,145,123,96,115,50,66,26,43,316,205,220,138,632,310,360,209,109,104,0,18,20,33,75,80,15,24,59,67
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",3384,369,3252,366,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,92,89,146,112,1272,315,1218,345,524,192,132,143
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",3563,211,3563,211,0,16,0,16,58,71,29,34,93,57,14,23,151,135,14,21,82,76,0,16,60,61,99,88,28,34,152,95,120,85,342,154,547,168,852,221,263,143,356,144,149,109,119,70,20,22,15,26,0,16
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",735,72,716,71,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,3,5,0,11,23,20,48,23,42,24,118,46,482,72,19,23
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",290,76,285,76,0,11,5,7,0,11,0,11,0,11,6,9,0,11,0,11,0,11,0,11,0,11,5,7,0,11,15,24,0,11,38,38,17,19,47,36,101,59,41,40,10,11,0,11,0,11,0,11,5,8
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",2468,91,2436,98,0,16,0,16,23,26,328,141,194,114,393,188,198,143,119,102,73,70,99,118,50,62,196,151,169,132,19,34,28,44,134,113,136,97,98,72,134,83,45,49,0,16,0,16,0,16,0,16,32,45
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",1207,114,1179,119,0,11,8,13,26,42,77,59,38,27,50,38,55,51,23,22,48,59,28,25,43,46,43,49,23,24,12,18,26,40,10,15,41,43,168,78,117,73,106,75,91,49,47,39,48,40,51,35,28,45
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",2323,195,2290,191,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,21,34,0,11,0,11,20,41,0,11,277,105,803,150,665,151,504,132,33,38
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",390,111,383,111,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,21,24,10,15,49,50,0,11,0,11,0,11,20,22,45,35,38,48,47,28,0,11,0,11,27,24,10,17,49,54,67,60,7,11
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",1342,75,1326,79,0,11,0,11,10,19,79,48,124,58,67,47,29,26,50,39,20,22,23,34,32,31,43,41,34,32,29,25,20,23,33,37,27,32,119,62,43,30,132,51,143,72,200,66,27,34,42,35,16,18
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",2140,284,2097,276,0,16,0,16,0,16,101,81,102,102,31,33,62,58,32,39,76,101,20,32,15,25,99,69,19,32,25,40,52,50,203,142,70,62,27,32,56,73,55,54,40,39,135,118,409,149,468,144,43,49
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",2485,238,2485,238,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,37,55,0,16,0,16,0,16,16,25,0,16,39,45,0,16,108,81,204,100,491,148,779,177,811,219,0,16
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",2692,232,2629,244,0,16,0,16,31,49,81,83,36,41,29,36,69,46,19,30,47,55,116,91,38,41,96,69,17,26,19,30,36,40,230,123,282,117,273,139,255,123,374,155,206,125,67,63,193,107,115,73,63,64
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",2940,192,2914,191,0,16,17,27,81,110,109,94,0,16,83,71,161,122,41,50,0,16,110,93,46,56,155,113,33,53,20,32,69,66,163,112,78,68,339,157,217,134,228,118,515,148,238,119,111,98,100,68,26,41
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",2001,34,1994,35,0,11,23,35,0,11,339,113,206,105,205,96,146,82,184,90,216,117,57,45,39,38,116,82,24,21,78,54,20,24,124,65,15,19,130,76,35,27,13,18,0,11,24,38,0,11,0,11,7,12
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York",1459,230,1459,230,0,16,0,16,0,16,17,27,16,27,25,30,0,16,0,16,0,16,0,16,0,16,39,61,42,40,0,16,0,16,44,39,0,16,0,16,0,16,103,59,25,28,119,63,413,146,616,170,0,16
1400000US36061002201,36061002201,"Census Tract 22.01, New York County, New York",2664,174,2608,204,0,16,35,60,0,16,129,98,101,81,169,108,106,87,48,45,92,91,93,83,50,74,21,31,114,81,92,73,12,21,164,104,199,137,449,160,254,144,192,100,62,50,44,56,69,46,113,59,56,83
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",1059,69,1059,69,0,11,0,11,0,11,0,11,36,57,10,16,0,11,0,11,0,11,22,24,0,11,0,11,8,12,9,15,0,11,9,14,11,16,55,44,73,49,283,134,116,90,115,77,150,73,162,90,0,11
1400000US36061002400,36061002400,"Census Tract 24, New York County, New York",1861,52,1827,66,0,11,0,11,20,30,370,154,285,121,149,103,194,136,95,52,148,81,12,22,60,69,108,85,74,75,28,33,34,55,10,18,0,11,160,98,80,63,0,11,0,11,0,11,0,11,0,11,34,40
1400000US36061002500,36061002500,"Census Tract 25, New York County, New York",2100,76,2100,76,0,16,0,16,21,20,299,123,354,135,174,111,139,72,159,100,49,52,97,63,119,68,55,52,39,29,39,51,73,62,157,95,32,25,157,90,54,46,83,71,0,16,0,16,0,16,0,16,0,16
1400000US36061002601,36061002601,"Census Tract 26.01, New York County, New York",1395,101,1365,103,0,11,0,11,0,11,101,67,56,51,64,54,18,20,55,54,22,36,50,47,19,22,30,38,24,25,15,18,66,60,91,69,112,68,163,73,76,54,143,68,54,34,72,39,67,61,67,53,30,39
1400000US36061002602,36061002602,"Census Tract 26.02, New York County, New York",1533,150,1533,150,0,11,0,11,34,53,17,29,51,51,24,27,78,69,59,62,35,55,29,34,52,46,14,23,22,34,0,11,35,42,90,65,93,71,114,90,58,50,182,92,141,92,186,96,122,80,97,64,0,11
1400000US36061002700,36061002700,"Census Tract 27, New York County, New York",295,60,290,61,0,11,0,11,0,11,17,27,0,11,4,7,6,8,5,7,0,11,0,11,42,43,0,11,0,11,9,14,5,9,12,15,15,17,71,50,13,15,70,38,5,6,0,11,16,22,0,11,5,9
1400000US36061002800,36061002800,"Census Tract 28, New York County, New York",3074,177,3074,177,0,16,0,16,81,89,91,68,181,122,98,69,177,119,65,72,28,34,81,89,90,92,27,30,74,58,70,81,161,118,160,109,138,86,467,161,169,87,300,160,187,93,200,107,153,99,76,58,0,16
1400000US36061002900,36061002900,"Census Tract 29, New York County, New York",2235,166,2100,185,15,23,33,36,32,35,101,65,32,35,15,24,16,26,141,112,57,71,46,43,104,72,73,48,33,39,0,16,46,42,174,97,251,147,301,153,198,127,155,75,177,105,52,65,34,55,14,21,135,93
1400000US36061003001,36061003001,"Census Tract 30.01, New York County, New York",2261,145,2241,151,0,11,0,11,21,32,21,35,0,11,0,11,17,28,0,11,45,71,0,11,0,11,0,11,19,29,17,28,14,24,32,38,69,58,133,112,78,59,601,147,495,182,398,139,189,91,92,79,20,31
1400000US36061003002,36061003002,"Census Tract 30.02, New York County, New York",1589,107,1571,109,9,13,0,11,0,11,77,52,37,30,38,47,56,50,100,65,65,57,30,49,6,9,20,23,10,16,53,33,22,20,59,46,40,34,227,89,85,62,127,51,217,73,114,63,60,46,119,68,18,22
1400000US36061003100,36061003100,"Census Tract 31, New York County, New York",550,55,530,59,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,14,22,0,11,0,11,8,13,0,11,0,11,10,10,28,19,14,11,25,20,0,11,63,34,152,59,65,36,151,51,20,26
1400000US36061003200,36061003200,"Census Tract 32, New York County, New York",3946,328,3884,337,0,16,0,16,0,16,0,16,0,16,0,16,42,65,0,16,21,35,45,50,0,16,31,37,152,128,179,114,69,86,238,143,256,133,578,246,331,182,479,180,562,209,368,169,182,111,351,189,62,83
1400000US36061003300,36061003300,"Census Tract 33, New York County, New York",1486,199,1461,211,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,15,24,81,78,99,80,69,54,18,28,54,42,14,23,0,16,78,84,130,96,530,168,373,163,25,40
1400000US36061003400,36061003400,"Census Tract 34, New York County, New York",3456,293,3456,293,42,61,0,16,0,16,23,37,39,48,15,25,0,16,0,16,0,16,106,127,16,39,26,43,31,43,0,16,107,107,190,113,278,200,176,104,202,128,326,169,991,279,529,207,93,79,266,108,0,16
1400000US36061003601,36061003601,"Census Tract 36.01, New York County, New York",1334,97,1311,102,0,11,18,28,41,39,56,41,108,61,24,38,26,25,13,21,47,41,27,25,17,20,40,34,11,18,9,16,0,11,59,37,120,68,86,45,118,47,144,71,95,44,108,54,88,44,56,31,23,27
1400000US36061003602,36061003602,"Census Tract 36.02, New York County, New York",1218,104,1218,104,0,11,0,11,11,17,0,11,0,11,0,11,0,11,37,53,13,17,4,6,19,23,21,23,10,15,36,41,57,62,79,44,34,28,100,47,114,72,207,82,203,61,120,65,40,26,113,45,0,11
1400000US36061003700,36061003700,"Census Tract 37, New York County, New York",844,120,792,122,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,29,26,8,12,3,5,18,20,34,30,51,35,22,20,73,47,157,73,183,91,136,69,78,43,52,37
1400000US36061003800,36061003800,"Census Tract 38, New York County, New York",4528,356,4502,365,0,16,0,16,0,16,59,92,47,83,0,16,57,94,0,16,49,70,102,134,97,120,30,49,118,87,160,160,23,37,137,144,263,180,266,141,275,169,674,251,996,331,687,253,315,189,147,83,26,42
1400000US36061003900,36061003900,"Census Tract 39, New York County, New York",1535,196,1535,196,0,16,0,16,0,16,32,36,0,16,14,23,16,25,0,16,32,36,16,25,0,16,15,24,30,34,47,49,16,25,14,23,31,36,142,95,104,64,414,121,238,126,126,96,87,76,161,88,0,16
1400000US36061004000,36061004000,"Census Tract 40, New York County, New York",3574,251,3476,281,0,16,0,16,0,16,9,20,0,16,0,16,0,16,0,16,36,49,0,16,0,16,0,16,27,45,0,16,88,104,131,106,168,129,343,185,122,106,468,211,875,245,439,192,173,135,597,222,98,113
1400000US36061004100,36061004100,"Census Tract 41, New York County, New York",3213,228,3191,227,0,16,53,85,31,35,17,26,33,38,107,78,102,98,36,40,56,51,96,68,143,85,48,47,17,26,85,76,0,16,210,131,190,97,280,128,234,125,341,133,356,142,329,152,256,131,171,126,22,26
1400000US36061004200,36061004200,"Census Tract 42, New York County, New York",1026,130,1006,126,0,16,0,16,0,16,0,16,0,16,45,57,0,16,0,16,0,16,0,16,0,16,0,16,12,18,0,16,29,28,60,55,8,13,45,32,48,53,87,48,113,54,194,96,179,88,186,78,20,22
1400000US36061004300,36061004300,"Census Tract 43, New York County, New York",1974,237,1961,237,0,11,108,77,0,11,13,21,0,11,0,11,26,30,18,27,68,79,17,32,14,22,39,51,0,11,0,11,12,20,13,21,56,69,171,111,221,99,154,102,262,125,202,86,186,79,381,145,13,20
1400000US36061004400,36061004400,"Census Tract 44, New York County, New York",8039,321,8039,321,0,18,0,18,0,18,0,18,0,18,0,18,56,90,0,18,0,18,0,18,0,18,0,18,0,18,50,82,0,18,0,18,0,18,460,251,987,396,2462,476,1087,422,143,121,1394,420,1400,414,0,18
1400000US36061004500,36061004500,"Census Tract 45, New York County, New York",202,49,188,49,0,11,6,9,0,11,0,11,7,10,0,11,0,11,14,20,0,11,0,11,0,11,0,11,4,6,0,11,6,10,0,11,18,17,73,45,9,13,0,11,16,26,27,21,0,11,8,10,14,17
1400000US36061004700,36061004700,"Census Tract 47, New York County, New York",832,119,823,119,0,11,0,11,9,14,0,11,19,15,9,14,27,42,0,11,0,11,0,11,16,19,17,20,0,11,39,31,20,23,20,23,17,19,67,47,36,30,54,36,127,76,172,78,116,77,58,46,9,14
1400000US36061004800,36061004800,"Census Tract 48, New York County, New York",1672,218,1631,226,0,16,0,16,0,16,14,23,0,16,0,16,16,27,40,64,0,16,0,16,18,28,0,16,46,74,17,29,0,16,20,30,49,46,211,124,185,117,229,95,317,138,189,95,118,72,162,111,41,65
1400000US36061004900,36061004900,"Census Tract 49, New York County, New York",1878,187,1878,187,0,11,25,39,0,11,0,11,52,84,33,38,12,20,0,11,23,27,33,36,14,24,0,11,51,76,64,61,28,25,48,40,101,64,100,65,107,61,204,95,355,130,307,125,252,124,69,65,0,11
1400000US36061005000,36061005000,"Census Tract 50, New York County, New York",1521,211,1491,214,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,17,27,0,16,0,16,0,16,15,24,0,16,0,16,15,25,46,45,63,78,66,66,257,120,186,102,286,104,264,132,276,138,30,34
1400000US36061005200,36061005200,"Census Tract 52, New York County, New York",634,120,634,120,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,88,55,41,27,41,31,56,64,147,64,124,72,137,68,0,11
1400000US36061005400,36061005400,"Census Tract 54, New York County, New York",1401,182,1373,182,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,22,36,0,11,0,11,0,11,0,11,17,28,35,39,20,26,54,69,158,94,80,54,192,79,177,95,269,120,349,150,28,32
1400000US36061005501,36061005501,"Census Tract 55.01, New York County, New York",1648,189,1619,190,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,17,27,0,11,62,52,382,146,186,103,317,133,335,137,120,76,200,125,29,34
1400000US36061005502,36061005502,"Census Tract 55.02, New York County, New York",718,115,718,115,5,7,0,11,21,25,0,11,9,16,0,11,0,11,0,11,0,11,0,11,13,19,0,11,8,13,24,26,0,11,50,37,36,35,50,39,15,14,19,22,129,86,31,37,55,35,253,77,0,11
1400000US36061005600,36061005600,"Census Tract 56, New York County, New York",1222,226,1205,230,0,11,0,11,14,22,0,11,105,99,49,51,0,11,44,50,30,39,11,17,68,86,20,35,69,55,20,31,27,31,92,101,0,11,34,37,111,116,12,20,87,80,72,47,168,98,172,90,17,35
1400000US36061005700,36061005700,"Census Tract 57, New York County, New York",830,116,822,115,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,34,28,112,57,148,70,41,43,76,50,411,101,8,12
1400000US36061005800,36061005800,"Census Tract 58, New York County, New York",1849,186,1831,188,0,11,0,11,0,11,0,11,0,11,13,20,17,28,0,11,0,11,0,11,5,17,0,11,58,58,77,78,46,76,129,87,99,81,34,41,33,38,45,51,106,99,270,147,401,181,498,166,18,32
1400000US36061005900,36061005900,"Census Tract 59, New York County, New York",1113,243,1066,237,0,16,0,16,0,16,0,16,0,16,0,16,15,25,0,16,0,16,0,16,0,16,0,16,0,16,34,31,0,16,40,45,42,52,55,56,83,66,166,106,386,150,178,112,53,45,14,21,47,58
1400000US36061006000,36061006000,"Census Tract 60, New York County, New York",2395,86,2395,86,0,16,13,20,0,16,0,16,0,16,0,16,16,24,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,114,69,88,54,570,143,364,142,126,102,397,131,707,184,0,16
1400000US36061006100,36061006100,"Census Tract 61, New York County, New York",1242,194,1242,194,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,15,28,166,89,31,36,32,36,122,93,558,190,151,96,167,109,0,11
1400000US36061006200,36061006200,"Census Tract 62, New York County, New York",1566,84,1554,87,10,15,0,11,0,11,8,12,23,36,0,11,15,16,0,11,0,11,3,7,0,11,0,11,0,11,11,16,0,11,13,21,0,11,59,41,32,32,260,100,317,97,281,96,210,80,312,102,12,19
1400000US36061006300,36061006300,"Census Tract 63, New York County, New York",1968,220,1936,218,0,16,0,16,18,28,0,16,0,16,17,27,0,16,0,16,0,16,0,16,0,16,16,25,14,23,0,16,0,16,122,101,116,62,189,86,129,91,70,58,517,109,338,138,154,97,236,121,32,35
1400000US36061006400,36061006400,"Census Tract 64, New York County, New York",3257,295,3133,302,0,16,0,16,0,16,34,57,0,16,22,38,0,16,0,16,19,31,25,40,0,16,0,16,22,36,0,16,0,16,44,58,11,27,207,161,327,179,306,156,673,267,442,217,562,224,439,225,124,87
1400000US36061006500,36061006500,"Census Tract 65, New York County, New York",2831,262,2763,258,0,16,0,16,0,16,18,31,0,16,29,48,0,16,0,16,0,16,0,16,0,16,0,16,27,33,0,16,24,39,19,32,152,133,235,105,164,122,172,85,832,221,547,155,336,157,208,76,68,67
1400000US36061006600,36061006600,"Census Tract 66, New York County, New York",4514,536,4514,536,55,94,129,148,0,18,270,216,420,283,34,59,94,117,33,52,0,18,185,296,0,18,46,75,152,199,0,18,0,18,0,18,335,311,243,207,222,156,125,122,867,340,651,421,339,181,314,292,0,18
1400000US36061006700,36061006700,"Census Tract 67, New York County, New York",2613,249,2543,244,0,16,0,16,0,16,0,16,0,16,15,24,16,26,0,16,15,25,0,16,17,27,91,96,44,72,43,46,111,71,91,64,39,37,97,55,62,47,135,102,463,153,722,192,301,156,281,157,70,85
