GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Science and Engineering,Margin of Error; Total: - Science and Engineering,Estimate; Total: - Science and Engineering Related Fields,Margin of Error; Total: - Science and Engineering Related Fields,Estimate; Total: - Business,Margin of Error; Total: - Business,Estimate; Total: - Education,Margin of Error; Total: - Education,"Estimate; Total: - Arts, Humanities and Other","Margin of Error; Total: - Arts, Humanities and Other"
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",178,69,106,63,0,11,22,21,0,11,50,34
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",1751,329,692,215,95,71,279,139,273,164,412,170
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",1607,505,914,375,0,18,329,215,117,122,247,170
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",5587,790,1557,435,256,149,1466,374,194,157,2114,474
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",1732,451,586,263,25,30,453,293,182,140,486,226
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",1236,142,404,86,73,29,329,67,30,27,400,79
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",752,101,232,51,90,54,109,44,71,44,250,69
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",416,213,83,65,38,63,20,39,67,72,208,133
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",1383,197,531,124,68,51,195,74,103,47,486,123
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",3489,406,1266,335,146,76,1084,210,83,63,910,198
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",1818,223,628,162,125,68,234,82,57,38,774,193
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",997,201,295,109,27,33,191,99,18,19,466,118
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",3828,429,1140,231,407,221,911,279,140,77,1230,266
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",4746,544,2026,313,225,148,898,272,75,76,1522,311
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",2251,468,791,247,54,51,609,283,52,61,745,223
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",2401,381,974,252,142,95,380,212,46,49,859,256
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",245,108,50,50,0,11,64,57,32,36,99,72
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York",4245,410,1593,257,104,95,1140,267,90,63,1318,309
1400000US36061002201,36061002201,"Census Tract 22.01, New York County, New York",1557,340,515,189,147,114,163,110,71,50,661,242
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",1213,202,337,137,18,19,166,119,10,16,682,161
1400000US36061002400,36061002400,"Census Tract 24, New York County, New York",248,149,37,45,35,27,64,47,0,11,112,130
1400000US36061002500,36061002500,"Census Tract 25, New York County, New York",262,158,95,98,57,58,62,68,27,33,21,21
1400000US36061002601,36061002601,"Census Tract 26.01, New York County, New York",1124,217,278,116,57,52,240,87,40,49,509,127
1400000US36061002602,36061002602,"Census Tract 26.02, New York County, New York",2348,396,836,266,178,113,340,174,15,22,979,227
1400000US36061002700,36061002700,"Census Tract 27, New York County, New York",513,116,191,63,56,37,91,38,16,17,159,72
1400000US36061002800,36061002800,"Census Tract 28, New York County, New York",2383,405,721,203,81,66,439,181,145,100,997,280
1400000US36061002900,36061002900,"Census Tract 29, New York County, New York",1537,280,563,184,103,75,349,151,0,16,522,220
1400000US36061003001,36061003001,"Census Tract 30.01, New York County, New York",2322,329,620,194,105,97,310,139,45,71,1242,296
1400000US36061003002,36061003002,"Census Tract 30.02, New York County, New York",1522,210,403,108,25,25,375,140,95,60,624,150
1400000US36061003100,36061003100,"Census Tract 31, New York County, New York",1086,136,437,87,36,23,307,91,25,20,281,74
1400000US36061003200,36061003200,"Census Tract 32, New York County, New York",5158,508,1078,340,299,208,786,285,207,113,2788,424
1400000US36061003300,36061003300,"Census Tract 33, New York County, New York",3519,418,1217,243,189,113,807,213,35,41,1271,284
1400000US36061003400,36061003400,"Census Tract 34, New York County, New York",3504,451,1227,280,242,169,586,235,97,85,1352,299
1400000US36061003601,36061003601,"Census Tract 36.01, New York County, New York",969,168,309,87,49,44,213,82,18,28,380,123
1400000US36061003602,36061003602,"Census Tract 36.02, New York County, New York",1335,196,451,112,44,38,356,110,6,12,478,127
1400000US36061003700,36061003700,"Census Tract 37, New York County, New York",1712,275,555,139,60,40,353,94,39,49,705,199
1400000US36061003800,36061003800,"Census Tract 38, New York County, New York",4871,659,1520,406,318,204,660,321,72,88,2301,551
1400000US36061003900,36061003900,"Census Tract 39, New York County, New York",3396,397,1237,207,33,37,761,235,189,110,1176,301
1400000US36061004000,36061004000,"Census Tract 40, New York County, New York",4876,547,2084,505,211,197,649,245,148,120,1784,282
1400000US36061004100,36061004100,"Census Tract 41, New York County, New York",3323,456,1333,292,51,48,944,314,32,36,963,252
1400000US36061004200,36061004200,"Census Tract 42, New York County, New York",2011,279,739,169,32,30,298,109,40,35,902,219
1400000US36061004300,36061004300,"Census Tract 43, New York County, New York",2656,452,917,280,93,68,505,207,29,48,1112,204
1400000US36061004400,36061004400,"Census Tract 44, New York County, New York",9883,989,2806,618,547,338,1583,572,702,319,4245,809
1400000US36061004500,36061004500,"Census Tract 45, New York County, New York",550,118,140,40,41,33,86,56,25,27,258,76
1400000US36061004700,36061004700,"Census Tract 47, New York County, New York",1631,237,475,152,78,46,360,138,30,27,688,147
1400000US36061004800,36061004800,"Census Tract 48, New York County, New York",3546,386,1034,232,265,140,593,215,184,91,1470,310
1400000US36061004900,36061004900,"Census Tract 49, New York County, New York",2755,317,814,176,124,76,426,171,38,41,1353,277
1400000US36061005000,36061005000,"Census Tract 50, New York County, New York",3768,424,1166,245,176,80,851,366,205,115,1370,303
1400000US36061005200,36061005200,"Census Tract 52, New York County, New York",2166,236,817,176,109,45,486,129,67,40,687,140
1400000US36061005400,36061005400,"Census Tract 54, New York County, New York",3196,306,1332,254,61,53,488,158,86,77,1229,258
1400000US36061005501,36061005501,"Census Tract 55.01, New York County, New York",3344,371,1568,280,178,145,406,194,111,85,1081,270
1400000US36061005502,36061005502,"Census Tract 55.02, New York County, New York",1407,213,485,135,43,33,252,97,18,21,609,183
1400000US36061005600,36061005600,"Census Tract 56, New York County, New York",1979,415,1029,290,86,81,322,132,34,38,508,203
1400000US36061005700,36061005700,"Census Tract 57, New York County, New York",2057,191,799,163,34,31,330,111,82,46,812,132
1400000US36061005800,36061005800,"Census Tract 58, New York County, New York",2666,326,1102,247,84,83,681,263,102,75,697,203
