GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - Moved in 2010 or later,Margin of Error; Owner occupied: - Moved in 2010 or later,Estimate; Owner occupied: - Moved in 2000 to 2009,Margin of Error; Owner occupied: - Moved in 2000 to 2009,Estimate; Owner occupied: - Moved in 1990 to 1999,Margin of Error; Owner occupied: - Moved in 1990 to 1999,Estimate; Owner occupied: - Moved in 1980 to 1989,Margin of Error; Owner occupied: - Moved in 1980 to 1989,Estimate; Owner occupied: - Moved in 1970 to 1979,Margin of Error; Owner occupied: - Moved in 1970 to 1979,Estimate; Owner occupied: - Moved in 1969 or earlier,Margin of Error; Owner occupied: - Moved in 1969 or earlier,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - Moved in 2010 or later,Margin of Error; Renter occupied: - Moved in 2010 or later,Estimate; Renter occupied: - Moved in 2000 to 2009,Margin of Error; Renter occupied: - Moved in 2000 to 2009,Estimate; Renter occupied: - Moved in 1990 to 1999,Margin of Error; Renter occupied: - Moved in 1990 to 1999,Estimate; Renter occupied: - Moved in 1980 to 1989,Margin of Error; Renter occupied: - Moved in 1980 to 1989,Estimate; Renter occupied: - Moved in 1970 to 1979,Margin of Error; Renter occupied: - Moved in 1970 to 1979,Estimate; Renter occupied: - Moved in 1969 or earlier,Margin of Error; Renter occupied: - Moved in 1969 or earlier
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",324,100,6,10,0,11,6,10,0,11,0,11,0,11,0,11,318,101,113,65,130,81,26,29,32,38,9,14,8,13
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",603,101,0,11,0,11,0,11,0,11,0,11,0,11,0,11,603,101,72,59,195,72,40,29,123,62,125,73,48,35
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",283,111,42,38,0,11,12,19,15,24,0,11,0,11,15,23,241,108,35,59,63,73,85,75,44,44,0,11,14,24
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",721,148,135,70,0,11,89,68,16,26,0,11,30,36,0,11,586,149,86,77,186,111,150,100,54,54,31,39,79,70
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",855,175,32,51,0,11,32,51,0,11,0,11,0,11,0,11,823,185,65,69,416,159,76,47,112,91,94,85,60,44
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",677,180,0,11,0,11,0,11,0,11,0,11,0,11,0,11,677,180,126,104,292,105,69,70,17,27,50,51,123,97
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",911,148,452,136,74,62,294,127,28,31,25,30,16,27,15,25,459,146,17,27,145,108,61,77,65,58,141,87,30,34
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",416,164,26,43,0,11,26,43,0,11,0,11,0,11,0,11,390,156,51,48,193,117,87,99,8,16,51,84,0,11
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",1132,275,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1132,275,30,48,521,226,237,155,228,165,24,37,92,71
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",314,161,29,47,29,47,0,11,0,11,0,11,0,11,0,11,285,165,130,139,81,67,26,30,48,78,0,11,0,11
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",360,146,0,11,0,11,0,11,0,11,0,11,0,11,0,11,360,146,66,78,162,98,18,31,78,88,17,28,19,30
1500000US360610006005,360610006005,"Block Group 5, Census Tract 6, New York County, New York",886,231,0,11,0,11,0,11,0,11,0,11,0,11,0,11,886,231,171,140,188,111,270,145,95,69,162,149,0,11
1500000US360610006006,360610006006,"Block Group 6, Census Tract 6, New York County, New York",846,235,54,47,0,11,0,11,12,33,42,41,0,11,0,11,792,229,154,150,216,151,152,92,56,54,214,109,0,11
1500000US360610007000,360610007000,"Block Group 0, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610007001,360610007001,"Block Group 1, Census Tract 7, New York County, New York",4610,321,790,187,197,103,435,164,67,77,72,78,19,50,0,16,3820,365,2616,438,1156,263,0,16,0,16,48,44,0,16
1500000US360610007002,360610007002,"Block Group 2, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008000,360610008000,"Block Group 0, Census Tract 8, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008001,360610008001,"Block Group 1, Census Tract 8, New York County, New York",398,118,0,11,0,11,0,11,0,11,0,11,0,11,0,11,398,118,14,24,182,111,87,84,0,11,41,40,74,52
1500000US360610008002,360610008002,"Block Group 2, Census Tract 8, New York County, New York",469,121,16,25,0,11,16,25,0,11,0,11,0,11,0,11,453,128,72,73,173,98,122,77,20,24,53,35,13,20
1500000US360610008003,360610008003,"Block Group 3, Census Tract 8, New York County, New York",495,122,0,11,0,11,0,11,0,11,0,11,0,11,0,11,495,122,79,74,133,80,169,85,50,65,21,24,43,38
1500000US360610008004,360610008004,"Block Group 4, Census Tract 8, New York County, New York",829,190,14,23,0,11,14,23,0,11,0,11,0,11,0,11,815,192,36,55,305,117,161,119,119,81,194,125,0,11
1500000US360610008005,360610008005,"Block Group 5, Census Tract 8, New York County, New York",817,141,14,21,0,11,0,11,0,11,0,11,0,11,14,21,803,136,123,85,332,125,66,55,158,96,83,56,41,38
1500000US360610008006,360610008006,"Block Group 6, Census Tract 8, New York County, New York",577,145,35,55,0,11,35,55,0,11,0,11,0,11,0,11,542,142,75,80,180,118,191,105,17,25,79,47,0,11
1500000US360610009000,360610009000,"Block Group 0, Census Tract 9, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610009001,360610009001,"Block Group 1, Census Tract 9, New York County, New York",646,83,88,29,31,21,46,27,0,11,2,3,9,15,0,11,558,84,461,83,83,40,9,8,0,11,0,11,5,7
1500000US360610009002,360610009002,"Block Group 2, Census Tract 9, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010010,360610010010,"Block Group 0, Census Tract 10.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010011,360610010011,"Block Group 1, Census Tract 10.01, New York County, New York",743,72,578,68,15,14,280,62,107,50,96,43,35,23,45,25,165,70,5,7,92,70,21,25,30,33,12,18,5,8
1500000US360610010020,360610010020,"Block Group 0, Census Tract 10.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010021,360610010021,"Block Group 1, Census Tract 10.02, New York County, New York",822,133,0,11,0,11,0,11,0,11,0,11,0,11,0,11,822,133,51,67,236,128,227,137,82,65,136,97,90,78
1500000US360610010022,360610010022,"Block Group 2, Census Tract 10.02, New York County, New York",695,144,0,11,0,11,0,11,0,11,0,11,0,11,0,11,695,144,44,41,235,114,120,81,219,109,11,18,66,45
1500000US360610010023,360610010023,"Block Group 3, Census Tract 10.02, New York County, New York",741,162,0,11,0,11,0,11,0,11,0,11,0,11,0,11,741,162,37,49,122,81,149,96,236,112,154,128,43,41
