GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",620,311,126,148,0,11,0,11,0,11,0,11,0,11,0,11,0,11,39,58,1,3,46,73,222,243,1,2,1,3,1,3,21,22,4,6,0,11,0,11,25,41,97,55,36,39,0,11,0,11
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",1303,168,80,55,0,11,0,11,0,11,0,11,26,44,29,48,14,22,72,66,32,31,46,34,89,60,15,23,64,43,109,81,390,163,95,68,9,14,154,93,34,31,39,28,0,11,0,11,6,10
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",556,244,19,31,0,11,0,11,0,11,0,11,0,11,0,11,0,11,53,60,19,35,0,11,82,86,49,62,6,15,99,100,30,43,12,20,21,32,3,7,41,45,80,54,10,17,32,38,0,11
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",1881,468,37,43,0,11,0,11,0,11,0,11,0,11,0,11,0,11,18,30,10,21,55,56,38,41,48,44,73,57,28,32,487,261,48,44,96,74,90,64,190,146,400,193,217,115,46,38,0,11
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",966,217,155,126,0,11,0,11,0,11,0,11,38,43,9,15,55,47,89,69,26,39,48,50,16,26,17,28,19,30,19,32,139,106,22,35,17,27,160,121,32,28,105,71,0,11,0,11,0,11
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",1010,268,57,48,0,11,0,11,0,11,0,11,0,11,9,20,48,58,94,77,0,11,74,76,99,94,15,24,37,39,0,11,262,202,61,57,0,11,86,108,47,72,58,44,63,92,0,11,0,11
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",1408,246,28,44,0,11,0,11,12,20,0,11,0,11,0,11,30,45,0,11,21,34,22,36,21,32,19,30,17,31,0,11,189,101,48,54,43,50,150,84,68,87,354,146,241,102,94,59,51,47
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",1436,536,27,41,0,11,60,95,0,11,0,11,178,212,0,11,0,11,53,68,60,98,0,11,32,51,62,71,0,11,55,90,161,129,3,6,0,11,54,87,46,81,308,245,147,132,132,145,58,95
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",1968,844,297,178,0,11,0,11,0,11,0,11,64,77,0,11,137,147,212,217,0,11,55,87,17,43,182,214,0,11,143,145,170,197,0,11,55,94,341,273,191,210,104,102,0,11,0,11,0,11
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",604,395,78,100,0,11,0,11,0,11,0,11,0,11,0,11,0,11,33,62,0,11,0,11,75,103,55,77,0,11,32,63,0,11,44,82,0,11,34,53,0,11,191,172,36,58,26,46,0,11
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",1073,624,46,72,0,11,0,11,0,11,9,18,0,11,0,11,26,43,379,452,39,64,123,116,193,190,54,57,9,18,29,40,120,88,0,11,0,11,9,18,0,11,19,30,9,18,0,11,9,18
1500000US360610006005,360610006005,"Block Group 5, Census Tract 6, New York County, New York",1748,592,167,106,0,11,51,84,0,11,0,11,0,11,0,11,41,70,243,239,30,52,0,11,236,251,112,136,166,233,32,55,124,106,75,86,45,51,130,122,30,48,266,225,0,11,0,11,0,11
1500000US360610006006,360610006006,"Block Group 6, Census Tract 6, New York County, New York",1923,490,39,55,0,11,0,11,29,48,0,11,8,20,0,11,86,80,283,290,10,21,103,106,18,29,48,66,26,44,176,182,365,208,147,155,62,93,221,159,0,11,185,181,0,11,93,146,24,57
1500000US360610007000,360610007000,"Block Group 0, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610007001,360610007001,"Block Group 1, Census Tract 7, New York County, New York",6476,849,139,162,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,101,125,0,16,3,6,1,3,0,16,306,215,31,49,0,16,46,54,262,197,2920,596,1705,480,622,240,340,200
1500000US360610007002,360610007002,"Block Group 2, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008000,360610008000,"Block Group 0, Census Tract 8, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008001,360610008001,"Block Group 1, Census Tract 8, New York County, New York",996,333,88,94,0,11,0,11,0,11,0,11,74,113,69,70,0,11,235,182,12,19,0,11,93,117,15,24,0,11,66,65,122,108,16,29,48,77,0,11,35,53,85,79,19,27,19,31,0,11
1500000US360610008002,360610008002,"Block Group 2, Census Tract 8, New York County, New York",1011,384,74,74,0,11,0,11,0,11,0,11,0,11,13,22,48,61,47,53,20,31,87,81,39,60,37,61,0,11,44,54,123,96,16,25,0,11,108,106,56,54,170,177,57,55,72,109,0,11
1500000US360610008003,360610008003,"Block Group 3, Census Tract 8, New York County, New York",1569,436,242,160,0,11,0,11,0,11,0,11,25,40,0,11,0,11,268,172,45,66,108,118,112,120,49,64,37,48,70,87,150,110,0,11,52,55,59,59,137,102,108,93,107,124,0,11,0,11
1500000US360610008004,360610008004,"Block Group 4, Census Tract 8, New York County, New York",1591,430,32,38,0,11,0,11,0,11,0,11,0,11,43,54,49,65,126,133,25,30,0,11,87,94,15,24,45,53,180,189,283,183,64,85,0,11,78,74,122,86,345,155,97,86,0,11,0,11
1500000US360610008005,360610008005,"Block Group 5, Census Tract 8, New York County, New York",1480,351,36,47,0,11,0,11,0,11,0,11,0,11,0,11,63,70,114,101,30,36,35,47,175,149,0,11,0,11,147,123,313,153,0,11,8,14,131,86,12,19,181,107,167,130,68,79,0,11
1500000US360610008006,360610008006,"Block Group 6, Census Tract 8, New York County, New York",922,341,98,98,0,11,0,11,0,11,0,11,10,16,16,27,68,109,62,63,0,11,94,116,146,121,0,11,35,54,0,11,100,88,0,11,18,29,25,29,13,22,195,197,42,53,0,11,0,11
1500000US360610009000,360610009000,"Block Group 0, Census Tract 9, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610009001,360610009001,"Block Group 1, Census Tract 9, New York County, New York",1425,145,18,19,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1,2,48,36,4,6,21,20,80,66,17,12,628,100,351,85,177,59,80,42
1500000US360610009002,360610009002,"Block Group 2, Census Tract 9, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010010,360610010010,"Block Group 0, Census Tract 10.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010011,360610010011,"Block Group 1, Census Tract 10.01, New York County, New York",1178,88,0,11,0,11,0,11,0,11,0,11,6,9,0,11,14,22,0,11,0,11,0,11,6,9,0,11,0,11,10,12,176,68,22,21,29,21,83,33,80,38,463,92,209,60,64,31,16,13
1500000US360610010020,360610010020,"Block Group 0, Census Tract 10.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010021,360610010021,"Block Group 1, Census Tract 10.02, New York County, New York",1116,314,33,51,0,11,0,11,0,11,0,11,0,11,0,11,0,11,76,93,0,11,19,24,0,11,14,25,87,101,37,38,320,161,54,58,0,11,74,77,174,156,140,113,68,72,20,39,0,11
1500000US360610010022,360610010022,"Block Group 2, Census Tract 10.02, New York County, New York",967,338,20,22,0,11,0,11,0,11,0,11,9,16,14,25,10,15,130,151,24,39,12,19,106,123,11,17,14,28,0,11,468,229,10,15,11,18,120,89,0,11,8,17,0,11,0,11,0,11
1500000US360610010023,360610010023,"Block Group 3, Census Tract 10.02, New York County, New York",2112,510,97,89,0,11,0,11,30,41,0,11,0,11,0,11,50,62,76,66,44,57,40,44,198,142,139,167,164,156,6,9,567,219,49,47,84,86,295,146,93,115,87,97,93,87,0,11,0,11
1500000US360610012001,360610012001,"Block Group 1, Census Tract 12, New York County, New York",1347,189,139,76,0,11,0,11,0,11,0,11,34,37,7,11,7,12,28,27,16,19,53,45,59,56,29,27,26,25,37,47,235,108,28,28,14,19,171,92,48,41,282,105,125,70,9,13,0,11
1500000US360610012002,360610012002,"Block Group 2, Census Tract 12, New York County, New York",706,137,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,20,32,8,13,57,60,0,11,44,35,131,81,19,22,26,25,68,43,0,11,164,74,120,54,28,28,21,23
1500000US360610012003,360610012003,"Block Group 3, Census Tract 12, New York County, New York",978,154,14,21,0,11,0,11,0,11,0,11,0,11,0,11,0,11,17,26,0,11,16,24,0,11,31,42,0,11,0,11,138,70,11,18,8,14,80,46,29,28,412,134,153,65,45,35,24,19
1500000US360610013001,360610013001,"Block Group 1, Census Tract 13, New York County, New York",1823,335,17,27,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,14,23,18,28,0,11,52,53,0,11,995,265,418,144,220,145,89,89
1500000US360610013002,360610013002,"Block Group 2, Census Tract 13, New York County, New York",1893,324,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,63,58,63,58,1005,278,484,152,216,104,62,56
1500000US360610014011,360610014011,"Block Group 1, Census Tract 14.01, New York County, New York",1209,158,10,16,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,10,15,10,15,21,23,0,11,0,11,19,30,141,76,17,19,9,15,102,54,11,17,429,141,259,93,97,59,74,51
1500000US360610014012,360610014012,"Block Group 2, Census Tract 14.01, New York County, New York",1400,187,31,32,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,15,23,0,11,11,16,0,11,0,11,8,12,154,62,9,15,31,28,94,49,88,47,486,132,221,88,144,72,108,58
1500000US360610014021,360610014021,"Block Group 1, Census Tract 14.02, New York County, New York",1318,251,86,39,0,11,0,11,0,11,0,11,33,40,26,31,0,11,18,29,35,30,8,12,24,28,8,14,8,13,8,14,221,121,5,9,9,14,90,62,36,35,443,144,215,94,5,9,40,31
