GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD02,Estimate; Median gross rent -- - Total:
HD02_VD02,Margin of Error; Median gross rent -- - Total:
HD01_VD03,Estimate; Median gross rent -- - Total: - No bedroom
HD02_VD03,Margin of Error; Median gross rent -- - Total: - No bedroom
HD01_VD04,Estimate; Median gross rent -- - Total: - 1 bedroom
HD02_VD04,Margin of Error; Median gross rent -- - Total: - 1 bedroom
HD01_VD05,Estimate; Median gross rent -- - Total: - 2 bedrooms
HD02_VD05,Margin of Error; Median gross rent -- - Total: - 2 bedrooms
HD01_VD06,Estimate; Median gross rent -- - Total: - 3 bedrooms
HD02_VD06,Margin of Error; Median gross rent -- - Total: - 3 bedrooms
HD01_VD07,Estimate; Median gross rent -- - Total: - 4 bedrooms
HD02_VD07,Margin of Error; Median gross rent -- - Total: - 4 bedrooms
HD01_VD08,Estimate; Median gross rent -- - Total: - 5 or more bedrooms
HD02_VD08,Margin of Error; Median gross rent -- - Total: - 5 or more bedrooms
