GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2014 or later,Margin of Error; Total: - Built 2014 or later,Estimate; Total: - Built 2010 to 2013,Margin of Error; Total: - Built 2010 to 2013,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",277,74,0,11,0,11,0,11,0,11,0,11,10,11,30,29,0,11,6,9,231,82
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",818,81,0,11,0,11,0,11,0,11,0,11,254,82,90,66,373,100,48,30,53,42
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",362,137,0,11,0,11,0,11,0,11,13,26,0,11,95,69,17,27,212,113,25,22
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",997,173,0,11,0,11,51,66,0,11,0,11,32,38,654,173,61,58,97,94,102,91
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",703,154,0,11,0,11,0,11,35,39,0,11,0,11,78,64,114,75,423,158,53,49
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",684,147,0,11,0,11,0,11,0,11,0,11,18,29,43,66,126,104,479,161,18,32
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",922,175,0,11,0,11,0,11,22,36,0,11,29,42,105,92,382,104,289,130,95,95
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",40,66,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,40,66
