GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Science and Engineering,Margin of Error; Total: - Science and Engineering,Estimate; Total: - Science and Engineering Related Fields,Margin of Error; Total: - Science and Engineering Related Fields,Estimate; Total: - Business,Margin of Error; Total: - Business,Estimate; Total: - Education,Margin of Error; Total: - Education,"Estimate; Total: - Arts, Humanities and Other","Margin of Error; Total: - Arts, Humanities and Other"
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",133,62,70,56,0,11,13,15,0,11,50,34
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",45,30,36,31,0,11,9,15,0,11,0,11
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",122,66,29,35,19,29,0,11,10,17,64,40
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",663,214,289,168,0,11,121,112,102,96,151,105
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",105,71,52,36,0,11,19,30,0,11,34,54
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",121,100,58,44,0,11,0,11,63,92,0,11
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",740,186,264,139,76,63,139,94,98,87,163,90
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",645,334,368,251,0,11,74,111,76,113,127,141
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",104,102,46,73,0,11,0,11,32,53,26,45
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",253,187,132,107,0,11,121,163,0,11,0,11
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",37,40,19,30,0,11,0,11,9,18,9,18
