License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
1299304,CABARET LIQUOR,256,CR,New York City,1,NEW YORK,512 W42 RETAIL LLC & CACHET HOTEL GROUP LIMITED,PLAYBOY CLUB NEW YORK,512 W 42ND ST,,NEW YORK,NY,10036,776027,10/31/18,10/31/18,9/30/20,40.64282,-73.93724,"(40.64282, -73.93724)"
1022476,CLUB LIQUOR,243,CL,New York City,1,NEW YORK,"JUNIOR LEAGUE OF THE,THE",CITY OF NEW YORK INC,128 130 E 80TH STREET,,NEW YORK,NY,10075,872039,,3/1/17,2/28/19,40.77584852,-73.95905923,"(40.7758485181, -73.9590592256)"
1022475,CLUB LIQUOR,243,CL,New York City,1,NEW YORK,"COSMOPOLITAN CLUB,THE",,122 E 66TH ST & 129 E 65TH ST,,NEW YORK,NY,10065,871651,,3/1/17,2/28/19,40.76669874,-73.9653711,"(40.7666987437, -73.9653710971)"
1022457,CLUB LIQUOR,243,CL,New York City,1,NEW YORK,"NEW YORK ATHLETIC CLUB,THE",NEW YORK ATHLETIC CLUB,180 CENTRAL PARK SOUTH,,NEW YORK,NY,10019,871196,,3/1/17,2/28/19,40.76658982,-73.97854878,"(40.7665898199, -73.9785487793)"
1022477,CLUB LIQUOR,243,CL,New York City,1,NEW YORK,"LEASH,THE",MEMBERSHIP CLUB,41 E 63RD STREET,,NEW YORK,NY,10021,871405,,3/1/17,2/28/19,40.76598769,-73.96918879,"(40.7659876853, -73.9691887923)"
1022468,CLUB LIQUOR,243,CL,New York City,1,NEW YORK,LINKS CLUB INC,THE LINKS,36 E 62ND ST,,NEW YORK,NY,10065,871372,,3/1/17,2/28/19,40.76532747,-73.96988248,"(40.765327466, -73.9698824807)"
1022462,CLUB LIQUOR,243,CL,New York City,1,NEW YORK,COLONY CLUB,,564 PARK AVE,,NEW YORK,NY,10021,871983,,3/1/17,2/28/19,40.7650366,-73.96846162,"(40.7650365987, -73.968461624)"
1022459,CLUB LIQUOR,243,CL,New York City,1,NEW YORK,"NIPPON CLUB INC,THE",,145 W 57TH STREET,CELLAR TO 7TH FLOOR,NEW YORK,NY,10019,8871179,,3/1/17,2/28/19,40.7649079,-73.9784302,"(40.7649079013, -73.9784302027)"
1022488,CLUB LIQUOR,243,CL,New York City,1,NEW YORK,"BROOK INC,THE",,111 E 54TH STREET,,NEW YORK,NY,10022,869922,,3/1/17,2/28/19,40.75950703,-73.97158125,"(40.7595070279, -73.9715812466)"
1022487,CLUB LIQUOR,243,CL,New York City,1,NEW YORK,RACQUET & TENNIS CLUB,,370 PARK AVE,,NEW YORK,NY,10022,872111,,3/1/17,2/28/19,40.75888429,-73.97295134,"(40.758884291, -73.97295134)"
1022509,CLUB LIQUOR,243,CL,New York City,1,NEW YORK,"NEW YORK YACHT CLUB,THE",,37 41 W 44TH STREET,,NEW YORK,NY,10036,872099,,3/1/17,2/28/19,40.75531627,-73.98109272,"(40.7553162726, -73.9810927231)"
1022506,CLUB LIQUOR,243,CL,New York City,1,NEW YORK,"ASSOCIATION OF THE BAR,THE",OF THE CITY OF NEW YORK,42 W 44TH STREET,,NEW YORK,NY,10036,871711,,3/1/17,2/28/19,40.7552837,-73.98131356,"(40.7552836989, -73.9813135635)"
1022504,CLUB LIQUOR,243,CL,New York City,1,NEW YORK,HARVARD CLUB OF NEW YORK CITY,,27 W 44TH STREET,,NEW YORK,NY,10036,8871175,,3/1/17,2/28/19,40.75518486,-73.98078051,"(40.7551848642, -73.9807805116)"
1022507,CLUB LIQUOR,243,CL,New York City,1,NEW YORK,"CENTURY ASSOCIATION,THE",,7 W 43RD STREET,,NEW YORK,NY,10036,8871181,,3/1/17,2/28/19,40.75429448,-73.98062158,"(40.7542944767, -73.9806215755)"
1022449,CLUB LIQUOR,243,CL,New York City,1,NEW YORK,"YALE CLUB OF NEW YORK CITY,THE",,50 VANDERBILT AVE,,NEW YORK,NY,10017,871900,,3/1/17,2/28/19,40.75373687,-73.97747607,"(40.7537368658, -73.9774760674)"
