BOROUGH,House #,Street Name,Job Type,Zip Code,Bldg Type,Residential,Filing Date,Issuance Date,Job Start Date,LATITUDE,LONGITUDE,CENSUS_TRACT,NTA_NAME
MANHATTAN,110,ANDES ROAD,A1,10004,2,,6/27/18 0:00,6/27/18 0:00,2/26/18 0:00,40.692557,-74.016346,5,park-cemetery-etc-Manhattan
MANHATTAN,110,ANDES ROAD,A1,10004,2,,5/24/18 0:00,5/24/18 0:00,5/24/18 0:00,40.692557,-74.016346,5,park-cemetery-etc-Manhattan
MANHATTAN,110,ANDES ROAD,A1,10004,2,,3/15/18 0:00,3/15/18 0:00,2/26/18 0:00,40.692557,-74.016346,5,park-cemetery-etc-Manhattan
MANHATTAN,110,ANDES ROAD,A1,10004,2,,2/23/18 0:00,2/23/18 0:00,2/23/18 0:00,40.692557,-74.016346,5,park-cemetery-etc-Manhattan
MANHATTAN,250,SOUTH STREET,NB,10002,2,YES,1/25/19 0:00,1/25/19 0:00,5/29/15 0:00,40.709974,-73.990759,6,Lower East Side
MANHATTAN,250,SOUTH STREET,NB,10002,2,YES,11/26/18 0:00,11/27/18 0:00,5/29/15 0:00,40.709974,-73.990759,6,Lower East Side
MANHATTAN,250,SOUTH STREET,NB,10002,2,YES,11/26/18 0:00,11/26/18 0:00,11/26/14 0:00,40.709974,-73.990759,6,Lower East Side
MANHATTAN,193,HENRY STREET,NB,10002,2,YES,8/31/18 0:00,8/31/18 0:00,5/4/17 0:00,40.713583,-73.987833,6,Lower East Side
MANHATTAN,201,EAST BROADWAY,NB,10002,2,YES,7/6/18 0:00,7/6/18 0:00,9/13/17 0:00,40.71423,-73.98806,6,Lower East Side
MANHATTAN,250,SOUTH STREET,NB,10002,2,YES,6/22/18 0:00,6/28/18 0:00,11/26/14 0:00,40.709974,-73.990759,6,Lower East Side
MANHATTAN,250,SOUTH STREET,NB,10002,2,YES,6/22/18 0:00,6/22/18 0:00,5/29/15 0:00,40.709974,-73.990759,6,Lower East Side
MANHATTAN,201,EAST BROADWAY,NB,10002,2,YES,6/15/18 0:00,6/15/18 0:00,9/13/17 0:00,40.71423,-73.98806,6,Lower East Side
MANHATTAN,193,HENRY STREET,NB,10002,2,YES,6/15/18 0:00,6/15/18 0:00,5/4/17 0:00,40.713583,-73.987833,6,Lower East Side
MANHATTAN,201,EAST BROADWAY,NB,10002,2,YES,6/11/18 0:00,6/11/18 0:00,9/13/17 0:00,40.71423,-73.98806,6,Lower East Side
MANHATTAN,193,HENRY STREET,NB,10002,2,YES,6/11/18 0:00,6/11/18 0:00,5/4/17 0:00,40.713583,-73.987833,6,Lower East Side
MANHATTAN,201,EAST BROADWAY,NB,10002,2,YES,5/4/18 0:00,5/4/18 0:00,9/13/17 0:00,40.71423,-73.98806,6,Lower East Side
MANHATTAN,193,HENRY STREET,NB,10002,2,YES,4/16/18 0:00,4/16/18 0:00,5/4/17 0:00,40.713583,-73.987833,6,Lower East Side
MANHATTAN,193,HENRY STREET,NB,10002,2,YES,2/21/18 0:00,3/9/18 0:00,5/4/17 0:00,40.713583,-73.987833,6,Lower East Side
MANHATTAN,227,CHERRY STREET,NB,10002,2,YES,1/16/18 0:00,1/16/18 0:00,6/8/15 0:00,40.711063,-73.990885,6,Lower East Side
MANHATTAN,183,EAST BROADWAY,NB,10002,2,YES,1/12/18 0:00,1/12/18 0:00,11/27/06 0:00,40.714143,-73.989128,6,Lower East Side
MANHATTAN,183,EAST BROADWAY,NB,10002,2,YES,1/12/18 0:00,1/12/18 0:00,,40.714143,-73.989128,6,Lower East Side
MANHATTAN,201,EAST BROADWAY,NB,10002,2,YES,11/16/17 0:00,11/16/17 0:00,5/3/17 0:00,40.71423,-73.98806,6,Lower East Side
MANHATTAN,201,EAST BROADWAY,NB,10002,2,YES,11/16/17 0:00,11/16/17 0:00,4/26/17 0:00,40.71423,-73.98806,6,Lower East Side
MANHATTAN,193,HENRY STREET,NB,10002,2,YES,10/10/17 0:00,10/16/17 0:00,4/7/17 0:00,40.713583,-73.987833,6,Lower East Side
MANHATTAN,227,CHERRY STREET,NB,10002,2,YES,10/16/17 0:00,10/16/17 0:00,6/8/15 0:00,40.711063,-73.990885,6,Lower East Side
MANHATTAN,201,EAST BROADWAY,NB,10002,2,YES,10/5/17 0:00,10/5/17 0:00,9/13/17 0:00,40.71423,-73.98806,6,Lower East Side
MANHATTAN,201,EAST BROADWAY,NB,10002,2,YES,9/26/17 0:00,9/26/17 0:00,5/5/17 0:00,40.71423,-73.98806,6,Lower East Side
MANHATTAN,201,EAST BROADWAY,NB,10002,2,YES,9/12/17 0:00,9/13/17 0:00,9/13/17 0:00,40.71423,-73.98806,6,Lower East Side
MANHATTAN,227,CHERRY STREET,NB,10002,2,YES,7/10/17 0:00,7/17/17 0:00,6/8/15 0:00,40.711063,-73.990885,6,Lower East Side
MANHATTAN,193,HENRY STREET,NB,10002,2,YES,6/12/17 0:00,7/14/17 0:00,5/4/17 0:00,40.713583,-73.987833,6,Lower East Side
MANHATTAN,250,SOUTH STREET,NB,10002,2,YES,6/22/17 0:00,6/22/17 0:00,5/29/15 0:00,40.709984,-73.99068,6,Lower East Side
MANHATTAN,250,SOUTH STREET,NB,10002,2,YES,6/22/17 0:00,6/22/17 0:00,11/26/14 0:00,40.709984,-73.99068,6,Lower East Side
MANHATTAN,227,CHERRY STREET,NB,10002,2,YES,6/7/17 0:00,6/7/17 0:00,6/8/15 0:00,40.711063,-73.990885,6,Lower East Side
MANHATTAN,201,EAST BROADWAY,NB,10002,2,YES,5/5/17 0:00,5/5/17 0:00,5/5/17 0:00,40.71423,-73.98806,6,Lower East Side
MANHATTAN,227,CHERRY STREET,NB,10002,2,YES,5/5/17 0:00,5/5/17 0:00,6/8/15 0:00,40.711063,-73.990885,6,Lower East Side
MANHATTAN,193,HENRY STREET,NB,10002,2,YES,5/4/17 0:00,5/4/17 0:00,5/4/17 0:00,40.713583,-73.987833,6,Lower East Side
MANHATTAN,201,EAST BROADWAY,NB,10002,2,YES,4/25/17 0:00,5/3/17 0:00,5/3/17 0:00,40.71423,-73.98806,6,Lower East Side
MANHATTAN,201,EAST BROADWAY,NB,10002,2,YES,4/25/17 0:00,4/26/17 0:00,4/26/17 0:00,40.71423,-73.98806,6,Lower East Side
MANHATTAN,201,EAST BROADWAY,NB,10002,2,YES,4/25/17 0:00,4/25/17 0:00,4/25/17 0:00,40.71423,-73.98806,6,Lower East Side
MANHATTAN,193,HENRY STREET,NB,10002,2,YES,4/7/17 0:00,4/7/17 0:00,4/7/17 0:00,40.713583,-73.987833,6,Lower East Side
MANHATTAN,183,EAST BROADWAY,NB,10002,2,YES,3/28/17 0:00,3/28/17 0:00,,40.714143,-73.989128,6,Lower East Side
MANHATTAN,193,HENRY STREET,NB,10002,2,YES,12/9/16 0:00,12/22/16 0:00,12/22/16 0:00,40.713583,-73.987833,6,Lower East Side
MANHATTAN,193,HENRY STREET,NB,10002,2,YES,12/9/16 0:00,12/9/16 0:00,12/9/16 0:00,40.713583,-73.987833,6,Lower East Side
MANHATTAN,193,HENRY STREET,NB,10002,2,YES,12/9/16 0:00,12/9/16 0:00,12/9/16 0:00,40.713583,-73.987833,6,Lower East Side
