JOB_NUMBER,JOB_TYPE,C_O_ISSUE_DATE,BIN_NUMBER,BOROUGH,NUMBER,STREET,POSTCODE,PR_DWELLING_UNIT,EX_DWELLING_UNIT,APPLICATION_STATUS_RAW,FILING_STATUS_RAW,ITEM_NUMBER,ISSUE_TYPE,LATITUDE,LONGITUDE,CENSUS_TRACT,NTA,LOCATION
121324236,A1,11/26/18,1005894,Manhattan,150,1 AVENUE,10009,0,0,Issued,New,2,Temporary,40.728261,-73.984785,34,East Village,"(40.728261, -73.984785)"
121324236,A1,8/28/18,1005894,Manhattan,150,1 AVENUE,10009,0,0,Issued,New,1,Temporary,40.728261,-73.984785,34,East Village,"(40.728261, -73.984785)"
120938085,A1,10/19/18,1082875,Manhattan,252,1 AVENUE,10009,300,300,Issued,New,11,Temporary,40.731903,-73.982013,44,Stuyvesant Town-Cooper Village,"(40.731903, -73.982013)"
120938085,A1,5/16/18,1082875,Manhattan,252,1 AVENUE,10009,300,300,Issued,New,10,Temporary,40.731903,-73.982013,44,Stuyvesant Town-Cooper Village,"(40.731903, -73.982013)"
120938085,A1,1/12/18,1082875,Manhattan,252,1 AVENUE,10009,300,300,Issued,New,9,Temporary,40.731903,-73.982013,44,Stuyvesant Town-Cooper Village,"(40.731903, -73.982013)"
103787724,A1,3/14/18,1083679,Manhattan,350,1 AVENUE,10010,114,,Issued,New,8,Temporary,40.735106,-73.979671,60,Stuyvesant Town-Cooper Village,"(40.735106, -73.979671)"
103070310,A1,1/24/19,1020600,Manhattan,411,1 AVENUE,10010,,,Issued,New,16,Temporary,40.73765,-73.977995,66,Murray Hill-Kips Bay,"(40.73765, -73.977995)"
103070310,A1,9/19/18,1020600,Manhattan,411,1 AVENUE,10010,,,Issued,New,15,Temporary,40.73765,-73.977995,66,Murray Hill-Kips Bay,"(40.73765, -73.977995)"
101450449,NB,1/16/19,1086501,Manhattan,577,1 AVENUE,10016,209,,Issued,New,57,Temporary,40.743207,-73.973945,70,Murray Hill-Kips Bay,"(40.743207, -73.973945)"
101450449,NB,9/17/18,1086501,Manhattan,577,1 AVENUE,10016,209,,Issued,New,56,Temporary,40.743207,-73.973945,70,Murray Hill-Kips Bay,"(40.743207, -73.973945)"
103070310,A1,2/22/16,1020600,Manhattan,411,1 AVENUE,10010,,,Issued,New,14,Temporary,40.73765,-73.977995,66,Murray Hill-Kips Bay,"(40.73765, -73.977995)"
101450449,NB,6/20/18,1086501,Manhattan,577,1 AVENUE,10016,209,,Issued,New,55,Temporary,40.743207,-73.973945,70,Murray Hill-Kips Bay,"(40.743207, -73.973945)"
101450449,NB,3/23/18,1086501,Manhattan,577,1 AVENUE,10016,209,,Issued,New,54,Temporary,40.743207,-73.973945,70,Murray Hill-Kips Bay,"(40.743207, -73.973945)"
104638288,A1,1/14/19,1040150,Manhattan,948,1 AVENUE,10022,16,,Issued,New,22,Temporary,40.755268,-73.965129,8603,Turtle Bay-East Midtown,"(40.755268, -73.965129)"
