GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than $100,Margin of Error; Total: - Less than $100,Estimate; Total: - $100 to $149,Margin of Error; Total: - $100 to $149,Estimate; Total: - $150 to $199,Margin of Error; Total: - $150 to $199,Estimate; Total: - $200 to $249,Margin of Error; Total: - $200 to $249,Estimate; Total: - $250 to $299,Margin of Error; Total: - $250 to $299,Estimate; Total: - $300 to $349,Margin of Error; Total: - $300 to $349,Estimate; Total: - $350 to $399,Margin of Error; Total: - $350 to $399,Estimate; Total: - $400 to $449,Margin of Error; Total: - $400 to $449,Estimate; Total: - $450 to $499,Margin of Error; Total: - $450 to $499,Estimate; Total: - $500 to $549,Margin of Error; Total: - $500 to $549,Estimate; Total: - $550 to $599,Margin of Error; Total: - $550 to $599,Estimate; Total: - $600 to $649,Margin of Error; Total: - $600 to $649,Estimate; Total: - $650 to $699,Margin of Error; Total: - $650 to $699,Estimate; Total: - $700 to $749,Margin of Error; Total: - $700 to $749,Estimate; Total: - $750 to $799,Margin of Error; Total: - $750 to $799,Estimate; Total: - $800 to $899,Margin of Error; Total: - $800 to $899,Estimate; Total: - $900 to $999,Margin of Error; Total: - $900 to $999,"Estimate; Total: - $1,000 to $1,249","Margin of Error; Total: - $1,000 to $1,249","Estimate; Total: - $1,250 to $1,499","Margin of Error; Total: - $1,250 to $1,499","Estimate; Total: - $1,500 to $1,999","Margin of Error; Total: - $1,500 to $1,999","Estimate; Total: - $2,000 or more","Margin of Error; Total: - $2,000 or more"
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",45,51,0,12,0,12,0,12,28,44,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,26,0,12,0,12
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",32,51,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,32,51,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",106,99,0,19,0,19,0,19,0,19,29,47,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,49,76,0,19,0,19,0,19,28,45,0,19
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",487,206,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,487,206
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",159,103,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,25,40,0,19,24,38,0,19,0,19,33,54,28,44,0,19,0,19,49,54,0,19,0,19
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",158,65,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,18,147,57
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",32,51,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,32,51,0,12,0,12
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",137,116,0,17,0,17,0,17,0,17,137,116,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",94,82,0,12,0,12,32,51,0,12,0,12,31,51,31,49,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",319,126,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,32,52,0,12,287,127
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",26,41,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,26,41,0,12,0,12,0,12,0,12,0,12
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",83,42,0,12,0,12,29,24,0,12,13,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,27,30,0,12,0,12,14,23,0,12,0,12
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",145,131,0,17,0,17,0,17,0,17,0,17,0,17,0,17,54,76,0,17,0,17,0,17,0,17,0,17,49,79,0,17,0,17,0,17,0,17,0,17,0,17,42,67
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",214,136,0,17,0,17,0,17,0,17,31,50,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,43,68,140,110
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",166,108,0,17,0,17,0,17,14,22,31,51,0,17,0,17,25,41,0,17,0,17,0,17,0,17,0,17,0,17,35,55,0,17,0,17,30,47,0,17,31,52,0,17
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",289,135,0,17,0,17,0,17,0,17,0,17,0,17,0,17,89,99,0,17,32,50,0,17,72,80,34,54,0,17,0,17,0,17,29,46,0,17,0,17,0,17,33,53
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",62,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,23,36,0,12,23,36,0,12,0,12,0,12,0,12,0,12,16,27,0,12,0,12,0,12
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York",130,107,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,130,107
1400000US36061002201,36061002201,"Census Tract 22.01, New York County, New York",238,125,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,34,53,55,62,32,52,0,17,0,17,0,17,27,44,0,17,30,46,60,68
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",35,41,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,24,38,0,12,0,12,0,12,0,12
1400000US36061002400,36061002400,"Census Tract 24, New York County, New York",64,60,0,17,0,17,0,17,0,17,24,39,0,17,0,17,20,32,0,17,0,17,0,17,20,33,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1400000US36061002500,36061002500,"Census Tract 25, New York County, New York",55,59,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,25,40,0,17,30,46,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1400000US36061002601,36061002601,"Census Tract 26.01, New York County, New York",49,50,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,28,0,12,0,12,0,12,8,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,25,39
1400000US36061002602,36061002602,"Census Tract 26.02, New York County, New York",61,59,0,12,0,12,0,12,0,12,0,12,0,12,12,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,49,55
1400000US36061002700,36061002700,"Census Tract 27, New York County, New York",12,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061002800,36061002800,"Census Tract 28, New York County, New York",100,91,0,17,0,17,0,17,0,17,0,17,0,17,0,17,29,46,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,71,79
1400000US36061002900,36061002900,"Census Tract 29, New York County, New York",190,108,0,17,0,17,0,17,32,54,0,17,0,17,0,17,0,17,0,17,31,51,0,17,0,17,30,50,0,17,0,17,59,68,0,17,0,17,24,40,14,26,0,17
1400000US36061003001,36061003001,"Census Tract 30.01, New York County, New York",104,76,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,31,48,0,12,0,12,0,12,0,12,16,26,28,44,29,46
1400000US36061003002,36061003002,"Census Tract 30.02, New York County, New York",68,69,0,12,0,12,0,12,0,12,13,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,33,55,0,12,22,36,0,12
1400000US36061003100,36061003100,"Census Tract 31, New York County, New York",33,40,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,32,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,21
1400000US36061003200,36061003200,"Census Tract 32, New York County, New York",172,126,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,56,85,0,17,0,17,0,17,30,47,0,17,86,80,0,17
1400000US36061003300,36061003300,"Census Tract 33, New York County, New York",86,81,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,86,81
1400000US36061003400,36061003400,"Census Tract 34, New York County, New York",185,111,0,17,0,17,0,17,0,17,32,51,0,17,0,17,0,17,31,50,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,90,104,0,17,32,54,0,17
1400000US36061003601,36061003601,"Census Tract 36.01, New York County, New York",56,51,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,33,0,12,0,12,0,12,0,12,0,12,14,22,0,12,0,12,21,34,0,12
1400000US36061003602,36061003602,"Census Tract 36.02, New York County, New York",29,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,25,0,12,0,12,0,12,0,12
1400000US36061003700,36061003700,"Census Tract 37, New York County, New York",52,57,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,28,43,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,24,35,0,12
1400000US36061003800,36061003800,"Census Tract 38, New York County, New York",193,158,0,17,0,17,0,17,0,17,0,17,0,17,36,57,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,42,67,115,136
1400000US36061003900,36061003900,"Census Tract 39, New York County, New York",138,114,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,42,54,96,96
1400000US36061004000,36061004000,"Census Tract 40, New York County, New York",184,176,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,184,176
1400000US36061004100,36061004100,"Census Tract 41, New York County, New York",213,127,0,17,0,17,0,17,0,17,0,17,0,17,0,17,42,65,27,47,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,52,62,19,34,46,74,27,44
1400000US36061004200,36061004200,"Census Tract 42, New York County, New York",40,51,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,29,47,11,18
1400000US36061004300,36061004300,"Census Tract 43, New York County, New York",122,110,0,12,0,12,0,12,0,12,0,12,36,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,86,97
1400000US36061004400,36061004400,"Census Tract 44, New York County, New York",184,134,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,184,134
1400000US36061004500,36061004500,"Census Tract 45, New York County, New York",14,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,21,0,12,0,12
1400000US36061004700,36061004700,"Census Tract 47, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061004800,36061004800,"Census Tract 48, New York County, New York",40,63,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,40,63
1400000US36061004900,36061004900,"Census Tract 49, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061005000,36061005000,"Census Tract 50, New York County, New York",83,92,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,83,92
1400000US36061005200,36061005200,"Census Tract 52, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061005400,36061005400,"Census Tract 54, New York County, New York",68,70,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,68,70
1400000US36061005501,36061005501,"Census Tract 55.01, New York County, New York",137,110,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,41,67,0,12,54,63,42,66
