GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - With interest, dividends, or net rental income","Margin of Error; Total: - With interest, dividends, or net rental income","Estimate; Total: - No interest, dividends, or net rental income","Margin of Error; Total: - No interest, dividends, or net rental income"
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,12,0,12,0,12
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",986,62,114,65,872,86
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",3382,159,367,137,3015,208
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,12,0,12,0,12
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",3838,162,312,150,3526,215
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",4104,296,1072,236,3032,307
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",3950,172,588,156,3362,217
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",367,70,134,45,233,71
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",739,82,270,82,469,91
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",2224,119,59,56,2165,138
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",1694,101,422,122,1272,137
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",2342,183,634,161,1708,214
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",1502,120,661,139,841,134
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",1336,71,181,73,1155,92
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",3000,163,971,192,2029,213
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",2780,196,1073,197,1707,212
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",3018,192,557,191,2461,232
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",2910,219,383,134,2527,271
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",1820,73,42,34,1778,81
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York",2430,181,1155,151,1275,196
1400000US36061002201,36061002201,"Census Tract 22.01, New York County, New York",2777,139,284,106,2493,159
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",981,80,254,88,727,119
1400000US36061002400,36061002400,"Census Tract 24, New York County, New York",2057,105,128,48,1929,106
1400000US36061002500,36061002500,"Census Tract 25, New York County, New York",1864,79,163,83,1701,101
1400000US36061002601,36061002601,"Census Tract 26.01, New York County, New York",1488,72,126,60,1362,85
1400000US36061002602,36061002602,"Census Tract 26.02, New York County, New York",2062,110,383,122,1679,152
1400000US36061002700,36061002700,"Census Tract 27, New York County, New York",535,79,128,50,407,79
1400000US36061002800,36061002800,"Census Tract 28, New York County, New York",3330,136,320,88,3010,133
