GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2010 or later,Margin of Error; Total: - Built 2010 or later,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",1031,48,13,21,0,12,0,12,7,11,272,86,146,72,247,75,49,59,297,67
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",3631,100,0,17,45,54,21,34,11,19,32,36,635,174,857,220,1499,231,531,155
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",10,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,16
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",4008,119,0,19,103,68,356,151,353,116,591,200,793,226,537,138,191,136,1084,215
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",4916,130,0,17,1201,273,368,137,314,128,285,129,113,63,299,129,101,81,2235,293
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",4240,113,0,19,96,73,58,45,24,39,92,72,102,79,157,89,169,80,3542,186
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",819,78,0,12,145,60,31,39,75,43,0,12,17,20,3,6,10,14,538,91
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",806,58,0,12,0,12,5,9,0,12,22,23,44,38,610,88,98,64,27,26
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",2361,54,0,17,0,17,0,17,0,17,216,88,557,175,907,213,291,126,390,156
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",1849,30,0,12,0,12,116,73,43,55,335,97,74,51,484,101,467,120,330,86
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",3038,35,0,12,210,120,123,75,92,77,226,99,62,36,164,100,107,73,2054,157
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",1686,46,0,12,0,12,26,33,0,12,9,13,943,126,612,123,72,56,24,26
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",1489,43,0,12,12,20,98,48,122,62,340,97,138,79,108,66,59,44,612,98
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",3191,91,142,96,138,102,15,28,215,90,1338,227,449,157,53,46,41,38,800,181
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",3267,99,0,17,766,150,229,118,244,124,194,109,117,79,83,80,154,89,1480,216
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",3276,161,0,17,239,118,80,79,27,33,814,128,74,59,29,35,88,78,1925,214
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",3448,137,0,17,232,112,91,66,65,61,155,85,55,52,85,72,178,102,2587,245
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",1882,48,0,12,9,14,0,12,17,20,78,47,147,66,494,136,839,140,298,92
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York",2810,60,0,17,971,169,107,82,438,120,108,74,228,112,80,58,56,42,822,162
1400000US36061002201,36061002201,"Census Tract 22.01, New York County, New York",3015,49,12,18,174,90,34,41,260,103,364,125,1045,177,290,133,141,78,695,166
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",1052,57,0,12,191,80,106,68,47,33,36,40,60,53,56,59,36,32,520,106
1400000US36061002400,36061002400,"Census Tract 24, New York County, New York",2175,50,0,17,0,17,34,55,11,16,343,99,162,84,488,137,831,182,306,101
1400000US36061002500,36061002500,"Census Tract 25, New York County, New York",1919,50,0,17,6,9,9,13,19,29,81,58,118,68,915,157,509,124,262,102
1400000US36061002601,36061002601,"Census Tract 26.01, New York County, New York",1606,43,0,12,186,62,110,63,259,101,82,50,63,50,72,45,37,35,797,133
1400000US36061002602,36061002602,"Census Tract 26.02, New York County, New York",2162,89,0,12,463,156,260,121,0,12,25,41,140,98,21,23,46,38,1207,205
1400000US36061002700,36061002700,"Census Tract 27, New York County, New York",632,57,0,12,0,12,0,12,8,12,17,21,326,71,53,37,14,22,214,58
1400000US36061002800,36061002800,"Census Tract 28, New York County, New York",3430,99,0,17,261,125,211,112,175,95,415,144,744,164,239,145,152,99,1233,223
1400000US36061002900,36061002900,"Census Tract 29, New York County, New York",2458,71,0,17,15,23,88,82,57,51,30,34,207,87,75,56,150,75,1836,181
1400000US36061003001,36061003001,"Census Tract 30.01, New York County, New York",2498,72,12,19,329,134,195,101,10,15,57,45,90,73,99,69,88,46,1618,185
1400000US36061003002,36061003002,"Census Tract 30.02, New York County, New York",1875,76,0,12,34,32,144,96,194,77,259,97,262,81,107,61,128,71,747,118
1400000US36061003100,36061003100,"Census Tract 31, New York County, New York",817,50,9,10,389,78,177,79,80,53,0,12,6,9,0,12,0,12,156,54
1400000US36061003200,36061003200,"Census Tract 32, New York County, New York",4911,96,0,17,93,84,11,18,98,94,36,45,1116,186,409,166,380,158,2768,241
1400000US36061003300,36061003300,"Census Tract 33, New York County, New York",2667,114,0,12,316,101,341,127,132,76,0,12,12,18,23,29,125,88,1718,174
1400000US36061003400,36061003400,"Census Tract 34, New York County, New York",4110,145,0,17,388,151,82,48,61,51,127,100,186,86,302,167,288,109,2676,226
