GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",2042,314,310,194,23,31,0,12,68,95,0,12,22,21,21,33,54,50,75,56,19,20,59,41,154,76,45,54,36,30,65,65,492,161,93,71,40,36,118,81,41,49,267,128,40,37,0,12,0,12
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",6008,575,237,107,0,17,0,17,32,40,0,17,13,22,48,42,60,60,388,220,67,62,325,208,137,82,161,104,118,75,296,137,1238,374,272,120,232,131,901,283,155,101,905,281,321,140,73,55,29,32
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",8600,789,1010,422,0,19,55,67,0,19,152,134,40,46,109,107,319,206,766,309,84,69,424,230,273,198,281,224,341,228,280,145,1306,402,312,145,132,100,628,260,542,336,1166,397,305,169,74,92,1,2
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",6163,709,125,137,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,58,91,1,4,3,6,0,17,53,85,58,59,2,5,55,40,393,262,74,57,2977,608,1350,335,805,262,209,125
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",7794,748,686,256,0,19,16,25,0,19,25,28,115,109,168,131,371,182,749,264,209,117,645,228,576,238,185,100,105,117,303,136,1392,279,99,83,129,92,451,196,151,96,958,271,322,180,57,72,82,96
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",899,193,6,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,35,17,36,59,43,0,12,7,12,81,62,25,24,331,106,204,79,95,39,58,35
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",1295,159,22,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,34,51,0,12,5,10,0,12,0,12,251,91,12,13,13,15,97,54,83,68,480,99,239,76,48,31,11,11
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",4541,521,223,166,0,17,41,50,0,17,101,111,60,45,84,78,28,35,213,91,51,61,141,120,240,117,299,195,366,207,134,81,974,259,304,142,130,99,724,226,162,138,210,97,28,33,28,45,0,17
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",2829,266,134,94,0,12,0,12,0,12,26,41,36,41,32,41,55,51,25,38,9,14,127,89,93,88,36,37,8,13,51,45,308,108,61,51,105,80,253,93,211,107,661,167,423,151,123,53,52,55
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",2887,306,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,23,0,12,11,24,156,119,0,12,47,44,105,66,134,91,1282,264,726,192,290,108,125,90
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",2712,228,85,60,0,12,0,12,0,12,0,12,0,12,8,13,0,12,13,25,9,14,25,36,3,6,3,5,0,12,71,53,426,149,62,45,36,31,160,58,52,48,987,207,390,126,252,102,130,75
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",2430,260,106,50,0,12,0,12,6,9,4,8,0,12,14,23,0,12,88,94,87,54,85,63,54,43,103,88,58,61,98,82,242,81,29,24,106,67,267,139,135,69,562,178,261,127,50,64,75,76
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",4528,355,213,130,0,17,0,17,0,17,0,17,11,19,23,26,0,17,28,39,1,14,59,70,28,25,1,2,22,34,230,123,342,144,43,52,153,90,455,194,93,60,1517,361,714,223,406,160,189,159
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",4485,489,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,29,42,0,17,1,2,2,4,28,33,45,71,38,61,216,120,89,80,2289,410,1036,262,638,188,74,82
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",6628,815,601,227,0,17,10,18,13,21,59,70,25,29,87,73,271,214,666,284,118,97,483,200,118,97,97,88,33,40,257,161,1234,423,10,17,135,96,319,165,241,125,1514,557,213,117,97,88,27,35
