GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - With interest, dividends, or net rental income","Margin of Error; Total: - With interest, dividends, or net rental income","Estimate; Total: - No interest, dividends, or net rental income","Margin of Error; Total: - No interest, dividends, or net rental income"
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,12,0,12,0,12
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",940,74,137,65,803,93
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",3338,168,318,124,3020,211
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,12,0,12,0,12
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",3912,167,336,158,3576,215
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",4225,320,1146,261,3079,320
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",3830,192,491,139,3339,227
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",507,100,166,59,341,81
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",760,67,267,68,493,88
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",2215,125,81,73,2134,131
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",1740,83,469,131,1271,136
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",2310,200,665,150,1645,173
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",1577,102,713,137,864,141
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",1340,72,195,78,1145,91
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",3221,172,914,199,2307,219
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",2845,213,993,187,1852,221
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",3011,197,514,189,2497,235
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",3034,152,495,166,2539,215
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",1855,59,55,40,1800,72
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York",2684,171,1382,206,1302,232
1400000US36061002201,36061002201,"Census Tract 22.01, New York County, New York",2818,127,378,134,2440,166
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",995,73,183,72,812,93
1400000US36061002400,36061002400,"Census Tract 24, New York County, New York",2086,79,129,65,1957,113
1400000US36061002500,36061002500,"Census Tract 25, New York County, New York",1835,77,207,97,1628,117
1400000US36061002601,36061002601,"Census Tract 26.01, New York County, New York",1508,68,131,62,1377,81
1400000US36061002602,36061002602,"Census Tract 26.02, New York County, New York",2059,116,422,141,1637,157
1400000US36061002700,36061002700,"Census Tract 27, New York County, New York",535,72,126,48,409,70
1400000US36061002800,36061002800,"Census Tract 28, New York County, New York",3250,138,301,107,2949,175
