GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",927,75,613,104,306,96,307,83,26,34,281,89,314,98,247,93,67,45
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",3447,166,2025,215,1265,211,760,199,145,94,615,166,1422,236,1383,239,39,48
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",3954,197,2500,303,1221,257,1279,318,169,153,1110,328,1454,267,1371,283,83,56
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",4610,321,1231,240,1152,243,79,63,36,44,43,47,3379,368,2377,354,1002,247
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",3585,180,2411,237,1628,225,783,170,185,105,598,156,1174,233,1060,221,114,77
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",646,83,334,63,299,59,35,28,6,9,29,25,312,70,207,55,105,38
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",743,72,359,73,278,75,81,45,17,20,64,41,384,79,342,77,42,24
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",2258,129,1460,181,359,118,1101,211,214,119,887,220,798,192,784,193,14,21
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",1743,106,860,141,542,141,318,108,99,68,219,88,883,134,808,142,75,50
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",2417,215,602,173,440,143,162,114,104,102,58,48,1815,248,1349,226,466,162
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",1602,88,756,100,585,101,171,76,21,24,150,73,846,122,740,127,106,62
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",1310,78,484,120,283,95,201,74,52,48,149,69,826,126,653,125,173,75
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",3418,220,1244,206,963,181,281,136,129,96,152,91,2174,285,1966,303,208,127
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",3137,213,1090,170,945,175,145,95,85,82,60,48,2047,210,1200,219,847,167
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",2958,226,1728,235,1153,223,575,180,136,93,439,159,1230,249,997,226,233,121
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",3138,171,1338,194,993,196,345,128,101,75,244,111,1800,209,1293,224,507,157
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",1881,59,1147,134,261,82,886,142,63,47,823,140,734,128,724,128,10,15
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York",2821,176,1483,202,1374,212,109,59,0,16,109,59,1338,194,918,181,420,158
1400000US36061002201,36061002201,"Census Tract 22.01, New York County, New York",2892,148,1682,203,833,151,849,199,201,104,648,187,1210,242,1076,235,134,70
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",986,66,297,81,205,74,92,62,5,10,87,61,689,84,495,104,194,66
1400000US36061002400,36061002400,"Census Tract 24, New York County, New York",2148,77,1478,191,654,173,824,213,72,50,752,221,670,176,597,171,73,63
1400000US36061002500,36061002500,"Census Tract 25, New York County, New York",1901,72,1253,144,557,135,696,129,153,81,543,127,648,153,643,152,5,9
1400000US36061002601,36061002601,"Census Tract 26.01, New York County, New York",1556,58,802,127,478,123,324,91,67,40,257,90,754,130,559,126,195,71
1400000US36061002602,36061002602,"Census Tract 26.02, New York County, New York",2129,101,932,180,636,169,296,133,116,97,180,96,1197,170,905,191,292,118
1400000US36061002700,36061002700,"Census Tract 27, New York County, New York",541,66,298,65,211,61,87,39,28,27,59,36,243,53,185,56,58,31
1400000US36061002800,36061002800,"Census Tract 28, New York County, New York",3277,129,1472,212,602,148,870,169,236,129,634,152,1805,227,1503,233,302,104
1400000US36061002900,36061002900,"Census Tract 29, New York County, New York",2068,179,1132,175,671,155,461,180,145,93,316,153,936,156,863,154,73,60
1400000US36061003001,36061003001,"Census Tract 30.01, New York County, New York",2310,161,434,111,318,104,116,69,25,31,91,64,1876,199,1328,243,548,140
1400000US36061003002,36061003002,"Census Tract 30.02, New York County, New York",1773,94,456,109,230,89,226,94,31,37,195,83,1317,127,1092,154,225,84
1400000US36061003100,36061003100,"Census Tract 31, New York County, New York",753,58,289,66,268,70,21,19,0,11,21,19,464,66,353,67,111,41
1400000US36061003200,36061003200,"Census Tract 32, New York County, New York",4517,256,1156,283,745,234,411,189,155,127,256,141,3361,394,2782,387,579,186
1400000US36061003300,36061003300,"Census Tract 33, New York County, New York",2373,167,1279,189,1192,191,87,58,21,29,66,48,1094,211,764,187,330,126
1400000US36061003400,36061003400,"Census Tract 34, New York County, New York",3841,184,827,184,657,179,170,101,0,16,170,101,3014,249,2415,286,599,178
1400000US36061003601,36061003601,"Census Tract 36.01, New York County, New York",1421,98,650,104,250,68,400,99,203,84,197,76,771,128,684,127,87,58
1400000US36061003602,36061003602,"Census Tract 36.02, New York County, New York",1387,97,318,97,235,95,83,44,33,27,50,38,1069,117,840,120,229,83
1400000US36061003700,36061003700,"Census Tract 37, New York County, New York",1316,121,376,83,269,71,107,53,44,39,63,40,940,126,681,129,259,91
1400000US36061003800,36061003800,"Census Tract 38, New York County, New York",5048,337,864,250,713,219,151,114,22,36,129,110,4184,412,3321,405,863,215
1400000US36061003900,36061003900,"Census Tract 39, New York County, New York",2515,268,1239,216,1072,205,167,97,51,44,116,92,1276,206,1156,197,120,61
1400000US36061004000,36061004000,"Census Tract 40, New York County, New York",4233,227,871,286,640,240,231,194,124,158,107,100,3362,359,2209,376,1153,279
1400000US36061004100,36061004100,"Census Tract 41, New York County, New York",3312,219,1385,240,1004,193,381,169,157,93,224,131,1927,268,1461,253,466,168
1400000US36061004200,36061004200,"Census Tract 42, New York County, New York",1527,150,481,125,348,105,133,77,75,72,58,33,1046,156,784,158,262,87
1400000US36061004300,36061004300,"Census Tract 43, New York County, New York",2347,207,610,142,469,118,141,98,38,41,103,86,1737,221,1244,229,493,157
1400000US36061004400,36061004400,"Census Tract 44, New York County, New York",8014,318,2908,420,1981,381,927,337,236,176,691,292,5106,480,3424,520,1682,359
1400000US36061004500,36061004500,"Census Tract 45, New York County, New York",433,75,218,49,183,47,35,24,29,23,6,9,215,72,155,63,60,33
1400000US36061004700,36061004700,"Census Tract 47, New York County, New York",1341,102,452,118,399,122,53,38,0,11,53,38,889,133,733,134,156,71
1400000US36061004800,36061004800,"Census Tract 48, New York County, New York",3481,180,985,190,805,185,180,81,95,64,85,76,2496,236,1755,248,741,209
1400000US36061004900,36061004900,"Census Tract 49, New York County, New York",2550,187,610,124,507,124,103,56,35,35,68,54,1940,195,1527,201,413,130
1400000US36061005000,36061005000,"Census Tract 50, New York County, New York",2998,184,825,179,714,174,111,74,49,56,62,49,2173,236,1644,230,529,161
1400000US36061005200,36061005200,"Census Tract 52, New York County, New York",1459,116,651,130,575,117,76,51,24,24,52,42,808,122,552,121,256,80
1400000US36061005400,36061005400,"Census Tract 54, New York County, New York",2581,171,612,142,516,138,96,76,52,59,44,45,1969,197,1602,210,367,143
1400000US36061005501,36061005501,"Census Tract 55.01, New York County, New York",2179,186,806,152,755,140,51,51,19,36,32,39,1373,230,1184,222,189,112
1400000US36061005502,36061005502,"Census Tract 55.02, New York County, New York",1224,96,431,103,354,84,77,72,0,11,77,72,793,113,611,126,182,54
1400000US36061005600,36061005600,"Census Tract 56, New York County, New York",1645,201,413,124,358,118,55,56,0,11,55,56,1232,195,968,174,264,120
1400000US36061005700,36061005700,"Census Tract 57, New York County, New York",1650,99,606,108,488,98,118,71,30,31,88,60,1044,140,916,152,128,74
1400000US36061005800,36061005800,"Census Tract 58, New York County, New York",1985,131,523,179,478,179,45,45,30,43,15,24,1462,205,1308,210,154,95
1400000US36061005900,36061005900,"Census Tract 59, New York County, New York",2887,207,916,167,872,165,44,42,0,16,44,42,1971,238,1611,232,360,148
1400000US36061006000,36061006000,"Census Tract 60, New York County, New York",2400,107,1048,175,884,146,164,96,42,65,122,71,1352,173,1015,182,337,119
1400000US36061006100,36061006100,"Census Tract 61, New York County, New York",2275,178,667,127,542,134,125,90,54,64,71,68,1608,191,1418,211,190,86
1400000US36061006200,36061006200,"Census Tract 62, New York County, New York",1311,83,519,122,441,112,78,45,17,20,61,40,792,119,558,101,234,85
1400000US36061006300,36061006300,"Census Tract 63, New York County, New York",3754,251,862,169,701,161,161,85,73,60,88,58,2892,310,2376,332,516,163
1400000US36061006400,36061006400,"Census Tract 64, New York County, New York",4401,312,1342,301,914,238,428,210,123,98,305,176,3059,348,2453,321,606,214
1400000US36061006500,36061006500,"Census Tract 65, New York County, New York",3014,193,622,151,496,128,126,92,78,86,48,39,2392,211,1784,237,608,158
1400000US36061006600,36061006600,"Census Tract 66, New York County, New York",6030,448,2030,395,1411,369,619,255,0,18,619,255,4000,541,3304,566,696,297
