GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than $100,Margin of Error; Total: - Less than $100,Estimate; Total: - $100 to $149,Margin of Error; Total: - $100 to $149,Estimate; Total: - $150 to $199,Margin of Error; Total: - $150 to $199,Estimate; Total: - $200 to $249,Margin of Error; Total: - $200 to $249,Estimate; Total: - $250 to $299,Margin of Error; Total: - $250 to $299,Estimate; Total: - $300 to $349,Margin of Error; Total: - $300 to $349,Estimate; Total: - $350 to $399,Margin of Error; Total: - $350 to $399,Estimate; Total: - $400 to $449,Margin of Error; Total: - $400 to $449,Estimate; Total: - $450 to $499,Margin of Error; Total: - $450 to $499,Estimate; Total: - $500 to $549,Margin of Error; Total: - $500 to $549,Estimate; Total: - $550 to $599,Margin of Error; Total: - $550 to $599,Estimate; Total: - $600 to $649,Margin of Error; Total: - $600 to $649,Estimate; Total: - $650 to $699,Margin of Error; Total: - $650 to $699,Estimate; Total: - $700 to $749,Margin of Error; Total: - $700 to $749,Estimate; Total: - $750 to $799,Margin of Error; Total: - $750 to $799,Estimate; Total: - $800 to $899,Margin of Error; Total: - $800 to $899,Estimate; Total: - $900 to $999,Margin of Error; Total: - $900 to $999,"Estimate; Total: - $1,000 to $1,249","Margin of Error; Total: - $1,000 to $1,249","Estimate; Total: - $1,250 to $1,499","Margin of Error; Total: - $1,250 to $1,499","Estimate; Total: - $1,500 to $1,999","Margin of Error; Total: - $1,500 to $1,999","Estimate; Total: - $2,000 or more","Margin of Error; Total: - $2,000 or more"
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",96,70,0,11,0,11,0,11,26,40,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,20,32,0,11,0,11,0,11,0,11,50,44,0,11,0,11
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",44,71,0,16,0,16,0,16,0,16,0,16,0,16,44,71,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",65,80,0,18,0,18,0,18,0,18,28,46,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,37,67,0,18,0,18,0,18,0,18,0,18
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",390,198,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,390,198
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",240,132,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,33,56,0,18,0,18,33,55,0,18,0,18,36,58,30,48,0,18,20,31,60,67,28,46
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",160,68,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,19,23,141,64
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",54,55,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,16,26,0,11,0,11,0,11,0,11,38,50,0,11,0,11
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",147,115,0,16,0,16,0,16,0,16,73,78,74,86,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",63,69,0,11,0,11,0,11,0,11,0,11,32,50,31,49,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",281,174,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,28,44,36,58,0,11,217,141
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",23,37,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,23,37,0,11,0,11,0,11
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",57,41,0,11,0,11,11,18,15,23,17,27,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,14,23,0,11,0,11,0,11,0,11,0,11
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",201,153,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,50,80,52,82,0,16,0,16,0,16,0,16,0,16,99,114
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",233,150,0,16,0,16,0,16,0,16,34,53,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,199,140
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",170,125,0,16,0,16,0,16,0,16,34,55,0,16,0,16,32,51,0,16,0,16,0,16,0,16,0,16,0,16,0,16,38,63,0,16,0,16,33,52,33,54,0,16
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",179,101,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,29,48,0,16,31,49,33,52,0,16,0,16,0,16,32,51,0,16,0,16,23,38,31,50
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",41,46,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,24,38,0,11,0,11,0,11,0,11,0,11,17,28,0,11,0,11,0,11
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York",80,87,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,80,87
1400000US36061002201,36061002201,"Census Tract 22.01, New York County, New York",196,108,0,16,0,16,0,16,0,16,37,59,0,16,0,16,0,16,0,16,0,16,0,16,35,57,59,68,0,16,34,53,0,16,0,16,0,16,0,16,0,16,31,51
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",17,27,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,17,27,0,11,0,11,0,11,0,11
1400000US36061002400,36061002400,"Census Tract 24, New York County, New York",37,43,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,16,27,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,21,32
1400000US36061002500,36061002500,"Census Tract 25, New York County, New York",24,37,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,24,37,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
1400000US36061002601,36061002601,"Census Tract 26.01, New York County, New York",35,40,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,18,30,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,17,27,0,11
1400000US36061002602,36061002602,"Census Tract 26.02, New York County, New York",60,56,0,11,0,11,0,11,0,11,0,11,0,11,12,18,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,48,54
1400000US36061002700,36061002700,"Census Tract 27, New York County, New York",11,18,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,11,18,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061002800,36061002800,"Census Tract 28, New York County, New York",98,89,0,16,0,16,0,16,0,16,0,16,0,16,0,16,32,50,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,66,73
1400000US36061002900,36061002900,"Census Tract 29, New York County, New York",242,139,0,16,0,16,0,16,32,51,0,16,0,16,0,16,0,16,0,16,32,50,0,16,0,16,30,49,0,16,0,16,60,69,0,16,0,16,35,56,0,16,53,67
1400000US36061003001,36061003001,"Census Tract 30.01, New York County, New York",117,105,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,34,56,44,70,0,11,0,11,0,11,0,11,0,11,39,63
1400000US36061003002,36061003002,"Census Tract 30.02, New York County, New York",44,61,0,11,0,11,0,11,0,11,24,38,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,20,33,0,11
1400000US36061003100,36061003100,"Census Tract 31, New York County, New York",37,29,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,5,8,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,32,28
1400000US36061003200,36061003200,"Census Tract 32, New York County, New York",302,201,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,57,83,0,16,0,16,0,16,28,46,0,16,119,115,98,110
1400000US36061003300,36061003300,"Census Tract 33, New York County, New York",72,82,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,72,82
1400000US36061003400,36061003400,"Census Tract 34, New York County, New York",154,142,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,39,64,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,74,118,41,65,0,16
1400000US36061003601,36061003601,"Census Tract 36.01, New York County, New York",90,64,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,25,40,0,11,0,11,0,11,0,11,0,11,15,23,0,11,0,11,0,11,50,47
1400000US36061003602,36061003602,"Census Tract 36.02, New York County, New York",66,59,0,11,0,11,0,11,0,11,0,11,0,11,0,11,22,35,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,22,34,0,11,0,11,0,11,22,35
1400000US36061003700,36061003700,"Census Tract 37, New York County, New York",59,68,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,39,62,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,20,26,0,11
1400000US36061003800,36061003800,"Census Tract 38, New York County, New York",434,259,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,99,160,0,16,43,68,292,197
1400000US36061003900,36061003900,"Census Tract 39, New York County, New York",139,115,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,139,115
1400000US36061004000,36061004000,"Census Tract 40, New York County, New York",185,169,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,185,169
