GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",978,71,638,107,304,82,334,81,53,44,281,87,340,105,261,98,79,46
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",3496,135,1917,214,1216,223,701,194,124,94,577,177,1579,207,1467,210,112,81
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",4232,190,2811,323,1482,328,1329,301,208,179,1121,266,1421,298,1385,296,36,43
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",4578,351,1314,308,1218,310,96,77,60,58,36,53,3264,384,2235,372,1029,259
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",3591,226,2469,279,1597,275,872,181,228,107,644,167,1122,266,1045,245,77,67
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",758,93,385,69,319,77,66,42,10,10,56,40,373,76,256,57,117,41
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",769,60,360,76,282,75,78,39,4,7,74,40,409,80,366,82,43,25
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",2297,122,1500,202,329,111,1171,202,202,122,969,197,797,186,769,189,28,41
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",1844,83,878,141,580,124,298,108,95,56,203,86,966,144,916,143,50,27
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",2421,227,625,173,478,132,147,104,92,85,55,48,1796,215,1314,228,482,133
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",1634,71,773,124,606,114,167,76,18,22,149,73,861,122,744,128,117,62
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",1370,72,586,115,348,94,238,70,76,50,162,62,784,108,622,106,162,63
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",3561,251,1269,215,1012,207,257,121,132,96,125,67,2292,284,1952,267,340,136
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",3090,233,998,206,890,198,108,76,61,62,47,41,2092,248,1258,246,834,183
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",3028,216,1597,280,1130,274,467,171,147,103,320,128,1431,260,1175,253,256,128
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",3118,178,1270,229,862,195,408,144,169,122,239,96,1848,225,1301,229,547,162
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",1897,66,1093,145,322,89,771,148,40,48,731,140,804,134,804,134,0,11
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York",2876,175,1574,182,1461,170,113,66,0,16,113,66,1302,206,920,193,382,130
1400000US36061002201,36061002201,"Census Tract 22.01, New York County, New York",3009,132,1618,193,732,174,886,210,226,122,660,176,1391,194,1241,194,150,65
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",1030,67,332,66,227,72,105,56,26,32,79,59,698,72,502,96,196,67
1400000US36061002400,36061002400,"Census Tract 24, New York County, New York",2145,59,1384,206,533,131,851,205,49,37,802,205,761,206,690,203,71,58
1400000US36061002500,36061002500,"Census Tract 25, New York County, New York",1986,83,1341,144,549,132,792,134,181,135,611,138,645,133,640,133,5,8
1400000US36061002601,36061002601,"Census Tract 26.01, New York County, New York",1539,82,851,123,460,117,391,97,125,63,266,75,688,126,529,121,159,59
1400000US36061002602,36061002602,"Census Tract 26.02, New York County, New York",2136,102,846,185,538,168,308,119,103,96,205,103,1290,172,973,181,317,119
1400000US36061002700,36061002700,"Census Tract 27, New York County, New York",597,49,353,59,225,50,128,53,27,29,101,51,244,61,199,62,45,29
1400000US36061002800,36061002800,"Census Tract 28, New York County, New York",3292,154,1568,265,608,158,960,207,158,122,802,201,1724,234,1473,239,251,100
1400000US36061002900,36061002900,"Census Tract 29, New York County, New York",2165,162,1127,192,743,182,384,144,157,100,227,109,1038,190,944,187,94,63
1400000US36061003001,36061003001,"Census Tract 30.01, New York County, New York",2312,155,376,113,194,64,182,101,70,60,112,90,1936,187,1417,193,519,151
1400000US36061003002,36061003002,"Census Tract 30.02, New York County, New York",1756,87,431,105,202,75,229,90,18,20,211,87,1325,132,1112,150,213,74
1400000US36061003100,36061003100,"Census Tract 31, New York County, New York",730,75,293,67,267,64,26,21,0,11,26,21,437,72,319,66,118,41
1400000US36061003200,36061003200,"Census Tract 32, New York County, New York",4471,223,1125,302,740,270,385,174,167,132,218,126,3346,342,2578,367,768,217
1400000US36061003300,36061003300,"Census Tract 33, New York County, New York",2298,167,1157,220,1087,210,70,46,10,18,60,40,1141,204,870,198,271,108
1400000US36061003400,36061003400,"Census Tract 34, New York County, New York",3791,220,737,158,589,147,148,95,0,16,148,95,3054,272,2366,311,688,201
1400000US36061003601,36061003601,"Census Tract 36.01, New York County, New York",1438,110,647,108,283,85,364,96,179,80,185,75,791,101,717,107,74,50
1400000US36061003602,36061003602,"Census Tract 36.02, New York County, New York",1414,88,423,111,313,111,110,50,39,30,71,42,991,135,781,141,210,59
1400000US36061003700,36061003700,"Census Tract 37, New York County, New York",1361,124,431,81,326,74,105,48,42,33,63,37,930,129,708,128,222,78
1400000US36061003800,36061003800,"Census Tract 38, New York County, New York",5018,304,855,234,734,225,121,102,45,37,76,95,4163,386,3145,406,1018,262
1400000US36061003900,36061003900,"Census Tract 39, New York County, New York",2528,285,1246,222,985,197,261,112,49,39,212,112,1282,221,1144,210,138,78
1400000US36061004000,36061004000,"Census Tract 40, New York County, New York",4147,285,820,300,596,241,224,193,140,170,84,84,3327,409,2219,385,1108,304
1400000US36061004100,36061004100,"Census Tract 41, New York County, New York",3323,223,1404,210,1020,173,384,177,132,108,252,142,1919,241,1383,250,536,173
1400000US36061004200,36061004200,"Census Tract 42, New York County, New York",1542,133,546,136,401,114,145,81,77,69,68,40,996,126,729,116,267,83
1400000US36061004300,36061004300,"Census Tract 43, New York County, New York",2314,164,714,144,549,133,165,115,38,30,127,109,1600,197,1166,206,434,122
1400000US36061004400,36061004400,"Census Tract 44, New York County, New York",7945,341,2756,468,1831,471,925,387,183,185,742,334,5189,552,3565,595,1624,428
1400000US36061004500,36061004500,"Census Tract 45, New York County, New York",420,81,228,45,180,42,48,29,30,23,18,19,192,65,151,58,41,23
1400000US36061004700,36061004700,"Census Tract 47, New York County, New York",1308,124,406,92,371,94,35,34,0,11,35,34,902,137,703,140,199,69
1400000US36061004800,36061004800,"Census Tract 48, New York County, New York",3393,259,847,179,727,182,120,88,47,45,73,82,2546,291,1881,273,665,200
1400000US36061004900,36061004900,"Census Tract 49, New York County, New York",2454,193,630,159,527,148,103,62,24,27,79,58,1824,194,1483,234,341,128
1400000US36061005000,36061005000,"Census Tract 50, New York County, New York",2847,208,715,193,646,186,69,57,42,48,27,31,2132,284,1544,289,588,149
1400000US36061005200,36061005200,"Census Tract 52, New York County, New York",1465,133,648,123,557,111,91,51,16,18,75,48,817,129,571,121,246,82
1400000US36061005400,36061005400,"Census Tract 54, New York County, New York",2517,171,754,183,661,173,93,81,63,71,30,38,1763,235,1460,207,303,115
1400000US36061005501,36061005501,"Census Tract 55.01, New York County, New York",2159,198,908,189,856,187,52,52,0,11,52,52,1251,213,1081,207,170,100
1400000US36061005502,36061005502,"Census Tract 55.02, New York County, New York",1167,101,376,96,302,77,74,65,11,16,63,64,791,116,623,126,168,61
1400000US36061005600,36061005600,"Census Tract 56, New York County, New York",1678,203,443,149,415,148,28,33,0,11,28,33,1235,196,961,182,274,106
1400000US36061005700,36061005700,"Census Tract 57, New York County, New York",1654,119,586,84,492,68,94,66,8,13,86,66,1068,122,964,142,104,64
1400000US36061005800,36061005800,"Census Tract 58, New York County, New York",1993,155,512,166,444,152,68,50,51,44,17,26,1481,198,1276,215,205,113
1400000US36061005900,36061005900,"Census Tract 59, New York County, New York",2981,215,1061,215,1014,218,47,34,0,16,47,34,1920,233,1655,241,265,135
1400000US36061006000,36061006000,"Census Tract 60, New York County, New York",2334,111,945,150,803,151,142,76,0,16,142,76,1389,152,966,180,423,135
1400000US36061006100,36061006100,"Census Tract 61, New York County, New York",2351,184,653,163,481,138,172,100,64,67,108,69,1698,205,1491,197,207,90
1400000US36061006200,36061006200,"Census Tract 62, New York County, New York",1299,80,491,114,397,99,94,53,17,21,77,49,808,127,556,117,252,72
1400000US36061006300,36061006300,"Census Tract 63, New York County, New York",3736,242,979,170,864,172,115,81,55,50,60,56,2757,256,2286,267,471,160
1400000US36061006400,36061006400,"Census Tract 64, New York County, New York",4546,263,1376,324,925,268,451,225,125,94,326,201,3170,348,2524,319,646,213
1400000US36061006500,36061006500,"Census Tract 65, New York County, New York",3041,208,758,175,586,130,172,121,115,103,57,59,2283,228,1702,215,581,153
1400000US36061006600,36061006600,"Census Tract 66, New York County, New York",6197,480,1982,524,1380,419,602,391,18,41,584,383,4215,599,3478,650,737,335
