GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",1933,306,241,151,0,11,0,11,0,11,0,11,58,82,22,35,15,23,130,71,43,48,89,71,129,71,24,33,59,49,77,62,425,144,82,61,7,13,194,99,74,66,194,114,70,63,0,11,0,11
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",6001,474,169,129,0,16,0,16,9,15,0,16,32,35,19,29,100,81,243,121,88,78,348,208,100,67,113,79,138,84,120,84,1375,469,225,128,159,101,665,247,308,153,1104,259,474,201,149,80,63,43
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",8284,953,524,236,0,18,89,119,28,45,114,144,323,238,45,70,314,181,795,370,140,129,251,165,435,267,551,262,186,230,332,191,775,319,236,173,310,233,762,378,339,226,1298,466,214,132,211,196,12,39
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",6766,812,125,144,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,87,118,1,3,4,6,1,2,53,86,201,169,26,42,0,16,196,152,238,177,3258,579,1582,405,665,256,329,197
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",7328,618,694,244,0,16,0,16,0,16,0,16,135,85,76,66,308,164,638,284,247,134,315,189,566,238,190,115,170,128,372,169,1222,333,61,63,71,64,423,203,287,139,972,394,444,217,137,129,0,16
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",1414,149,15,18,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,52,33,4,5,18,19,117,77,19,15,575,98,345,92,174,59,95,53
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",1248,133,0,11,0,11,0,11,0,11,0,11,5,9,0,11,14,21,0,11,0,11,0,11,0,11,0,11,0,11,10,12,253,137,14,16,31,21,102,38,61,36,496,96,187,56,56,31,19,14
