GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - With interest, dividends, or net rental income","Margin of Error; Total: - With interest, dividends, or net rental income","Estimate; Total: - No interest, dividends, or net rental income","Margin of Error; Total: - No interest, dividends, or net rental income"
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,11,0,11,0,11
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",978,62,100,60,878,76
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",3541,120,564,162,2977,184
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,11,0,11,0,11
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",4161,194,282,176,3879,247
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",4511,313,1217,320,3294,369
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",3431,219,321,137,3110,249
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",843,82,262,62,581,68
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",790,46,242,61,548,70
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",2389,117,28,34,2361,121
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",1870,72,366,110,1504,125
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",2470,196,674,164,1796,238
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",1676,81,683,97,993,120
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",1378,67,230,76,1148,81
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",3693,224,889,224,2804,245
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",3138,217,931,201,2207,249
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",2899,245,403,140,2496,237
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",3120,162,551,147,2569,199
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",1955,49,40,24,1915,56
