GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2014 or later,Margin of Error; Total: - Built 2014 or later,Estimate; Total: - Built 2010 to 2013,Margin of Error; Total: - Built 2010 to 2013,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",1065,36,0,11,12,24,0,11,0,11,0,11,280,100,108,73,319,93,33,30,313,96
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",3697,59,0,16,0,16,48,62,41,47,9,18,88,71,839,212,768,193,1581,286,323,139
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",4252,167,0,18,0,18,91,81,211,178,291,179,691,243,866,300,672,223,133,146,1297,325
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",5276,173,0,16,65,100,414,193,298,148,414,208,397,183,259,140,425,173,203,143,2801,335
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",3913,134,0,16,0,16,128,86,117,69,86,63,178,100,88,75,39,36,182,101,3095,224
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",1106,42,0,11,12,14,403,66,34,30,135,55,30,19,18,15,21,19,7,8,446,65
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",856,18,0,11,0,11,0,11,5,8,0,11,9,10,41,29,692,56,85,46,24,25
