GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2014 or later,Margin of Error; Total: - Built 2014 or later,Estimate; Total: - Built 2010 to 2013,Margin of Error; Total: - Built 2010 to 2013,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",1095,41,0,11,0,11,0,11,0,11,0,11,264,82,120,78,373,100,54,30,284,90
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",3668,94,0,16,0,16,51,66,57,53,13,26,79,64,975,216,700,181,1500,259,293,148
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",40,66,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,40,66
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",4336,167,0,18,0,18,34,60,114,80,469,234,773,233,756,277,594,170,53,64,1543,301
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",5425,183,0,16,70,105,370,210,228,137,415,241,491,203,315,157,388,207,222,157,2926,328
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",3940,135,0,16,0,16,74,63,115,83,133,92,173,105,89,79,23,28,189,102,3144,236
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",1094,36,0,11,13,13,366,70,47,29,143,49,30,19,15,17,24,23,9,9,447,65
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",850,21,0,11,0,11,0,11,0,11,0,11,17,14,49,29,664,60,79,42,41,35
