GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",220,80,113,84,86,76,27,44,0,11,27,44,107,46,52,44,55,30
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",765,81,529,89,186,94,343,88,79,57,264,87,236,86,236,86,0,11
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",315,125,239,115,177,109,62,43,24,30,38,30,76,52,64,51,12,21
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",942,189,546,178,321,156,225,118,36,42,189,114,396,155,396,155,0,11
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",703,154,281,101,87,65,194,87,33,38,161,81,422,155,405,157,17,28
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",603,151,366,145,217,124,149,93,34,40,115,86,237,134,237,134,0,11
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",871,144,431,120,237,108,194,80,73,58,121,60,440,147,397,146,43,42
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",659,225,460,201,329,179,131,139,116,136,15,24,199,164,199,164,0,11
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",907,244,590,248,251,157,339,210,183,167,156,144,317,151,317,151,0,11
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",286,139,179,135,104,91,75,103,0,11,75,103,107,79,107,79,0,11
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",412,180,164,132,141,131,23,38,0,11,23,38,248,157,208,148,40,49
1500000US360610006005,360610006005,"Block Group 5, Census Tract 6, New York County, New York",861,186,578,202,281,157,297,194,0,11,297,194,283,137,254,128,29,47
1500000US360610006006,360610006006,"Block Group 6, Census Tract 6, New York County, New York",973,207,583,188,388,194,195,150,0,11,195,150,390,212,390,212,0,11
1500000US360610007000,360610007000,"Block Group 0, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610007001,360610007001,"Block Group 1, Census Tract 7, New York County, New York",4322,373,1391,363,1316,360,75,74,31,49,44,61,2931,373,1855,380,1076,216
1500000US360610007002,360610007002,"Block Group 2, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008000,360610008000,"Block Group 0, Census Tract 8, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008001,360610008001,"Block Group 1, Census Tract 8, New York County, New York",462,159,311,110,157,77,154,101,97,89,57,56,151,118,142,117,9,15
1500000US360610008002,360610008002,"Block Group 2, Census Tract 8, New York County, New York",491,126,212,98,97,72,115,82,53,67,62,55,279,136,252,135,27,35
1500000US360610008003,360610008003,"Block Group 3, Census Tract 8, New York County, New York",586,127,430,132,316,116,114,87,0,11,114,87,156,89,64,61,92,79
1500000US360610008004,360610008004,"Block Group 4, Census Tract 8, New York County, New York",822,165,566,179,251,132,315,152,50,55,265,142,256,122,256,122,0,11
1500000US360610008005,360610008005,"Block Group 5, Census Tract 8, New York County, New York",797,177,501,150,373,149,128,76,60,57,68,57,296,137,264,135,32,52
1500000US360610008006,360610008006,"Block Group 6, Census Tract 8, New York County, New York",493,159,255,115,169,101,86,84,37,56,49,66,238,124,215,123,23,36
1500000US360610009000,360610009000,"Block Group 0, Census Tract 9, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610009001,360610009001,"Block Group 1, Census Tract 9, New York County, New York",851,72,432,73,374,68,58,31,20,12,38,27,419,69,288,59,131,37
1500000US360610009002,360610009002,"Block Group 2, Census Tract 9, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010010,360610010010,"Block Group 0, Census Tract 10.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010011,360610010011,"Block Group 1, Census Tract 10.01, New York County, New York",799,46,311,60,258,55,53,27,17,16,36,20,488,71,456,72,32,21
1500000US360610010020,360610010020,"Block Group 0, Census Tract 10.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010021,360610010021,"Block Group 1, Census Tract 10.02, New York County, New York",719,175,469,161,97,68,372,160,22,37,350,155,250,143,250,143,0,11
1500000US360610010022,360610010022,"Block Group 2, Census Tract 10.02, New York County, New York",635,201,176,101,109,80,67,62,23,30,44,60,459,189,459,189,0,11
1500000US360610010023,360610010023,"Block Group 3, Census Tract 10.02, New York County, New York",1114,236,651,213,156,111,495,193,98,113,397,171,463,218,440,218,23,38
