GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",324,100,225,95,133,70,92,70,0,11,92,70,99,57,41,44,58,43
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",603,101,388,90,173,69,215,74,26,34,189,69,215,88,206,87,9,13
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",283,111,183,115,159,109,24,31,13,21,11,22,100,60,100,60,0,11
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",721,148,416,123,210,92,206,95,31,39,175,94,305,106,305,106,0,11
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",855,175,409,139,92,88,317,129,28,32,289,127,446,165,446,165,0,11
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",677,180,429,152,335,141,94,69,26,30,68,66,248,134,248,134,0,11
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",911,148,588,157,469,146,119,98,47,75,72,60,323,114,284,109,39,48
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",416,164,117,82,91,68,26,44,0,11,26,44,299,156,281,156,18,22
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",1132,275,698,277,233,136,465,263,100,123,365,248,434,187,416,189,18,31
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",314,161,227,156,227,156,0,11,0,11,0,11,87,63,87,63,0,11
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",360,146,152,120,85,84,67,81,48,75,19,30,208,124,182,121,26,28
1500000US360610006005,360610006005,"Block Group 5, Census Tract 6, New York County, New York",886,231,714,250,236,117,478,227,21,36,457,223,172,108,151,104,21,34
1500000US360610006006,360610006006,"Block Group 6, Census Tract 6, New York County, New York",846,235,592,216,349,150,243,171,0,11,243,171,254,134,254,134,0,11
1500000US360610007000,360610007000,"Block Group 0, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610007001,360610007001,"Block Group 1, Census Tract 7, New York County, New York",4610,321,1231,240,1152,243,79,63,36,44,43,47,3379,368,2377,354,1002,247
1500000US360610007002,360610007002,"Block Group 2, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008000,360610008000,"Block Group 0, Census Tract 8, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008001,360610008001,"Block Group 1, Census Tract 8, New York County, New York",398,118,280,103,212,97,68,47,15,24,53,46,118,82,82,56,36,60
1500000US360610008002,360610008002,"Block Group 2, Census Tract 8, New York County, New York",469,121,308,99,187,87,121,68,47,44,74,60,161,103,149,99,12,21
1500000US360610008003,360610008003,"Block Group 3, Census Tract 8, New York County, New York",495,122,423,124,250,120,173,70,13,27,160,67,72,52,62,49,10,17
1500000US360610008004,360610008004,"Block Group 4, Census Tract 8, New York County, New York",829,190,520,170,351,160,169,101,14,22,155,104,309,122,295,123,14,24
1500000US360610008005,360610008005,"Block Group 5, Census Tract 8, New York County, New York",817,141,573,142,440,141,133,68,32,36,101,58,244,85,244,85,0,11
1500000US360610008006,360610008006,"Block Group 6, Census Tract 8, New York County, New York",577,145,307,122,188,102,119,98,64,77,55,63,270,134,228,125,42,44
1500000US360610009000,360610009000,"Block Group 0, Census Tract 9, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610009001,360610009001,"Block Group 1, Census Tract 9, New York County, New York",646,83,334,63,299,59,35,28,6,9,29,25,312,70,207,55,105,38
1500000US360610009002,360610009002,"Block Group 2, Census Tract 9, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010010,360610010010,"Block Group 0, Census Tract 10.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010011,360610010011,"Block Group 1, Census Tract 10.01, New York County, New York",743,72,359,73,278,75,81,45,17,20,64,41,384,79,342,77,42,24
1500000US360610010020,360610010020,"Block Group 0, Census Tract 10.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010021,360610010021,"Block Group 1, Census Tract 10.02, New York County, New York",822,133,536,151,96,65,440,159,60,69,380,165,286,133,286,133,0,11
1500000US360610010022,360610010022,"Block Group 2, Census Tract 10.02, New York County, New York",695,144,357,123,156,73,201,112,49,37,152,109,338,127,338,127,0,11
1500000US360610010023,360610010023,"Block Group 3, Census Tract 10.02, New York County, New York",741,162,567,161,107,63,460,170,105,83,355,163,174,97,160,102,14,21
