GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Science and Engineering,Margin of Error; Total: - Science and Engineering,Estimate; Total: - Science and Engineering Related Fields,Margin of Error; Total: - Science and Engineering Related Fields,Estimate; Total: - Business,Margin of Error; Total: - Business,Estimate; Total: - Education,Margin of Error; Total: - Education,"Estimate; Total: - Arts, Humanities and Other","Margin of Error; Total: - Arts, Humanities and Other"
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",186,107,76,70,0,11,34,33,0,11,76,49
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",94,56,48,34,0,11,14,25,16,13,16,25
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",102,76,41,46,35,53,0,11,0,11,26,30
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",480,179,185,153,0,11,60,64,43,49,192,106
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",119,66,79,60,9,18,0,11,0,11,31,36
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",108,92,15,24,0,11,0,11,66,96,27,45
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",597,214,186,135,51,52,155,112,67,69,138,84
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",306,163,70,61,0,11,61,65,30,50,145,117
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",188,150,70,83,0,11,28,47,90,114,0,11
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",198,159,42,52,0,11,0,11,13,23,143,168
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",20,15,0,11,0,11,6,13,14,20,0,11
