GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",1985,313,269,181,17,24,0,11,62,84,0,11,49,56,0,11,69,70,62,54,31,37,95,78,115,71,20,26,37,34,65,61,479,145,100,63,40,35,139,91,56,54,217,108,63,53,0,11,0,11
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",6073,465,222,154,0,16,0,16,27,32,0,16,12,21,28,34,80,54,340,189,81,63,269,186,93,72,156,96,124,78,242,142,1481,412,222,109,200,112,893,246,197,116,959,235,326,133,91,69,30,36
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",8360,877,988,381,0,18,25,41,24,39,125,118,39,44,103,95,300,185,713,316,126,107,337,167,474,284,446,198,296,211,358,202,1177,455,286,176,115,81,604,266,525,411,965,423,238,153,73,91,23,56
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",6758,704,128,147,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,89,115,1,2,2,4,0,16,51,81,103,98,0,16,64,75,357,259,106,100,3175,620,1714,414,691,249,277,147
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",7346,595,602,197,0,18,14,22,0,18,13,21,122,90,193,138,440,177,812,274,224,142,476,187,588,239,209,104,163,134,252,130,1165,262,29,37,130,79,395,190,201,152,861,316,330,163,68,87,59,99
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",1084,154,12,18,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,17,36,0,11,61,43,0,11,22,24,129,86,14,13,359,102,255,82,127,42,88,45
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",1230,146,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,32,49,0,11,4,7,0,11,7,11,204,116,19,17,24,20,103,49,85,65,463,95,241,80,32,24,16,14
