GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2010 or later,Margin of Error; Total: - Built 2010 or later,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",1042,47,16,27,0,11,0,11,0,11,303,83,79,45,217,71,73,64,354,92
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",3662,104,0,16,86,94,0,16,12,21,69,58,665,197,845,201,1542,226,443,161
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",9,16,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,9,16
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",4084,164,0,18,112,73,233,173,305,139,730,235,1051,290,557,178,161,127,935,276
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",5422,187,56,87,903,281,324,162,321,168,351,164,191,118,473,176,219,153,2584,306
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",3964,127,0,18,136,99,56,41,45,57,164,92,119,87,105,65,116,69,3223,197
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",1087,47,6,8,299,68,39,31,146,72,23,19,15,12,26,20,11,16,522,93
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",849,17,0,11,0,11,6,8,0,11,5,8,56,39,667,74,98,65,17,16
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",2405,43,0,16,0,16,0,16,29,30,226,114,444,178,1127,214,131,99,448,181
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",1897,41,0,11,6,9,115,80,0,11,437,90,34,27,567,107,360,96,378,115
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",3079,87,11,18,159,119,212,101,29,33,224,104,74,58,115,71,69,57,2186,191
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",1717,50,0,11,0,11,18,20,6,10,9,14,1013,141,551,120,100,63,20,24
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",1456,48,0,11,0,11,118,58,98,41,263,88,105,60,87,51,110,56,675,117
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",3741,109,241,104,321,162,0,16,229,144,1448,219,581,178,93,89,82,61,746,211
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",3727,115,0,16,1002,201,285,131,282,138,327,132,120,78,119,95,134,83,1458,224
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",3224,202,0,16,208,115,79,82,16,24,872,179,120,77,48,41,218,120,1663,234
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",3485,116,0,16,216,108,147,72,134,95,272,116,64,53,125,82,242,121,2285,220
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",1922,36,0,11,0,11,10,15,24,23,117,75,140,64,510,140,823,144,298,93
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York",3174,52,0,16,1202,159,113,67,494,143,79,53,191,97,50,81,73,53,972,174
1400000US36061002201,36061002201,"Census Tract 22.01, New York County, New York",3088,97,78,65,196,112,42,48,211,100,439,184,1052,179,214,107,278,130,578,175
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",1054,45,0,11,303,85,39,25,43,33,28,30,97,52,45,48,46,38,453,102
1400000US36061002400,36061002400,"Census Tract 24, New York County, New York",2210,44,0,16,0,16,33,54,0,16,388,127,155,94,723,185,621,176,290,133
