GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Science and Engineering,Margin of Error; Total: - Science and Engineering,Estimate; Total: - Science and Engineering Related Fields,Margin of Error; Total: - Science and Engineering Related Fields,Estimate; Total: - Business,Margin of Error; Total: - Business,Estimate; Total: - Education,Margin of Error; Total: - Education,"Estimate; Total: - Arts, Humanities and Other","Margin of Error; Total: - Arts, Humanities and Other"
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",280,118,124,73,0,11,48,45,16,13,92,55
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",1406,261,506,247,95,76,215,106,176,125,414,135
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",1299,443,493,254,35,42,219,163,147,129,405,220
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",5857,638,2173,384,261,144,1618,407,164,131,1641,382
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",1318,402,410,254,0,18,335,208,155,110,418,180
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",829,144,266,80,31,25,222,74,27,28,283,69
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",752,115,173,58,72,44,137,74,98,48,272,61
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",300,149,66,68,42,57,39,48,47,66,106,73
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",1231,264,299,105,57,56,201,79,57,36,617,222
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",2793,341,1040,301,106,81,848,199,39,35,760,208
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",1742,228,511,124,179,103,353,110,102,68,597,142
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",888,199,209,110,23,37,140,77,73,66,443,121
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",3139,407,980,239,170,115,799,298,85,55,1105,302
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",4267,486,1885,309,157,112,968,246,16,22,1241,238
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",1998,538,640,239,135,98,619,282,55,71,549,223
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",2490,426,1041,294,150,95,442,172,17,26,840,236
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",334,142,85,68,53,66,49,44,32,50,115,90
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York",4285,430,1665,310,196,113,996,268,70,50,1358,228
1400000US36061002201,36061002201,"Census Tract 22.01, New York County, New York",1470,343,476,172,10,17,246,154,82,60,656,231
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",1063,180,257,101,15,19,119,68,17,19,655,128
1400000US36061002400,36061002400,"Census Tract 24, New York County, New York",935,270,329,170,118,88,253,122,57,51,178,122
1400000US36061002500,36061002500,"Census Tract 25, New York County, New York",379,127,101,71,37,47,96,85,17,28,128,96
1400000US36061002601,36061002601,"Census Tract 26.01, New York County, New York",1307,239,381,143,47,46,229,113,96,69,554,149
1400000US36061002602,36061002602,"Census Tract 26.02, New York County, New York",2247,305,688,247,180,112,270,153,67,65,1042,254
1400000US36061002700,36061002700,"Census Tract 27, New York County, New York",494,160,204,107,59,43,108,56,13,15,110,48
1400000US36061002800,36061002800,"Census Tract 28, New York County, New York",2132,310,497,194,118,86,539,185,131,115,847,187
1400000US36061002900,36061002900,"Census Tract 29, New York County, New York",994,249,339,163,68,65,219,112,13,21,355,150
1400000US36061003001,36061003001,"Census Tract 30.01, New York County, New York",2368,299,695,239,146,95,453,169,0,11,1074,242
1400000US36061003002,36061003002,"Census Tract 30.02, New York County, New York",1497,204,342,103,15,18,416,165,99,67,625,128
1400000US36061003100,36061003100,"Census Tract 31, New York County, New York",940,126,365,78,28,18,229,72,13,13,305,81
1400000US36061003200,36061003200,"Census Tract 32, New York County, New York",4789,550,1310,352,156,111,725,249,165,94,2433,487
1400000US36061003300,36061003300,"Census Tract 33, New York County, New York",3624,319,1103,216,144,89,613,162,126,105,1638,273
1400000US36061003400,36061003400,"Census Tract 34, New York County, New York",3812,425,1307,322,116,74,469,236,187,125,1733,351
1400000US36061003601,36061003601,"Census Tract 36.01, New York County, New York",948,165,279,94,17,19,350,127,38,36,264,104
1400000US36061003602,36061003602,"Census Tract 36.02, New York County, New York",1313,214,524,162,76,67,210,95,30,38,473,117
1400000US36061003700,36061003700,"Census Tract 37, New York County, New York",1527,276,488,141,59,48,174,72,92,62,714,204
1400000US36061003800,36061003800,"Census Tract 38, New York County, New York",4436,572,1412,371,223,138,571,232,164,136,2066,417
1400000US36061003900,36061003900,"Census Tract 39, New York County, New York",2938,464,1207,277,47,45,634,214,141,113,909,265
1400000US36061004000,36061004000,"Census Tract 40, New York County, New York",5398,764,1940,468,185,161,1156,542,141,127,1976,485
1400000US36061004100,36061004100,"Census Tract 41, New York County, New York",3104,538,1345,464,136,89,730,280,33,37,860,241
1400000US36061004200,36061004200,"Census Tract 42, New York County, New York",2010,286,541,169,68,49,383,142,65,40,953,247
1400000US36061004300,36061004300,"Census Tract 43, New York County, New York",2290,378,622,187,101,80,478,228,14,22,1075,241
1400000US36061004400,36061004400,"Census Tract 44, New York County, New York",9832,1100,3069,629,770,313,2048,618,664,294,3281,672
1400000US36061004500,36061004500,"Census Tract 45, New York County, New York",677,142,231,100,8,11,72,50,25,28,341,96
1400000US36061004700,36061004700,"Census Tract 47, New York County, New York",1577,190,400,111,16,18,470,172,84,50,607,171
1400000US36061004800,36061004800,"Census Tract 48, New York County, New York",3948,405,1310,286,275,140,775,236,219,99,1369,315
1400000US36061004900,36061004900,"Census Tract 49, New York County, New York",2960,415,1051,217,159,91,488,191,68,66,1194,271
1400000US36061005000,36061005000,"Census Tract 50, New York County, New York",3738,449,1108,272,134,84,900,322,87,57,1509,384
1400000US36061005200,36061005200,"Census Tract 52, New York County, New York",2106,271,756,173,74,40,512,132,20,19,744,155
1400000US36061005400,36061005400,"Census Tract 54, New York County, New York",3090,320,1060,221,14,22,725,230,92,63,1199,250
1400000US36061005501,36061005501,"Census Tract 55.01, New York County, New York",3203,366,1720,336,51,45,195,119,108,79,1129,250
1400000US36061005502,36061005502,"Census Tract 55.02, New York County, New York",1638,231,606,152,11,16,265,125,29,27,727,142
1400000US36061005600,36061005600,"Census Tract 56, New York County, New York",1720,280,721,165,106,78,323,154,24,34,546,168
1400000US36061005700,36061005700,"Census Tract 57, New York County, New York",2165,213,1064,177,90,59,325,126,109,56,577,128
1400000US36061005800,36061005800,"Census Tract 58, New York County, New York",2235,280,1035,194,27,31,486,243,57,63,630,161
