GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Lower contract rent quartile,Margin of Error; Lower contract rent quartile
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",-,**
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",-,**
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",-,**
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",292,46
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",-,**
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",324,313
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",828,85
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",232,28
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",303,88
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",-,**
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",-,**
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",-,**
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",-,**
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",-,**
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",841,73
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",317,46
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",813,769
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",519,154
1500000US360610006005,360610006005,"Block Group 5, Census Tract 6, New York County, New York",321,20
1500000US360610006006,360610006006,"Block Group 6, Census Tract 6, New York County, New York",297,65
1500000US360610007000,360610007000,"Block Group 0, Census Tract 7, New York County, New York",-,**
1500000US360610007001,360610007001,"Block Group 1, Census Tract 7, New York County, New York",2638,103
1500000US360610007002,360610007002,"Block Group 2, Census Tract 7, New York County, New York",-,**
1500000US360610008000,360610008000,"Block Group 0, Census Tract 8, New York County, New York",-,**
1500000US360610008001,360610008001,"Block Group 1, Census Tract 8, New York County, New York",405,361
1500000US360610008002,360610008002,"Block Group 2, Census Tract 8, New York County, New York",625,451
1500000US360610008003,360610008003,"Block Group 3, Census Tract 8, New York County, New York",768,298
1500000US360610008004,360610008004,"Block Group 4, Census Tract 8, New York County, New York",845,99
1500000US360610008005,360610008005,"Block Group 5, Census Tract 8, New York County, New York",809,99
1500000US360610008006,360610008006,"Block Group 6, Census Tract 8, New York County, New York",649,179
1500000US360610009000,360610009000,"Block Group 0, Census Tract 9, New York County, New York",-,**
1500000US360610009001,360610009001,"Block Group 1, Census Tract 9, New York County, New York",3196,132
1500000US360610009002,360610009002,"Block Group 2, Census Tract 9, New York County, New York",-,**
1500000US360610010010,360610010010,"Block Group 0, Census Tract 10.01, New York County, New York",-,**
1500000US360610010011,360610010011,"Block Group 1, Census Tract 10.01, New York County, New York",826,176
1500000US360610010020,360610010020,"Block Group 0, Census Tract 10.02, New York County, New York",-,**
1500000US360610010021,360610010021,"Block Group 1, Census Tract 10.02, New York County, New York",306,72
1500000US360610010022,360610010022,"Block Group 2, Census Tract 10.02, New York County, New York",284,51
1500000US360610010023,360610010023,"Block Group 3, Census Tract 10.02, New York County, New York",316,42
1500000US360610012001,360610012001,"Block Group 1, Census Tract 12, New York County, New York",301,70
1500000US360610012002,360610012002,"Block Group 2, Census Tract 12, New York County, New York",-,**
1500000US360610012003,360610012003,"Block Group 3, Census Tract 12, New York County, New York",928,246
1500000US360610013001,360610013001,"Block Group 1, Census Tract 13, New York County, New York",2511,174
1500000US360610013002,360610013002,"Block Group 2, Census Tract 13, New York County, New York",2631,73
1500000US360610014011,360610014011,"Block Group 1, Census Tract 14.01, New York County, New York",673,609
1500000US360610014012,360610014012,"Block Group 2, Census Tract 14.01, New York County, New York",641,287
1500000US360610014021,360610014021,"Block Group 1, Census Tract 14.02, New York County, New York",350,236
1500000US360610014022,360610014022,"Block Group 2, Census Tract 14.02, New York County, New York",418,80
1500000US360610015010,360610015010,"Block Group 0, Census Tract 15.01, New York County, New York",-,**
1500000US360610015011,360610015011,"Block Group 1, Census Tract 15.01, New York County, New York",2678,327
1500000US360610015012,360610015012,"Block Group 2, Census Tract 15.01, New York County, New York",607,168
1500000US360610015013,360610015013,"Block Group 3, Census Tract 15.01, New York County, New York",231,42
1500000US360610015020,360610015020,"Block Group 0, Census Tract 15.02, New York County, New York",-,**
1500000US360610015021,360610015021,"Block Group 1, Census Tract 15.02, New York County, New York",2387,240
1500000US360610015022,360610015022,"Block Group 2, Census Tract 15.02, New York County, New York",2723,173
1500000US360610015023,360610015023,"Block Group 3, Census Tract 15.02, New York County, New York",-,**
1500000US360610016001,360610016001,"Block Group 1, Census Tract 16, New York County, New York",534,140
1500000US360610016002,360610016002,"Block Group 2, Census Tract 16, New York County, New York",-,**
1500000US360610016003,360610016003,"Block Group 3, Census Tract 16, New York County, New York",830,158
1500000US360610016004,360610016004,"Block Group 4, Census Tract 16, New York County, New York",1327,244
1500000US360610016005,360610016005,"Block Group 5, Census Tract 16, New York County, New York",781,722
1500000US360610018001,360610018001,"Block Group 1, Census Tract 18, New York County, New York",377,187
1500000US360610018002,360610018002,"Block Group 2, Census Tract 18, New York County, New York",715,114
1500000US360610018003,360610018003,"Block Group 3, Census Tract 18, New York County, New York",963,603
1500000US360610018004,360610018004,"Block Group 4, Census Tract 18, New York County, New York",410,88
1500000US360610018005,360610018005,"Block Group 5, Census Tract 18, New York County, New York",577,242
1500000US360610018006,360610018006,"Block Group 6, Census Tract 18, New York County, New York",-,**
1500000US360610018007,360610018007,"Block Group 7, Census Tract 18, New York County, New York",1089,60
1500000US360610020000,360610020000,"Block Group 0, Census Tract 20, New York County, New York",-,**
1500000US360610020001,360610020001,"Block Group 1, Census Tract 20, New York County, New York",249,25
1500000US360610020002,360610020002,"Block Group 2, Census Tract 20, New York County, New York",287,61
1500000US360610020003,360610020003,"Block Group 3, Census Tract 20, New York County, New York",461,21
1500000US360610021001,360610021001,"Block Group 1, Census Tract 21, New York County, New York",2551,1305
1500000US360610021002,360610021002,"Block Group 2, Census Tract 21, New York County, New York",2769,534
1500000US360610022011,360610022011,"Block Group 1, Census Tract 22.01, New York County, New York",265,105
