GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Has one or more types of computing devices:,Margin of Error; Total: - Has one or more types of computing devices:,Estimate; Total: - Has one or more types of computing devices: - Desktop or laptop,Margin of Error; Total: - Has one or more types of computing devices: - Desktop or laptop,Estimate; Total: - Has one or more types of computing devices: - Desktop or laptop - Desktop or laptop with no other type of computing device,Margin of Error; Total: - Has one or more types of computing devices: - Desktop or laptop - Desktop or laptop with no other type of computing device,Estimate; Total: - Has one or more types of computing devices: - Smartphone,Margin of Error; Total: - Has one or more types of computing devices: - Smartphone,Estimate; Total: - Has one or more types of computing devices: - Smartphone - Smartphone with no other type of computing device,Margin of Error; Total: - Has one or more types of computing devices: - Smartphone - Smartphone with no other type of computing device,Estimate; Total: - Has one or more types of computing devices: - Tablet or other portable wireless computer,Margin of Error; Total: - Has one or more types of computing devices: - Tablet or other portable wireless computer,Estimate; Total: - Has one or more types of computing devices: - Tablet or other portable wireless computer - Tablet or other portable wireless computer with no other type of computing device,Margin of Error; Total: - Has one or more types of computing devices: - Tablet or other portable wireless computer - Tablet or other portable wireless computer with no other type of computing device,Estimate; Total: - Has one or more types of computing devices: - Other computer,Margin of Error; Total: - Has one or more types of computing devices: - Other computer,Estimate; Total: - Has one or more types of computing devices: - Other computer - Other computer with no other type of computing device,Margin of Error; Total: - Has one or more types of computing devices: - Other computer - Other computer with no other type of computing device,Estimate; Total: - No Computer,Margin of Error; Total: - No Computer
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",220,80,109,45,109,45,9,15,79,34,0,11,62,35,0,11,16,25,0,11,111,79
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",765,81,485,110,436,112,111,56,360,100,0,11,202,76,9,15,38,41,0,11,280,96
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",315,125,262,111,156,78,17,27,232,105,77,88,134,67,0,11,0,11,0,11,53,60
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",942,189,715,175,672,175,109,97,595,169,43,56,411,147,0,11,17,28,0,11,227,142
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",703,154,432,113,343,111,52,53,352,102,36,40,265,106,0,11,0,11,0,11,271,137
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",603,151,400,137,295,136,72,68,328,148,74,93,115,71,0,11,63,92,0,11,203,123
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",871,144,772,142,772,142,75,58,681,142,0,11,452,117,0,11,80,57,0,11,99,54
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",659,225,332,171,332,171,0,11,317,169,0,11,332,171,0,11,38,65,0,11,327,207
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",907,244,539,211,390,195,209,130,330,209,70,67,172,157,0,11,0,11,0,11,368,162
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",286,139,109,83,109,83,32,63,77,69,0,11,77,69,0,11,0,11,0,11,177,115
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",412,180,130,96,130,96,68,85,62,50,0,11,62,50,0,11,20,33,0,11,282,162
1500000US360610006005,360610006005,"Block Group 5, Census Tract 6, New York County, New York",861,186,673,188,646,193,317,181,320,149,0,11,245,144,0,11,0,11,0,11,188,90
1500000US360610006006,360610006006,"Block Group 6, Census Tract 6, New York County, New York",973,207,740,242,595,228,97,142,533,213,121,155,385,181,24,38,204,186,0,11,233,170
1500000US360610007000,360610007000,"Block Group 0, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610007001,360610007001,"Block Group 1, Census Tract 7, New York County, New York",4322,373,4312,375,4232,378,116,87,4038,405,23,39,2955,450,0,16,225,161,57,91,10,35
1500000US360610007002,360610007002,"Block Group 2, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008000,360610008000,"Block Group 0, Census Tract 8, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008001,360610008001,"Block Group 1, Census Tract 8, New York County, New York",462,159,318,105,257,105,11,18,307,104,46,61,158,83,0,11,0,11,0,11,144,125
1500000US360610008002,360610008002,"Block Group 2, Census Tract 8, New York County, New York",491,126,363,95,332,100,11,19,352,95,0,11,256,86,0,11,90,52,0,11,128,114
1500000US360610008003,360610008003,"Block Group 3, Census Tract 8, New York County, New York",586,127,362,135,318,126,56,55,261,114,44,51,199,106,0,11,0,11,0,11,224,104
1500000US360610008004,360610008004,"Block Group 4, Census Tract 8, New York County, New York",822,165,603,144,555,151,87,67,462,141,34,48,394,156,14,22,0,11,0,11,219,100
1500000US360610008005,360610008005,"Block Group 5, Census Tract 8, New York County, New York",797,177,370,109,347,107,25,32,300,110,12,20,208,91,0,11,0,11,0,11,427,176
1500000US360610008006,360610008006,"Block Group 6, Census Tract 8, New York County, New York",493,159,216,124,216,124,27,47,189,112,0,11,110,85,0,11,0,11,0,11,277,127
1500000US360610009000,360610009000,"Block Group 0, Census Tract 9, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610009001,360610009001,"Block Group 1, Census Tract 9, New York County, New York",851,72,837,70,788,78,19,19,787,70,12,16,667,74,0,11,73,36,0,11,14,22
1500000US360610009002,360610009002,"Block Group 2, Census Tract 9, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010010,360610010010,"Block Group 0, Census Tract 10.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010011,360610010011,"Block Group 1, Census Tract 10.01, New York County, New York",799,46,701,60,647,66,168,58,498,72,25,29,323,64,18,22,20,17,0,11,98,48
1500000US360610010020,360610010020,"Block Group 0, Census Tract 10.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010021,360610010021,"Block Group 1, Census Tract 10.02, New York County, New York",719,175,413,130,367,130,193,113,198,96,14,23,143,89,22,37,12,21,0,11,306,163
1500000US360610010022,360610010022,"Block Group 2, Census Tract 10.02, New York County, New York",635,201,202,105,179,102,68,82,124,96,10,17,90,77,0,11,34,58,0,11,433,192
1500000US360610010023,360610010023,"Block Group 3, Census Tract 10.02, New York County, New York",1114,236,804,223,560,160,90,67,702,222,145,148,402,222,0,11,32,54,0,11,310,151
1500000US360610012001,360610012001,"Block Group 1, Census Tract 12, New York County, New York",785,90,478,91,389,86,67,54,380,97,52,50,295,80,0,11,10,17,10,17,307,75
1500000US360610012002,360610012002,"Block Group 2, Census Tract 12, New York County, New York",506,90,383,89,375,89,106,55,270,86,8,13,154,52,0,11,12,19,0,11,123,66
1500000US360610012003,360610012003,"Block Group 3, Census Tract 12, New York County, New York",584,83,491,86,467,85,82,50,373,84,16,17,349,79,8,14,0,11,0,11,93,62
1500000US360610013001,360610013001,"Block Group 1, Census Tract 13, New York County, New York",1188,188,1188,188,1138,182,0,11,1145,188,20,30,865,161,0,11,121,83,0,11,0,11
1500000US360610013002,360610013002,"Block Group 2, Census Tract 13, New York County, New York",1385,178,1385,178,1359,181,0,11,1385,178,0,11,1109,187,0,11,202,126,0,11,0,11
1500000US360610014011,360610014011,"Block Group 1, Census Tract 14.01, New York County, New York",790,84,604,92,593,89,72,55,492,101,11,17,255,71,0,11,20,22,0,11,186,66
1500000US360610014012,360610014012,"Block Group 2, Census Tract 14.01, New York County, New York",817,98,726,105,683,101,64,50,651,108,32,51,438,97,0,11,41,30,0,11,91,44
1500000US360610014021,360610014021,"Block Group 1, Census Tract 14.02, New York County, New York",804,102,554,92,539,93,49,39,489,92,0,11,382,83,0,11,74,52,0,11,250,71
1500000US360610014022,360610014022,"Block Group 2, Census Tract 14.02, New York County, New York",589,79,440,80,418,83,118,72,307,75,16,18,178,68,0,11,49,40,0,11,149,65
1500000US360610015010,360610015010,"Block Group 0, Census Tract 15.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610015011,360610015011,"Block Group 1, Census Tract 15.01, New York County, New York",1345,218,1345,218,1271,228,63,67,1282,219,74,101,980,213,0,11,114,124,0,11,0,11
1500000US360610015012,360610015012,"Block Group 2, Census Tract 15.01, New York County, New York",1741,232,1507,241,1388,234,295,128,1102,201,19,29,858,193,68,88,48,46,0,11,234,124
1500000US360610015013,360610015013,"Block Group 3, Census Tract 15.01, New York County, New York",653,171,412,128,412,128,64,59,348,123,0,11,220,85,0,11,49,70,0,11,241,132
1500000US360610015020,360610015020,"Block Group 0, Census Tract 15.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610015021,360610015021,"Block Group 1, Census Tract 15.02, New York County, New York",1165,157,1106,161,1106,161,46,54,1039,154,0,11,775,129,0,11,72,51,0,11,59,69
1500000US360610015022,360610015022,"Block Group 2, Census Tract 15.02, New York County, New York",1970,206,1970,206,1870,206,45,59,1807,209,29,25,1476,220,37,55,164,94,0,11,0,11
1500000US360610015023,360610015023,"Block Group 3, Census Tract 15.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610016001,360610016001,"Block Group 1, Census Tract 16, New York County, New York",1013,131,619,144,523,139,99,64,520,136,51,60,371,118,0,11,0,11,0,11,394,134
1500000US360610016002,360610016002,"Block Group 2, Census Tract 16, New York County, New York",309,96,191,90,172,89,14,23,163,86,19,30,112,69,0,11,0,11,0,11,118,94
1500000US360610016003,360610016003,"Block Group 3, Census Tract 16, New York County, New York",609,178,474,175,427,166,146,122,328,146,47,73,157,94,0,11,70,83,0,11,135,102
1500000US360610016004,360610016004,"Block Group 4, Census Tract 16, New York County, New York",494,128,441,132,370,126,85,71,346,132,36,59,291,119,0,11,25,40,0,11,53,62
1500000US360610016005,360610016005,"Block Group 5, Census Tract 16, New York County, New York",442,123,425,123,425,123,19,30,406,117,0,11,296,106,0,11,20,32,0,11,17,26
1500000US360610018001,360610018001,"Block Group 1, Census Tract 18, New York County, New York",575,177,452,158,425,158,43,72,367,141,0,11,199,117,16,26,0,11,0,11,123,113
1500000US360610018002,360610018002,"Block Group 2, Census Tract 18, New York County, New York",253,89,253,89,253,89,18,29,235,96,0,11,222,96,0,11,0,11,0,11,0,11
1500000US360610018003,360610018003,"Block Group 3, Census Tract 18, New York County, New York",638,150,638,150,549,131,71,72,567,145,43,69,428,119,0,11,17,28,0,11,0,11
1500000US360610018004,360610018004,"Block Group 4, Census Tract 18, New York County, New York",351,126,201,83,185,77,47,59,154,69,0,11,115,62,0,11,0,11,0,11,150,107
1500000US360610018005,360610018005,"Block Group 5, Census Tract 18, New York County, New York",401,145,235,111,206,108,8,13,227,110,16,26,159,92,0,11,0,11,0,11,166,97
1500000US360610018006,360610018006,"Block Group 6, Census Tract 18, New York County, New York",589,158,354,156,308,132,42,51,312,152,0,11,166,108,0,11,12,30,0,11,235,114
1500000US360610018007,360610018007,"Block Group 7, Census Tract 18, New York County, New York",342,102,249,88,211,89,15,25,234,89,17,35,126,73,0,11,43,40,0,11,93,80
1500000US360610020000,360610020000,"Block Group 0, Census Tract 20, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610020001,360610020001,"Block Group 1, Census Tract 20, New York County, New York",1007,122,522,141,429,129,140,89,376,114,58,58,195,71,0,11,6,10,0,11,485,125
1500000US360610020002,360610020002,"Block Group 2, Census Tract 20, New York County, New York",655,102,382,103,341,103,77,55,265,85,0,11,100,57,0,11,66,45,31,45,273,108
1500000US360610020003,360610020003,"Block Group 3, Census Tract 20, New York County, New York",339,80,260,75,218,76,0,11,221,80,0,11,124,51,14,22,0,11,0,11,79,53
1500000US360610021001,360610021001,"Block Group 1, Census Tract 21, New York County, New York",1324,174,1324,174,1291,170,72,67,1252,179,17,27,980,156,0,11,14,23,0,11,0,11
1500000US360610021002,360610021002,"Block Group 2, Census Tract 21, New York County, New York",1458,205,1407,198,1389,196,65,58,1297,189,0,11,1159,196,0,11,233,134,0,11,51,46
1500000US360610022011,360610022011,"Block Group 1, Census Tract 22.01, New York County, New York",898,174,620,153,545,149,208,123,412,119,63,63,162,75,0,11,0,11,0,11,278,118
1500000US360610022012,360610022012,"Block Group 2, Census Tract 22.01, New York County, New York",418,140,388,131,388,131,0,11,375,133,0,11,258,106,0,11,0,11,0,11,30,49
1500000US360610022013,360610022013,"Block Group 3, Census Tract 22.01, New York County, New York",522,166,321,140,281,141,86,96,235,105,18,31,139,88,0,11,0,11,0,11,201,108
1500000US360610022014,360610022014,"Block Group 4, Census Tract 22.01, New York County, New York",1187,182,918,177,863,173,124,95,765,161,0,11,531,147,12,20,0,11,0,11,269,124
1500000US360610022021,360610022021,"Block Group 1, Census Tract 22.02, New York County, New York",1128,61,1039,86,873,129,159,105,829,113,50,57,545,122,0,11,45,56,0,11,89,58
1500000US360610024000,360610024000,"Block Group 0, Census Tract 24, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610024001,360610024001,"Block Group 1, Census Tract 24, New York County, New York",1166,129,863,171,732,170,324,140,521,160,84,75,240,120,0,11,34,41,18,30,303,152
1500000US360610024002,360610024002,"Block Group 2, Census Tract 24, New York County, New York",713,128,490,130,356,125,117,73,373,127,119,79,242,112,0,11,37,58,0,11,223,119
1500000US360610025000,360610025000,"Block Group 0, Census Tract 25, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
