GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000:","Margin of Error; Less than $10,000:","Estimate; Less than $10,000: - With dial-up Internet subscription alone","Margin of Error; Less than $10,000: - With dial-up Internet subscription alone","Estimate; Less than $10,000: - With a broadband Internet subscription","Margin of Error; Less than $10,000: - With a broadband Internet subscription","Estimate; Less than $10,000: - Without an Internet subscription","Margin of Error; Less than $10,000: - Without an Internet subscription","Estimate; $10,000 to $19,999:","Margin of Error; $10,000 to $19,999:","Estimate; $10,000 to $19,999: - With dial-up Internet subscription alone","Margin of Error; $10,000 to $19,999: - With dial-up Internet subscription alone","Estimate; $10,000 to $19,999: - With a broadband Internet subscription","Margin of Error; $10,000 to $19,999: - With a broadband Internet subscription","Estimate; $10,000 to $19,999: - Without an Internet subscription","Margin of Error; $10,000 to $19,999: - Without an Internet subscription","Estimate; $20,000 to $34,999:","Margin of Error; $20,000 to $34,999:","Estimate; $20,000 to $34,999: - With dial-up Internet subscription alone","Margin of Error; $20,000 to $34,999: - With dial-up Internet subscription alone","Estimate; $20,000 to $34,999: - With a broadband Internet subscription","Margin of Error; $20,000 to $34,999: - With a broadband Internet subscription","Estimate; $20,000 to $34,999: - Without an Internet subscription","Margin of Error; $20,000 to $34,999: - Without an Internet subscription","Estimate; $35,000 to $49,999:","Margin of Error; $35,000 to $49,999:","Estimate; $35,000 to $49,999: - With dial-up Internet subscription alone","Margin of Error; $35,000 to $49,999: - With dial-up Internet subscription alone","Estimate; $35,000 to $49,999: - With a broadband Internet subscription","Margin of Error; $35,000 to $49,999: - With a broadband Internet subscription","Estimate; $35,000 to $49,999: - Without an Internet subscription","Margin of Error; $35,000 to $49,999: - Without an Internet subscription","Estimate; $50,000 to $74,999:","Margin of Error; $50,000 to $74,999:","Estimate; $50,000 to $74,999: - With dial-up Internet subscription alone","Margin of Error; $50,000 to $74,999: - With dial-up Internet subscription alone","Estimate; $50,000 to $74,999: - With a broadband Internet subscription","Margin of Error; $50,000 to $74,999: - With a broadband Internet subscription","Estimate; $50,000 to $74,999: - Without an Internet subscription","Margin of Error; $50,000 to $74,999: - Without an Internet subscription","Estimate; $75,000 or more:","Margin of Error; $75,000 or more:","Estimate; $75,000 or more: - With dial-up Internet subscription alone","Margin of Error; $75,000 or more: - With dial-up Internet subscription alone","Estimate; $75,000 or more: - With a broadband Internet subscription","Margin of Error; $75,000 or more: - With a broadband Internet subscription","Estimate; $75,000 or more: - Without an Internet subscription","Margin of Error; $75,000 or more: - Without an Internet subscription"
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",220,80,22,33,0,11,0,11,22,33,5,8,0,11,5,8,0,11,51,56,0,11,24,36,27,44,73,66,0,11,22,28,51,64,33,26,0,11,22,25,11,18,36,21,0,11,36,21,0,11
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",765,81,232,96,0,11,79,68,153,76,175,79,0,11,90,58,85,55,234,75,0,11,71,46,163,70,102,78,0,11,61,55,41,54,22,24,0,11,6,10,16,22,0,11,0,11,0,11,0,11
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",315,125,15,24,0,11,15,24,0,11,19,31,0,11,0,11,19,31,127,79,0,11,60,56,67,64,75,83,0,11,0,11,75,83,38,30,0,11,38,30,0,11,41,41,0,11,41,41,0,11
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",942,189,219,132,0,11,134,90,85,101,68,57,0,11,22,33,46,42,144,74,0,11,104,58,40,48,83,61,0,11,36,40,47,45,223,149,0,11,82,90,141,123,205,117,0,11,193,118,12,20
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",703,154,237,107,0,11,137,88,100,62,179,92,0,11,32,37,147,96,148,113,0,11,41,50,107,100,68,86,0,11,15,22,53,84,52,49,0,11,52,49,0,11,19,30,0,11,19,30,0,11
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",603,151,48,44,0,11,0,11,48,44,165,120,0,11,36,59,129,95,213,131,0,11,115,104,98,83,56,66,0,11,56,66,0,11,104,104,0,11,104,104,0,11,17,27,0,11,17,27,0,11
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",871,144,57,49,0,11,18,28,39,40,66,78,0,11,12,20,54,85,118,75,0,11,52,51,66,56,93,72,0,11,74,64,19,31,62,50,0,11,30,34,32,38,475,131,0,11,391,113,84,91
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",659,225,103,130,0,11,0,11,103,130,168,102,0,11,80,75,88,105,38,65,0,11,38,65,0,11,29,60,0,11,29,60,0,11,103,131,0,11,25,39,78,124,218,139,0,11,145,106,73,111
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",907,244,155,102,0,11,0,11,155,102,373,138,0,11,173,106,200,123,97,106,0,11,37,64,60,87,177,172,29,48,88,139,60,96,105,139,0,11,105,139,0,11,0,11,0,11,0,11,0,11
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",286,139,127,112,0,11,26,38,101,110,38,49,0,11,38,49,0,11,55,77,0,11,0,11,55,77,32,63,0,11,32,63,0,11,0,11,0,11,0,11,0,11,34,53,0,11,34,53,0,11
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",412,180,141,124,0,11,0,11,141,124,57,70,0,11,20,37,37,59,23,38,0,11,23,38,0,11,152,143,0,11,48,78,104,128,0,11,0,11,0,11,0,11,39,43,0,11,39,43,0,11
1500000US360610006005,360610006005,"Block Group 5, Census Tract 6, New York County, New York",861,186,188,114,0,11,66,72,122,90,218,134,0,11,115,127,103,103,258,169,0,11,77,78,181,158,78,76,0,11,51,60,27,44,90,109,0,11,90,109,0,11,29,46,0,11,29,46,0,11
1500000US360610006006,360610006006,"Block Group 6, Census Tract 6, New York County, New York",973,207,109,133,0,11,0,11,109,133,390,196,0,11,260,144,130,158,189,121,0,11,64,67,125,99,29,52,0,11,29,52,0,11,175,191,0,11,93,146,82,139,81,80,0,11,81,80,0,11
1500000US360610007000,360610007000,"Block Group 0, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610007001,360610007001,"Block Group 1, Census Tract 7, New York County, New York",4322,373,290,131,0,16,290,131,0,16,170,111,0,16,149,103,21,34,67,84,0,16,67,84,0,16,153,98,0,16,153,98,0,16,272,157,0,16,262,151,10,35,3370,386,0,16,3279,423,91,95
1500000US360610007002,360610007002,"Block Group 2, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008000,360610008000,"Block Group 0, Census Tract 8, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008001,360610008001,"Block Group 1, Census Tract 8, New York County, New York",462,159,89,116,0,11,15,26,74,113,116,67,0,11,26,27,90,59,79,68,0,11,36,41,43,54,13,22,0,11,13,22,0,11,79,87,0,11,79,87,0,11,86,66,11,18,75,65,0,11
1500000US360610008002,360610008002,"Block Group 2, Census Tract 8, New York County, New York",491,126,38,44,0,11,27,41,11,17,188,131,0,11,71,73,117,112,53,42,0,11,53,42,0,11,29,44,0,11,29,44,0,11,68,46,0,11,48,31,20,33,115,77,0,11,115,77,0,11
1500000US360610008003,360610008003,"Block Group 3, Census Tract 8, New York County, New York",586,127,29,50,0,11,29,50,0,11,161,85,0,11,58,56,103,75,157,73,0,11,48,55,109,75,100,80,0,11,30,34,70,75,63,61,0,11,63,61,0,11,76,67,0,11,28,33,48,59
