GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Under 18 years:,Margin of Error; Under 18 years:,Estimate; Under 18 years: - Has a computer:,Margin of Error; Under 18 years: - Has a computer:,Estimate; Under 18 years: - Has a computer: - With dial-up Internet subscription alone,Margin of Error; Under 18 years: - Has a computer: - With dial-up Internet subscription alone,Estimate; Under 18 years: - Has a computer: - With a broadband Internet subscription,Margin of Error; Under 18 years: - Has a computer: - With a broadband Internet subscription,Estimate; Under 18 years: - Has a computer: - Without an Internet subscription,Margin of Error; Under 18 years: - Has a computer: - Without an Internet subscription,Estimate; Under 18 years: - No computer,Margin of Error; Under 18 years: - No computer,Estimate; 18 to 64 years:,Margin of Error; 18 to 64 years:,Estimate; 18 to 64 years: - Has a computer:,Margin of Error; 18 to 64 years: - Has a computer:,Estimate; 18 to 64 years: - Has a computer: - With dial-up Internet subscription alone,Margin of Error; 18 to 64 years: - Has a computer: - With dial-up Internet subscription alone,Estimate; 18 to 64 years: - Has a computer: - With a broadband Internet subscription,Margin of Error; 18 to 64 years: - Has a computer: - With a broadband Internet subscription,Estimate; 18 to 64 years: - Has a computer: - Without an Internet subscription,Margin of Error; 18 to 64 years: - Has a computer: - Without an Internet subscription,Estimate; 18 to 64 years: - No computer,Margin of Error; 18 to 64 years: - No computer,Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - Has a computer:,Margin of Error; 65 years and over: - Has a computer:,Estimate; 65 years and over: - Has a computer: - With dial-up Internet subscription alone,Margin of Error; 65 years and over: - Has a computer: - With dial-up Internet subscription alone,Estimate; 65 years and over: - Has a computer: - With a broadband Internet subscription,Margin of Error; 65 years and over: - Has a computer: - With a broadband Internet subscription,Estimate; 65 years and over: - Has a computer: - Without an Internet subscription,Margin of Error; 65 years and over: - Has a computer: - Without an Internet subscription,Estimate; 65 years and over: - No computer,Margin of Error; 65 years and over: - No computer
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",810,399,122,117,0,11,0,11,0,11,0,11,122,117,578,266,288,155,0,11,288,155,0,11,290,246,110,85,66,66,0,11,66,66,0,11,44,50
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",1904,306,429,200,338,189,0,11,51,56,287,184,91,137,1119,205,926,228,0,11,523,190,403,181,193,114,356,115,129,64,0,11,95,60,34,41,227,102
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",768,343,122,91,122,91,0,11,110,96,12,23,0,11,433,285,433,285,0,11,204,124,229,272,0,11,213,127,104,67,0,11,42,29,62,59,109,125
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",2020,567,290,213,290,213,0,11,228,211,62,67,0,11,1335,361,1036,307,0,11,745,305,291,196,299,259,395,207,212,140,0,11,212,140,0,11,183,162
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",1310,291,206,134,206,134,0,11,206,134,0,11,0,11,737,246,590,225,0,11,482,222,108,94,147,130,367,130,219,117,0,11,127,79,92,97,148,76
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",1398,445,321,227,321,227,0,11,178,139,143,188,0,11,661,255,602,257,0,11,513,245,89,85,59,57,416,177,211,124,0,11,150,121,61,62,205,157
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",1988,406,489,186,489,186,0,11,311,157,178,142,0,11,1184,298,1148,297,0,11,1016,303,132,102,36,41,315,138,205,124,0,11,142,88,63,88,110,72
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",1664,651,226,165,165,153,0,11,165,153,0,11,61,92,959,408,706,364,0,11,706,364,0,11,253,251,479,226,153,174,0,11,138,169,15,30,326,251
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",2155,841,107,168,107,168,0,11,107,168,0,11,0,11,1166,577,933,543,69,114,680,516,184,221,233,223,882,437,516,412,29,48,440,418,47,56,366,198
