GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",985,79,642,104,272,108,370,93,79,57,291,94,343,95,288,94,55,30
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",3434,183,1863,236,1039,184,824,193,200,101,624,166,1571,239,1499,239,72,56
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",4098,255,2554,363,1494,343,1060,377,299,221,761,280,1544,369,1475,370,69,68
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",4322,373,1391,363,1316,360,75,74,31,49,44,61,2931,373,1855,380,1076,216
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",3651,206,2275,242,1363,241,912,230,297,139,615,205,1376,253,1193,236,183,116
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",851,72,432,73,374,68,58,31,20,12,38,27,419,69,288,59,131,37
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",799,46,311,60,258,55,53,27,17,16,36,20,488,71,456,72,32,21
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",2468,91,1296,256,362,139,934,247,143,121,791,230,1172,262,1149,259,23,38
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",1875,72,833,115,594,122,239,106,83,57,156,75,1042,129,980,129,62,37
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",2573,203,817,186,688,159,129,109,115,106,14,23,1756,244,1322,238,434,128
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",1607,92,781,110,683,113,98,51,14,20,84,45,826,109,709,111,117,62
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",1393,74,471,90,253,77,218,61,64,52,154,68,922,106,710,94,212,56
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",3739,254,1389,224,1131,207,258,98,100,72,158,80,2350,330,1963,316,387,159
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",3135,210,1160,215,1015,215,145,77,90,61,55,41,1975,234,1102,204,873,160
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",2867,228,1617,238,1154,233,463,149,148,90,315,129,1250,214,908,220,342,100
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",3149,175,1358,219,969,239,389,182,173,116,216,131,1791,229,1328,241,463,172
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",2001,34,1076,142,305,109,771,145,24,27,747,142,925,142,925,142,0,11
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York",2782,197,1606,230,1556,224,50,44,14,21,36,40,1176,231,857,205,319,127
1400000US36061002201,36061002201,"Census Tract 22.01, New York County, New York",3025,132,1267,228,615,182,652,191,124,83,528,178,1758,223,1517,213,241,87
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",1128,61,289,108,219,103,70,47,9,14,61,45,839,96,644,115,195,83
1400000US36061002400,36061002400,"Census Tract 24, New York County, New York",1879,43,1035,174,230,101,805,174,87,72,718,176,844,176,844,176,0,11
1400000US36061002500,36061002500,"Census Tract 25, New York County, New York",2100,76,1239,161,582,122,657,128,142,73,515,122,861,170,828,169,33,43
1400000US36061002601,36061002601,"Census Tract 26.01, New York County, New York",1563,81,730,138,369,122,361,99,77,48,284,95,833,136,632,125,201,62
1400000US36061002602,36061002602,"Census Tract 26.02, New York County, New York",2069,123,735,159,609,155,126,81,81,77,45,43,1334,155,955,178,379,106
1400000US36061002700,36061002700,"Census Tract 27, New York County, New York",638,49,387,61,299,69,88,40,0,11,88,40,251,64,220,61,31,21
1400000US36061002800,36061002800,"Census Tract 28, New York County, New York",3421,139,1344,235,559,140,785,212,95,93,690,207,2077,254,1706,256,371,130
1400000US36061002900,36061002900,"Census Tract 29, New York County, New York",2406,157,1310,213,863,227,447,183,191,124,256,149,1096,195,989,182,107,57
1400000US36061003001,36061003001,"Census Tract 30.01, New York County, New York",2312,140,544,175,308,129,236,149,94,105,142,112,1768,175,1288,192,480,139
1400000US36061003002,36061003002,"Census Tract 30.02, New York County, New York",1762,96,497,109,204,78,293,98,16,21,277,102,1265,134,1081,141,184,71
1400000US36061003100,36061003100,"Census Tract 31, New York County, New York",747,66,310,74,287,73,23,23,0,11,23,23,437,64,293,63,144,44
1400000US36061003200,36061003200,"Census Tract 32, New York County, New York",4495,222,1248,289,892,253,356,176,118,113,238,142,3247,299,2422,303,825,238
1400000US36061003300,36061003300,"Census Tract 33, New York County, New York",2516,201,1295,201,1176,214,119,68,45,44,74,50,1221,229,1047,213,174,95
1400000US36061003400,36061003400,"Census Tract 34, New York County, New York",3707,269,821,237,511,178,310,196,41,63,269,187,2886,360,2216,356,670,184
1400000US36061003601,36061003601,"Census Tract 36.01, New York County, New York",1472,88,691,126,311,107,380,107,101,68,279,91,781,124,661,120,120,48
1400000US36061003602,36061003602,"Census Tract 36.02, New York County, New York",1303,110,374,100,318,97,56,39,31,29,25,22,929,104,699,104,230,61
1400000US36061003700,36061003700,"Census Tract 37, New York County, New York",1412,122,487,112,392,99,95,63,28,26,67,57,925,148,748,143,177,80
1400000US36061003800,36061003800,"Census Tract 38, New York County, New York",5029,274,1101,303,889,282,212,159,86,92,126,134,3928,357,3080,363,848,225
1400000US36061003900,36061003900,"Census Tract 39, New York County, New York",2488,201,1368,211,1018,166,350,146,10,17,340,144,1120,200,874,194,246,109
1400000US36061004000,36061004000,"Census Tract 40, New York County, New York",4136,265,1007,207,908,215,99,121,0,16,99,121,3129,319,2284,375,845,278
1400000US36061004100,36061004100,"Census Tract 41, New York County, New York",3516,241,1682,262,1136,216,546,165,165,85,381,127,1834,259,1267,230,567,175
1400000US36061004200,36061004200,"Census Tract 42, New York County, New York",1544,130,458,113,322,102,136,68,31,29,105,69,1086,148,839,146,247,94
1400000US36061004300,36061004300,"Census Tract 43, New York County, New York",2315,220,765,166,554,164,211,125,179,124,32,39,1550,233,1103,231,447,122
1400000US36061004400,36061004400,"Census Tract 44, New York County, New York",8039,321,3317,468,2494,400,823,318,104,158,719,289,4722,457,3309,512,1413,383
1400000US36061004500,36061004500,"Census Tract 45, New York County, New York",430,59,239,42,198,39,41,30,14,18,27,26,191,56,162,57,29,21
1400000US36061004700,36061004700,"Census Tract 47, New York County, New York",1233,122,405,69,318,59,87,59,12,19,75,54,828,134,607,128,221,90
1400000US36061004800,36061004800,"Census Tract 48, New York County, New York",3232,245,876,152,790,159,86,71,18,29,68,63,2356,266,1794,276,562,167
1400000US36061004900,36061004900,"Census Tract 49, New York County, New York",2447,173,773,150,648,139,125,60,14,23,111,55,1674,201,1374,213,300,106
1400000US36061005000,36061005000,"Census Tract 50, New York County, New York",2859,225,817,165,744,152,73,59,30,34,43,41,2042,249,1642,260,400,136
1400000US36061005200,36061005200,"Census Tract 52, New York County, New York",1497,118,697,117,611,104,86,56,15,18,71,49,800,134,647,124,153,73
1400000US36061005400,36061005400,"Census Tract 54, New York County, New York",2638,147,736,183,623,171,113,78,35,55,78,55,1902,213,1579,221,323,102
1400000US36061005501,36061005501,"Census Tract 55.01, New York County, New York",2109,202,1043,203,856,185,187,98,42,41,145,97,1066,226,893,206,173,98
1400000US36061005502,36061005502,"Census Tract 55.02, New York County, New York",1031,119,411,109,308,75,103,89,7,12,96,88,620,119,456,119,164,58
1400000US36061005600,36061005600,"Census Tract 56, New York County, New York",1785,244,482,152,447,154,35,42,0,11,35,42,1303,222,1054,219,249,106
1400000US36061005700,36061005700,"Census Tract 57, New York County, New York",1529,109,568,91,533,88,35,31,0,11,35,31,961,128,843,131,118,56
1400000US36061005800,36061005800,"Census Tract 58, New York County, New York",1995,160,619,179,553,179,66,60,46,54,20,31,1376,180,1096,201,280,132
1400000US36061005900,36061005900,"Census Tract 59, New York County, New York",2894,248,1129,201,1070,199,59,44,0,16,59,44,1765,247,1525,255,240,120
1400000US36061006000,36061006000,"Census Tract 60, New York County, New York",2395,86,1152,173,1008,148,144,85,0,16,144,85,1243,165,839,171,404,156
1400000US36061006100,36061006100,"Census Tract 61, New York County, New York",2187,196,732,132,549,141,183,128,110,105,73,64,1455,206,1302,194,153,91
1400000US36061006200,36061006200,"Census Tract 62, New York County, New York",1576,86,558,116,475,104,83,45,5,9,78,46,1018,111,757,112,261,75
1400000US36061006300,36061006300,"Census Tract 63, New York County, New York",3580,209,1187,186,989,189,198,88,77,63,121,65,2393,257,2078,253,315,110
1400000US36061006400,36061006400,"Census Tract 64, New York County, New York",4505,324,1363,308,1012,264,351,196,85,83,266,178,3142,317,2574,321,568,186
1400000US36061006500,36061006500,"Census Tract 65, New York County, New York",3163,246,798,188,540,168,258,157,151,145,107,92,2365,284,1622,251,743,178
