GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",985,79,254,99,121,69,59,39,95,65,82,72,108,70,61,53,21,28,93,80,24,28,31,31,10,15,0,11,11,13,8,12,7,9
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",3434,183,576,173,314,139,183,99,343,161,234,139,173,104,218,136,45,42,112,83,150,106,329,170,131,75,227,125,57,54,167,123,175,85
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",4098,255,823,288,913,274,331,164,387,210,149,107,124,110,58,76,197,146,242,199,302,217,171,175,105,100,184,147,34,60,0,18,78,79
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",4322,373,290,131,87,83,83,70,0,16,47,70,20,34,98,89,26,42,29,34,83,96,189,118,347,194,636,230,425,257,585,195,1377,319
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",3651,206,480,160,442,181,426,166,156,85,266,127,206,116,241,140,91,83,183,126,181,114,260,126,400,188,137,94,62,49,75,78,45,44
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",851,72,36,19,0,11,9,9,0,11,13,20,0,11,24,21,17,23,6,6,52,30,23,15,32,25,83,46,50,29,143,56,363,61
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",799,46,59,30,39,32,17,15,32,35,26,18,33,38,5,8,18,16,10,10,40,37,92,44,89,39,78,40,94,45,67,32,100,41
