GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Total: - Science and Engineering
HD02_VD02,Margin of Error; Total: - Science and Engineering
HD01_VD03,Estimate; Total: - Science and Engineering Related Fields
HD02_VD03,Margin of Error; Total: - Science and Engineering Related Fields
HD01_VD04,Estimate; Total: - Business
HD02_VD04,Margin of Error; Total: - Business
HD01_VD05,Estimate; Total: - Education
HD02_VD05,Margin of Error; Total: - Education
HD01_VD06,"Estimate; Total: - Arts, Humanities and Other"
HD02_VD06,"Margin of Error; Total: - Arts, Humanities and Other"
