JOB_NUMBER,JOB_TYPE,C_O_ISSUE_DATE,BIN_NUMBER,BOROUGH,NUMBER,STREET,POSTCODE,PR_DWELLING_UNIT,EX_DWELLING_UNIT,APPLICATION_STATUS_RAW,FILING_STATUS_RAW,ITEM_NUMBER,ISSUE_TYPE,LATITUDE,LONGITUDE,CENSUS_TRACT,NTA,LOCATION
110040072,A1,1/17/18,1003224,Manhattan,227,MADISON STREET,10002,0,0,Issued,New,16,Temporary,40.712784,-73.988417,6,Lower East Side,"(40.712784, -73.988417)"
110040072,A1,4/16/18,1003224,Manhattan,227,MADISON STREET,10002,0,0,Issued,New,17,Temporary,40.712784,-73.988417,6,Lower East Side,"(40.712784, -73.988417)"
110040072,A1,7/12/18,1003224,Manhattan,227,MADISON STREET,10002,0,0,Issued,New,18,Temporary,40.712784,-73.988417,6,Lower East Side,"(40.712784, -73.988417)"
110040072,A1,2/14/19,1003224,Manhattan,227,MADISON STREET,10002,0,0,Issued,New,19,Temporary,40.712784,-73.988417,6,Lower East Side,"(40.712784, -73.988417)"
110331276,A1,2/29/16,1001026,Manhattan,120,BROADWAY,10271,0,0,Issued,New,26,Temporary,40.708486,-74.011088,7,Battery Park City-Lower Manhattan,"(40.708486, -74.011088)"
110331276,A1,5/25/16,1001026,Manhattan,120,BROADWAY,10271,0,0,Issued,New,27,Temporary,40.708486,-74.011088,7,Battery Park City-Lower Manhattan,"(40.708486, -74.011088)"
110331276,A1,8/18/16,1001026,Manhattan,120,BROADWAY,10271,0,0,Issued,New,28,Temporary,40.708486,-74.011088,7,Battery Park City-Lower Manhattan,"(40.708486, -74.011088)"
110331276,A1,11/15/16,1001026,Manhattan,120,BROADWAY,10271,0,0,Issued,New,29,Temporary,40.708486,-74.011088,7,Battery Park City-Lower Manhattan,"(40.708486, -74.011088)"
110331276,A1,1/31/17,1001026,Manhattan,120,BROADWAY,10271,0,0,Issued,New,30,Final,40.708486,-74.011088,7,Battery Park City-Lower Manhattan,"(40.708486, -74.011088)"
123172896,A1,2/16/18,1001024,Manhattan,100,BROADWAY,10005,0,0,Issued,New,1,Temporary,40.70814,-74.011373,7,Battery Park City-Lower Manhattan,"(40.70814, -74.011373)"
123172896,A1,4/3/18,1001024,Manhattan,100,BROADWAY,10005,0,0,Issued,New,2,Final,40.70814,-74.011373,7,Battery Park City-Lower Manhattan,"(40.70814, -74.011373)"
122975487,A1,12/20/18,1001021,Manhattan,28,LIBERTY STREET,10005,0,0,Issued,New,3,Temporary,40.708115,-74.008768,7,Battery Park City-Lower Manhattan,"(40.708115, -74.008768)"
122649438,A1,8/3/17,1081960,Manhattan,75,EAST BROADWAY,10002,0,0,Issued,New,1,Temporary,40.713707,-73.99434,8,Chinatown,"(40.713707, -73.99434)"
122649438,A1,12/7/17,1081960,Manhattan,75,EAST BROADWAY,10002,0,0,Issued,New,2,Temporary,40.713707,-73.99434,8,Chinatown,"(40.713707, -73.99434)"
122649438,A1,3/19/18,1081960,Manhattan,75,EAST BROADWAY,10002,0,0,Issued,New,3,Temporary,40.713707,-73.99434,8,Chinatown,"(40.713707, -73.99434)"
122649438,A1,7/5/18,1081960,Manhattan,75,EAST BROADWAY,10002,0,0,Issued,New,4,Final,40.713707,-73.99434,8,Chinatown,"(40.713707, -73.99434)"
110150247,A1,1/26/16,1000811,Manhattan,26,BROADWAY,10004,0,0,Issued,New,28,Temporary,40.70568,-74.013302,9,Battery Park City-Lower Manhattan,"(40.70568, -74.013302)"
110150247,A1,4/19/16,1000811,Manhattan,26,BROADWAY,10004,0,0,Issued,New,29,Temporary,40.70568,-74.013302,9,Battery Park City-Lower Manhattan,"(40.70568, -74.013302)"
110150247,A1,8/3/16,1000811,Manhattan,26,BROADWAY,10004,0,0,Issued,New,30,Temporary,40.70568,-74.013302,9,Battery Park City-Lower Manhattan,"(40.70568, -74.013302)"
110150247,A1,10/25/16,1000811,Manhattan,26,BROADWAY,10004,0,0,Issued,New,31,Temporary,40.70568,-74.013302,9,Battery Park City-Lower Manhattan,"(40.70568, -74.013302)"
110150247,A1,1/23/17,1000811,Manhattan,26,BROADWAY,10004,0,0,Issued,New,32,Temporary,40.70568,-74.013302,9,Battery Park City-Lower Manhattan,"(40.70568, -74.013302)"
120283371,A1,12/14/17,1000005,Manhattan,1,NEW YORK PLAZA,10004,0,0,Issued,New,6,Temporary,40.70254,-74.012562,9,Battery Park City-Lower Manhattan,"(40.70254, -74.012562)"
120283371,A1,7/5/18,1000005,Manhattan,1,NEW YORK PLAZA,10004,0,0,Issued,New,7,Final,40.70254,-74.012562,9,Battery Park City-Lower Manhattan,"(40.70254, -74.012562)"
120243021,NB,2/29/16,1088770,Manhattan,17,PITT STREET,10002,0,,Issued,New,6,Temporary,40.716088,-73.984092,12,Lower East Side,"(40.716088, -73.984092)"
120243021,NB,6/14/16,1088770,Manhattan,17,PITT STREET,10002,0,,Issued,New,7,Temporary,40.716088,-73.984092,12,Lower East Side,"(40.716088, -73.984092)"
