,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address ZIP,Address Borough,Community Board,Council District,Census Tract,Longitude,Latitude,Location
0,Business,12/15/19,Active,2/17/15,Sidewalk Cafe,DISHFUL INC,189,E BROADWAY,,NEW YORK,10002,Manhattan,103.0,1.0,6.0,-73.98879598,40.71416978,"(40.71416977953143, -73.98879597867962)"
1,Business,12/15/19,Inactive,3/21/17,Sidewalk Cafe,"OBBM, LLC",88,BROAD ST,,NEW YORK,10004,Manhattan,101.0,1.0,9.0,-74.01158824,40.70405529,"(40.70405528945349, -74.01158823524035)"
2,Business,4/15/19,Active,5/3/13,Sidewalk Cafe,BROADWATER & PEARL ASSOCIATES LLC,54,PEARL ST,,NEW YORK,10004,Manhattan,101.0,1.0,9.0,-74.01137535,40.70349538,"(40.7034953786261, -74.01137534608392)"
3,Business,6/30/15,Inactive,4/3/08,Sidewalk Cafe,PEARLSTONE BURGER CORPORATION,77,PEARL ST,,NEW YORK,10004,Manhattan,101.0,1.0,9.0,-74.01029703,40.70395386,"(40.70395385590203, -74.01029703120159)"
4,Business,12/15/19,Active,5/29/13,Sidewalk Cafe,"BILL'S DTM NY, LLC",85,WEST ST,,NEW YORK,10006,Manhattan,101.0,1.0,13.0,-74.01487516,40.709646,"(40.70964599574448, -74.01487516042008)"
5,Business,4/15/19,Active,5/1/09,Sidewalk Cafe,RECTOR STREET FOOD ENTERPRISES LTD.,11,RECTOR ST,,NEW YORK,10006,Manhattan,101.0,1.0,13.0,-74.01350416,40.70793069,"(40.70793068772063, -74.01350416281929)"
6,Business,4/15/19,Active,3/24/09,Sidewalk Cafe,CAFE CASANO LLC,38,WEST ST,,NEW YORK,10004,Manhattan,101.0,1.0,13.0,-74.01596742,40.70690658,"(40.70690657551593, -74.01596741732033)"
7,Business,12/15/19,Active,3/24/09,Sidewalk Cafe,OSTERIA CASANO LLC,28,WEST ST,,NEW YORK,10004,Manhattan,101.0,1.0,13.0,-74.01594579,40.70696147,"(40.706961473792255, -74.01594578949806)"
8,Business,4/15/20,Active,4/18/18,Sidewalk Cafe,ZVAH INC.,37,CANAL ST,,NEW YORK,10002,Manhattan,103.0,1.0,16.0,-73.99107207,40.71465855,"(40.71465854603709, -73.99107206822782)"
9,Business,9/15/19,Active,3/4/13,Sidewalk Cafe,"PLAN A GROUP, LLC",138,DIVISION ST,,NEW YORK,10002,Manhattan,103.0,1.0,16.0,-73.99157711,40.7144692,"(40.71446919557813, -73.99157710648002)"
10,Business,9/15/16,Inactive,9/16/06,Sidewalk Cafe,ZVAH INC.,37,CANAL ST,,NEW YORK,10002,Manhattan,103.0,1.0,16.0,-73.99107207,40.71465855,"(40.71465854603709, -73.99107206822782)"
11,Business,2/16/19,Inactive,4/20/16,Sidewalk Cafe,SAIGONNYC LTD,85,ORCHARD ST,,NEW YORK,10002,Manhattan,103.0,1.0,18.0,-73.99037541,40.7178726,"(40.717872604455565, -73.99037540580335)"
12,Business,9/15/17,Inactive,3/20/15,Sidewalk Cafe,93 LUDLOW ST INC,95,DELANCEY ST,,NEW YORK,10002,Manhattan,103.0,1.0,18.0,-73.98921727,40.71884964,"(40.71884963627994, -73.98921726619577)"
13,Business,12/15/16,Inactive,10/9/14,Sidewalk Cafe,HH HOSPITALITY L.L.C.,61,DELANCEY ST,,NEW YORK,10002,Manhattan,103.0,1.0,18.0,-73.99092714,40.71936854,"(40.71936854326236, -73.99092713729125)"
14,Business,12/15/16,Inactive,7/3/14,Sidewalk Cafe,MILLER'S NEAR & FAR LLC,65,RIVINGTON ST,,NEW YORK,10002,Manhattan,103.0,1.0,18.0,-73.99015134,40.72060637,"(40.720606365884876, -73.99015134185616)"
15,Business,12/15/19,Inactive,6/9/14,Sidewalk Cafe,DCB DELANCEY CORPORATION,1,DELANCEY ST,,NEW YORK,10002,Manhattan,103.0,1.0,18.0,-73.99382027,40.72024157,"(40.720241568328824, -73.99382027141543)"
16,Business,4/15/18,Inactive,3/26/14,Sidewalk Cafe,NORMAN'S CAY GROUP LLC,74,ORCHARD ST,,NEW YORK,10002,Manhattan,103.0,1.0,18.0,-73.99050532,40.71757069,"(40.71757069164552, -73.9905053159014)"
17,Business,12/15/16,Inactive,5/21/13,Sidewalk Cafe,"NYLA CAFE, LLC",101,RIVINGTON ST,,NEW YORK,10002,Manhattan,103.0,1.0,18.0,-73.98823583,40.72003253,"(40.72003253145778, -73.98823582501339)"
18,Business,4/15/19,Active,3/14/13,Sidewalk Cafe,"TWO BIKES, LLC",85,ORCHARD ST,,NEW YORK,10002,Manhattan,103.0,1.0,18.0,-73.99037541,40.7178726,"(40.717872604455565, -73.99037540580335)"
19,Business,9/15/15,Inactive,2/1/13,Sidewalk Cafe,BAKERS DOZEN ASSOCIATES LLC,199,BOWERY,,NEW YORK,10002,Manhattan,103.0,1.0,18.0,-73.99370114,40.72114459,"(40.721144587541026, -73.99370113700846)"
20,Business,9/15/19,Active,1/3/13,Sidewalk Cafe,BARNORTH GROUP LLC,77,DELANCEY ST,,NEW YORK,10002,Manhattan,103.0,1.0,18.0,-73.99001087,40.7190885,"(40.71908850194956, -73.99001087423854)"
21,Business,4/15/19,Inactive,6/30/17,Sidewalk Cafe,PRET A MANGER (USA) LIMITED,125,CHAMBERS ST,,NEW YORK,10007,Manhattan,101.0,1.0,21.0,-74.00875487,40.71530907,"(40.71530906767869, -74.00875486944997)"
22,Business,12/15/18,Inactive,8/8/16,Sidewalk Cafe,MURRAY PLACE INC,23,PARK PL,,NEW YORK,10007,Manhattan,101.0,1.0,21.0,-74.00877261,40.71304464,"(40.713044638283755, -74.00877260781331)"
23,Business,12/15/18,Inactive,7/26/16,Sidewalk Cafe,SOLE DI CAPRI LLC,165,CHURCH ST,,NEW YORK,10007,Manhattan,101.0,1.0,21.0,-74.00775203,40.71514994,"(40.71514994344327, -74.0077520269982)"
24,Business,12/15/20,Active,6/19/14,Sidewalk Cafe,59 MACT CORP.,59,READE ST,,NEW YORK,10007,Manhattan,101.0,1.0,21.0,-74.00641371,40.71490849,"(40.71490848681854, -74.00641370594059)"
25,Business,12/15/20,Active,6/6/14,Sidewalk Cafe,61 READE PIZZA INC.,61,READE ST,,NEW YORK,10007,Manhattan,101.0,1.0,21.0,-74.00648225,40.71493868,"(40.714938675350496, -74.00648224679168)"
26,Business,12/15/15,Inactive,7/5/13,Sidewalk Cafe,"LENNY'S PARK PLACE, LLC",25,PARK PL,,NEW YORK,10007,Manhattan,101.0,1.0,21.0,-74.00885197,40.71308031,"(40.713080314110414, -74.00885197002346)"
27,Business,12/15/15,Inactive,1/11/12,Sidewalk Cafe,85 WEST BROADWAY OWNER LLC,85,W BROADWAY,,NEW YORK,10007,Manhattan,101.0,1.0,21.0,-74.0094727,40.71520197,"(40.71520196517725, -74.0094727030241)"
28,Business,7/15/15,Inactive,10/20/11,Sidewalk Cafe,"65 WEST BROADWAY RESTAURANT, LLC",65,W BROADWAY,,NEW YORK,10007,Manhattan,101.0,1.0,21.0,-74.00997402,40.71456239,"(40.714562393519984, -74.00997401848461)"
29,Business,12/15/17,Inactive,4/20/16,Sidewalk Cafe,BABU JI NYC INC,175,AVENUE B,,NEW YORK,10009,Manhattan,103.0,2.0,28.0,-73.97939143,40.72755741,"(40.72755741388275, -73.9793914272551)"
30,Business,4/15/19,Active,4/16/07,Sidewalk Cafe,177 CHRYSTIE INC.,145,AVENUE C,,NEW YORK,10009,Manhattan,103.0,2.0,28.0,-73.97792011,40.72538055,"(40.72538054900269, -73.97792010757803)"
31,Business,12/15/20,Inactive,7/11/18,Sidewalk Cafe,AVE B BUON GUSTO CORP.,76,AVENUE B,,NEW YORK,10009,Manhattan,103.0,2.0,32.0,-73.98332126,40.7244153,"(40.72441530347603, -73.98332126409099)"
32,Business,9/15/20,Inactive,6/20/18,Sidewalk Cafe,235 EAST 4TH INC,235,E 4TH ST,,NEW YORK,10009,Manhattan,103.0,2.0,32.0,-73.98275511,40.72338594,"(40.723385935925336, -73.98275511004177)"
33,Business,4/15/20,Inactive,7/5/16,Sidewalk Cafe,CIEN FUEGOS LLC,95,AVENUE A,,NEW YORK,10009,Manhattan,103.0,2.0,32.0,-73.98390545,40.725562700000005,"(40.72556269517426, -73.9839054462709)"
34,Business,4/15/19,Active,9/3/15,Sidewalk Cafe,FONDA AVENUE B LLC,40,AVENUE B,,NEW YORK,10009,Manhattan,103.0,2.0,32.0,-73.98265778,40.72307576,"(40.723075763655444, -73.98265778237968)"
35,Business,9/15/20,Active,4/8/15,Sidewalk Cafe,TOZZER LTD,110,AVENUE A,110-112 Ave A,NEW YORK,10009,Manhattan,103.0,2.0,32.0,-73.98362034,40.72591947,"(40.72591947338366, -73.9836203395797)"
36,Business,12/15/16,Inactive,8/27/14,Sidewalk Cafe,"LAPIZZA SHOP, INC.",110,AVENUE A,,NEW YORK,10009,Manhattan,103.0,2.0,32.0,-73.98364921,40.72588105,"(40.725881050889605, -73.98364921184492)"
37,Business,12/15/19,Active,7/2/14,Sidewalk Cafe,SEVEN A CAFE INC.,109,AVENUE A,,NEW YORK,10009,Manhattan,103.0,2.0,32.0,-73.9836095,40.72596888,"(40.72596887746701, -73.9836095038645)"
38,Business,4/15/16,Inactive,2/23/10,Sidewalk Cafe,AVE B BUON GUSTO CORP.,76,AVENUE B,,NEW YORK,10009,Manhattan,103.0,2.0,32.0,-73.98202619,40.72397869,"(40.72397869213127, -73.98202619121835)"
39,Business,9/15/19,Active,2/12/09,Sidewalk Cafe,DESMO 916 CORP.,545,E 5TH ST,,NEW YORK,10009,Manhattan,103.0,2.0,32.0,-73.98332126,40.7244153,"(40.72441530347603, -73.98332126409099)"
40,Business,4/15/16,Inactive,2/28/06,Sidewalk Cafe,THREE BEANS INC,93,AVENUE A,,NEW YORK,10009,Manhattan,103.0,2.0,32.0,-73.98403537,40.7253843,"(40.72538430404817, -73.9840353710819)"
41,Business,4/19/19,Active,2/24/06,Sidewalk Cafe,EAE CORP,94,AVENUE A,,NEW YORK,10009,Manhattan,103.0,2.0,32.0,-73.98388741,40.72555446,"(40.72555445838028, -73.98388740908517)"
42,Business,12/15/15,Inactive,2/28/05,Sidewalk Cafe,SEVEN A CAFE INC.,109,AVENUE A,,NEW YORK,10009,Manhattan,103.0,2.0,32.0,-73.9836095,40.72596888,"(40.72596887746701, -73.9836095038645)"
43,Business,3/1/19,Active,2/16/05,Sidewalk Cafe,"L&L FOODS OF FIRST AVENUE, LLC",104,1ST AVE,,NEW YORK,10009,Manhattan,103.0,2.0,32.0,-73.98601582,40.72658128,"(40.726581275632014, -73.98601581626089)"
44,Business,12/15/19,Active,5/21/04,Sidewalk Cafe,YUCA BAR & RESTAURANT INC.,111,AVENUE A,,NEW YORK,10009,Manhattan,103.0,2.0,32.0,-73.98347597,40.72615001,"(40.72615001233742, -73.98347596822626)"
45,Business,12/15/20,Inactive,4/25/18,Sidewalk Cafe,200 TRIBECA RESTAURANT LLC,200,CHURCH ST,,NEW YORK,10013,Manhattan,101.0,1.0,33.0,-74.00691525,40.71624241,"(40.71624241150911, -74.00691525329417)"
