,License Type,License Creation Date,Business Name,Address Building,Address Street Name,Address ZIP,Census Tract,Longitude,Latitude,Location
0,Business,2015-02-17,DISHFUL INC,189,E BROADWAY,10002,36061000600,-73.98879598,40.71416978,"(40.71416977953143, -73.98879597867962)"
1,Business,2017-03-21,"OBBM, LLC",88,BROAD ST,10004,36061000900,-74.01158824,40.70405529,"(40.70405528945349, -74.01158823524035)"
2,Business,2013-05-03,BROADWATER & PEARL ASSOCIATES LLC,54,PEARL ST,10004,36061000900,-74.01137535,40.70349538,"(40.7034953786261, -74.01137534608392)"
3,Business,2008-04-03,PEARLSTONE BURGER CORPORATION,77,PEARL ST,10004,36061000900,-74.01029703,40.70395386,"(40.70395385590203, -74.01029703120159)"
4,Business,2013-05-29,"BILL'S DTM NY, LLC",85,WEST ST,10006,36061001300,-74.01487516,40.709646,"(40.70964599574448, -74.01487516042008)"
5,Business,2009-05-01,RECTOR STREET FOOD ENTERPRISES LTD.,11,RECTOR ST,10006,36061001300,-74.01350416,40.70793069,"(40.70793068772063, -74.01350416281929)"
6,Business,2009-03-24,CAFE CASANO LLC,38,WEST ST,10004,36061001300,-74.01596742,40.70690658,"(40.70690657551593, -74.01596741732033)"
7,Business,2009-03-24,OSTERIA CASANO LLC,28,WEST ST,10004,36061001300,-74.01594579,40.70696147,"(40.706961473792255, -74.01594578949806)"
8,Business,2018-04-18,ZVAH INC.,37,CANAL ST,10002,36061001600,-73.99107207,40.71465855,"(40.71465854603709, -73.99107206822782)"
9,Business,2013-03-04,"PLAN A GROUP, LLC",138,DIVISION ST,10002,36061001600,-73.99157711,40.7144692,"(40.71446919557813, -73.99157710648002)"
10,Business,2006-09-16,ZVAH INC.,37,CANAL ST,10002,36061001600,-73.99107207,40.71465855,"(40.71465854603709, -73.99107206822782)"
11,Business,2016-04-20,SAIGONNYC LTD,85,ORCHARD ST,10002,36061001800,-73.99037541,40.7178726,"(40.717872604455565, -73.99037540580335)"
12,Business,2015-03-20,93 LUDLOW ST INC,95,DELANCEY ST,10002,36061001800,-73.98921727,40.71884964,"(40.71884963627994, -73.98921726619577)"
13,Business,2014-10-09,HH HOSPITALITY L.L.C.,61,DELANCEY ST,10002,36061001800,-73.99092714,40.71936854,"(40.71936854326236, -73.99092713729125)"
14,Business,2014-07-03,MILLER'S NEAR & FAR LLC,65,RIVINGTON ST,10002,36061001800,-73.99015134,40.72060637,"(40.720606365884876, -73.99015134185616)"
15,Business,2014-06-09,DCB DELANCEY CORPORATION,1,DELANCEY ST,10002,36061001800,-73.99382027,40.72024157,"(40.720241568328824, -73.99382027141543)"
16,Business,2014-03-26,NORMAN'S CAY GROUP LLC,74,ORCHARD ST,10002,36061001800,-73.99050532,40.71757069,"(40.71757069164552, -73.9905053159014)"
17,Business,2013-05-21,"NYLA CAFE, LLC",101,RIVINGTON ST,10002,36061001800,-73.98823583,40.72003253,"(40.72003253145778, -73.98823582501339)"
18,Business,2013-03-14,"TWO BIKES, LLC",85,ORCHARD ST,10002,36061001800,-73.99037541,40.7178726,"(40.717872604455565, -73.99037540580335)"
19,Business,2013-02-01,BAKERS DOZEN ASSOCIATES LLC,199,BOWERY,10002,36061001800,-73.99370114,40.72114459,"(40.721144587541026, -73.99370113700846)"
20,Business,2013-01-03,BARNORTH GROUP LLC,77,DELANCEY ST,10002,36061001800,-73.99001087,40.7190885,"(40.71908850194956, -73.99001087423854)"
21,Business,2017-06-30,PRET A MANGER (USA) LIMITED,125,CHAMBERS ST,10007,36061002100,-74.00875487,40.71530907,"(40.71530906767869, -74.00875486944997)"
22,Business,2016-08-08,MURRAY PLACE INC,23,PARK PL,10007,36061002100,-74.00877261,40.71304464,"(40.713044638283755, -74.00877260781331)"
23,Business,2016-07-26,SOLE DI CAPRI LLC,165,CHURCH ST,10007,36061002100,-74.00775203,40.71514994,"(40.71514994344327, -74.0077520269982)"
24,Business,2014-06-19,59 MACT CORP.,59,READE ST,10007,36061002100,-74.00641371,40.71490849,"(40.71490848681854, -74.00641370594059)"
25,Business,2014-06-06,61 READE PIZZA INC.,61,READE ST,10007,36061002100,-74.00648225,40.71493868,"(40.714938675350496, -74.00648224679168)"
26,Business,2013-07-05,"LENNY'S PARK PLACE, LLC",25,PARK PL,10007,36061002100,-74.00885197,40.71308031,"(40.713080314110414, -74.00885197002346)"
27,Business,2012-01-11,85 WEST BROADWAY OWNER LLC,85,W BROADWAY,10007,36061002100,-74.0094727,40.71520197,"(40.71520196517725, -74.0094727030241)"
28,Business,2011-10-20,"65 WEST BROADWAY RESTAURANT, LLC",65,W BROADWAY,10007,36061002100,-74.00997402,40.71456239,"(40.714562393519984, -74.00997401848461)"
29,Business,2016-04-20,BABU JI NYC INC,175,AVENUE B,10009,36061002800,-73.97939143,40.72755741,"(40.72755741388275, -73.9793914272551)"
30,Business,2007-04-16,177 CHRYSTIE INC.,145,AVENUE C,10009,36061002800,-73.97792011,40.72538055,"(40.72538054900269, -73.97792010757803)"
31,Business,2018-07-11,AVE B BUON GUSTO CORP.,76,AVENUE B,10009,36061003200,-73.98332126,40.7244153,"(40.72441530347603, -73.98332126409099)"
32,Business,2018-06-20,235 EAST 4TH INC,235,E 4TH ST,10009,36061003200,-73.98275511,40.72338594,"(40.723385935925336, -73.98275511004177)"
33,Business,2016-07-05,CIEN FUEGOS LLC,95,AVENUE A,10009,36061003200,-73.98390545,40.72556270000001,"(40.72556269517426, -73.9839054462709)"
34,Business,2015-09-03,FONDA AVENUE B LLC,40,AVENUE B,10009,36061003200,-73.98265778,40.72307576,"(40.723075763655444, -73.98265778237968)"
35,Business,2015-04-08,TOZZER LTD,110,AVENUE A,10009,36061003200,-73.98362034,40.72591947,"(40.72591947338366, -73.9836203395797)"
36,Business,2014-08-27,"LAPIZZA SHOP, INC.",110,AVENUE A,10009,36061003200,-73.98364921,40.72588105,"(40.725881050889605, -73.98364921184492)"
37,Business,2014-07-02,SEVEN A CAFE INC.,109,AVENUE A,10009,36061003200,-73.9836095,40.72596888,"(40.72596887746701, -73.9836095038645)"
38,Business,2010-02-23,AVE B BUON GUSTO CORP.,76,AVENUE B,10009,36061003200,-73.98202619,40.72397869,"(40.72397869213127, -73.98202619121835)"
39,Business,2009-02-12,DESMO 916 CORP.,545,E 5TH ST,10009,36061003200,-73.98332126,40.7244153,"(40.72441530347603, -73.98332126409099)"
40,Business,2006-02-28,THREE BEANS INC,93,AVENUE A,10009,36061003200,-73.98403537,40.7253843,"(40.72538430404817, -73.9840353710819)"
41,Business,2006-02-24,EAE CORP,94,AVENUE A,10009,36061003200,-73.98388741,40.72555446,"(40.72555445838028, -73.98388740908517)"
42,Business,2005-02-28,SEVEN A CAFE INC.,109,AVENUE A,10009,36061003200,-73.9836095,40.72596888,"(40.72596887746701, -73.9836095038645)"
43,Business,2005-02-16,"L&L FOODS OF FIRST AVENUE, LLC",104,1ST AVE,10009,36061003200,-73.98601582,40.72658128,"(40.726581275632014, -73.98601581626089)"
44,Business,2004-05-21,YUCA BAR & RESTAURANT INC.,111,AVENUE A,10009,36061003200,-73.98347597,40.72615001,"(40.72615001233742, -73.98347596822626)"
45,Business,2018-04-25,200 TRIBECA RESTAURANT LLC,200,CHURCH ST,10013,36061003300,-74.00691525,40.71624241,"(40.71624241150911, -74.00691525329417)"
46,Business,2018-02-12,ELEVEN FOOD AND BEVERAGE INC.,11,6TH AVE,10013,36061003300,-73.71264,42.708223,"-73.723640, 42.708223"
47,Business,2017-12-15,109 WEST BROADWAY FOOD & WINE LLC,109,W BROADWAY,10013,36061003300,-74.00874776,40.71609681,"(40.71609681454299, -74.0087477582768)"
48,Business,2017-10-06,"Kio Restaurant, LLC.",157,DUANE ST,10013,36061003300,-74.00874424,40.71676105,"(40.71676104683799, -74.00874423809674)"
49,Business,2017-07-13,"BALCONY CAFE, LLC",78,READE ST,10007,36061003300,-74.00707026,40.71522684,"(40.71522684063731, -74.00707026079225)"
50,Business,2016-06-08,TWO HANDS TRIBECA LLC,251,CHURCH ST,10013,36061003300,-74.00562036,40.71786738,"(40.717867380050016, -74.0056203585319)"
51,Business,2015-08-03,NORTH OF HOUSTON LLC,221,W BROADWAY,10013,36061003300,-74.0063095,40.71921777,"(40.71921776609878, -74.00630950336544)"
52,Business,2014-12-23,ELEVEN FOOD AND BEVERAGE INC,11,AVENUE OF THE AMERICAS,10013,36061003300,-74.00519119,40.71932212,"(40.71932212281128, -74.00519118899753)"
53,Business,2014-07-03,BALCONY CAFE INC.,78,READE ST,10007,36061003300,-74.00707026,40.71522684,"(40.71522684063731, -74.00707026079225)"
54,Business,2014-06-19,Anejo Tribeca LLC,31,WALKER ST,10013,36061003300,-74.00404040000002,40.7193057,"(40.71930570039222, -74.00404039627747)"
55,Business,2014-06-19,WB DUANE JAPAN PARTNERS INC,130,W BROADWAY,10013,36061003300,-74.00832577,40.71667325,"(40.71667324553042, -74.00832577348935)"
56,Business,2014-01-16,229 BLEECKER LLC,222,W BROADWAY,10013,36061003300,-74.00629147,40.71926992,"(40.71926991751429, -74.00629147082883)"
57,Business,2013-05-30,"MEXMA, LLC",305,CHURCH ST,10013,36061003300,-74.00429654,40.71954997,"(40.719549974698715, -74.00429654428905)"
58,Business,2012-11-23,"268 WEST BROADWAY, LLC",35,AVENUE OF THE AMERICAS,10013,36061003300,-74.00523098,40.72073293,"(40.72073292719465, -74.00523098219983)"
59,Business,2012-03-07,135 WEST B FOOD & DRINK LLC,135,W BROADWAY,10013,36061003300,-74.00823199,40.71675834,"(40.716758339844795, -74.00823199278983)"
60,Business,2012-02-06,"TRIBECA GRAND HOTEL, INC.",32,WHITE ST,10013,36061003300,-74.00466446,40.71877868,"(40.71877868298081, -74.00466445631908)"
61,Business,2007-03-08,BANCONE LLC,34,WHITE ST,10013,36061003300,-74.00459952,40.71875124,"(40.71875123799759, -74.0045995199983)"
62,Business,2006-09-16,TK REST. CORP.,33,LEONARD ST,10013,36061003300,-74.00734837,40.71841349,"(40.718413489926114, -74.00734837236405)"
63,Business,2006-04-12,WEST BROADWAY MANAGEMENT LLC,179,W BROADWAY,10013,36061003300,-74.00723289,40.71802649,"(40.71802648610947, -74.00723289201702)"
64,Business,2006-03-09,RADIANTE LLC,131,DUANE ST,10013,36061003300,-74.00744552,40.71616827,"(40.716168269902084, -74.0074455226523)"
65,Business,2006-02-15,JADA RESTAURANT INC.,134,W BROADWAY,10013,36061003300,-74.00825364,40.71676657,"(40.716766572576006, -74.00825363796221)"
